,ds,y_p10,y_pred,y_p90,y_actual
255,2026-02-23T23:00:00.000,0,3.27,45.96,6
254,2026-02-23T22:00:00.000,0,10.36,51.18,17
253,2026-02-23T21:00:00.000,0,5.58,49.47,12
252,2026-02-23T20:00:00.000,0,10.35,58.55,11
251,2026-02-23T19:00:00.000,0,18.45,68.46,10
250,2026-02-23T18:00:00.000,0,19.02,77.16,19
249,2026-02-23T17:00:00.000,0,30.33,149.07,53
248,2026-02-23T16:00:00.000,0,60.51,235.53,70
247,2026-02-23T15:00:00.000,0,85.24,344.2,85
246,2026-02-23T14:00:00.000,0,96.04,396.84,103
245,2026-02-23T13:00:00.000,0,103.6,386.7,119
244,2026-02-23T12:00:00.000,0,97.19,380.94,179
243,2026-02-23T11:00:00.000,0,101.04,432.14,161
242,2026-02-23T10:00:00.000,0,102.13,352.21,153
241,2026-02-23T09:00:00.000,0,90.97,371.35,208
240,2026-02-23T08:00:00.000,0,77.4,225.75,124
239,2026-02-23T07:00:00.000,0,24.64,89.51,23
238,2026-02-23T06:00:00.000,0,3.77,42.44,9
237,2026-02-22T23:00:00.000,0,1.36,38.23,1
236,2026-02-22T22:00:00.000,0,3.13,41.8,14
235,2026-02-22T21:00:00.000,0,5.07,43.1,8
234,2026-02-22T20:00:00.000,0,4.85,43.6,18
233,2026-02-22T19:00:00.000,0,6.21,45.06,7
232,2026-02-22T18:00:00.000,0,3.74,42.84,10
231,2026-02-22T17:00:00.000,0,10.91,64.03,10
230,2026-02-22T16:00:00.000,0,5.13,90.11,8
229,2026-02-22T15:00:00.000,0,6.7,91.11,21
228,2026-02-22T14:00:00.000,0,7.28,97.19,13
227,2026-02-22T13:00:00.000,0,6.29,91.42,5
226,2026-02-22T12:00:00.000,0,5.33,93.73,5
225,2026-02-22T11:00:00.000,0,5.78,95.98,15
224,2026-02-22T10:00:00.000,0,3.24,90.35,23
223,2026-02-22T09:00:00.000,0,2.4,89.2,6
222,2026-02-22T08:00:00.000,0,3.83,92.9,2
221,2026-02-22T07:00:00.000,0,3.71,57.02,1
220,2026-02-22T02:00:00.000,0,0.48,36.91,1
219,2026-02-22T01:00:00.000,0,1.7,40.14,2
218,2026-02-21T22:00:00.000,0,1.63,38.79,8
217,2026-02-21T19:00:00.000,0,1.73,39.03,5
216,2026-02-21T18:00:00.000,0,1.64,35.75,2
215,2026-02-21T17:00:00.000,0,3.64,58.61,5
214,2026-02-21T16:00:00.000,0,12.36,93.94,10
213,2026-02-21T15:00:00.000,0,0.87,81.87,15
212,2026-02-21T14:00:00.000,0,5.43,91.7,14
211,2026-02-21T13:00:00.000,0,1.89,83.57,13
210,2026-02-21T11:00:00.000,0,5.44,91.95,6
209,2026-02-21T10:00:00.000,0,2.4,86.25,2
208,2026-02-21T09:00:00.000,0,1.59,85.12,5
207,2026-02-21T08:00:00.000,0,2.67,88.36,8
206,2026-02-21T07:00:00.000,0,2.32,53.72,2
205,2026-02-20T22:00:00.000,0,4.15,40.01,6
204,2026-02-20T21:00:00.000,0,4.81,40.07,18
203,2026-02-20T20:00:00.000,0,5.86,45.59,11
202,2026-02-20T19:00:00.000,0,11.92,53.47,9
201,2026-02-20T18:00:00.000,0,13.93,53.65,14
200,2026-02-20T17:00:00.000,0,26.67,117.09,8
199,2026-02-20T16:00:00.000,0,48.57,185.33,34
198,2026-02-20T15:00:00.000,0,82.41,298.29,103
197,2026-02-20T14:00:00.000,0,95.24,344.87,104
196,2026-02-20T13:00:00.000,0,101.55,334.25,112
195,2026-02-20T12:00:00.000,0,95.67,328.84,126
194,2026-02-20T11:00:00.000,0,100.09,371.74,72
193,2026-02-20T10:00:00.000,0,100.26,299.4,113
192,2026-02-20T09:00:00.000,0,92.37,271.72,109
191,2026-02-20T08:00:00.000,0,52.13,109.59,84
190,2026-02-20T07:00:00.000,0,17.91,69.61,39
189,2026-02-20T06:00:00.000,0,4.47,38.48,4
188,2026-02-20T05:00:00.000,0,1.54,35.12,2
187,2026-02-20T03:00:00.000,0,3.73,39.5,2
186,2026-02-20T01:00:00.000,0,1.69,37.09,1
185,2026-02-20T00:00:00.000,0,1.41,35.94,3
184,2026-02-19T23:00:00.000,0,2.54,35.15,2
183,2026-02-19T22:00:00.000,0,5.72,39.9,14
182,2026-02-19T21:00:00.000,0,7,41.41,19
181,2026-02-19T20:00:00.000,0,8.68,49.79,14
180,2026-02-19T19:00:00.000,0,16.24,55.83,14
179,2026-02-19T18:00:00.000,0,15.43,64.11,44
178,2026-02-19T17:00:00.000,0,31.92,130.18,34
177,2026-02-19T16:00:00.000,0,57.67,191.13,56
176,2026-02-19T15:00:00.000,0,84.97,293.39,113
175,2026-02-19T14:00:00.000,0,97.43,337.87,111
174,2026-02-19T13:00:00.000,0,102.55,327.37,153
173,2026-02-19T12:00:00.000,0,97.17,320.24,152
172,2026-02-19T11:00:00.000,0,100.39,359.08,117
171,2026-02-19T10:00:00.000,0,100.34,286.88,115
170,2026-02-19T09:00:00.000,0,91.46,298.12,72
169,2026-02-19T08:00:00.000,0,76.04,183.57,67
168,2026-02-19T07:00:00.000,0,27.76,77.86,33
167,2026-02-19T06:00:00.000,0,3.88,36.19,15
166,2026-02-19T05:00:00.000,0,1.06,32.96,1
165,2026-02-19T04:00:00.000,0,1.25,33.52,2
164,2026-02-19T00:00:00.000,0,2.2,34.97,1
163,2026-02-18T23:00:00.000,0,3.6,34.54,2
162,2026-02-18T22:00:00.000,0,6.04,38.46,11
161,2026-02-18T21:00:00.000,0,7.1,41.62,6
160,2026-02-18T20:00:00.000,0,9.33,48.3,8
159,2026-02-18T19:00:00.000,0,17.51,55.02,9
158,2026-02-18T18:00:00.000,0,14.14,67.79,14
157,2026-02-18T17:00:00.000,0,35.34,123.35,31
156,2026-02-18T16:00:00.000,0,55.57,185.14,47
155,2026-02-18T15:00:00.000,0,84.31,283.97,84
154,2026-02-18T14:00:00.000,0,95.07,327.01,142
153,2026-02-18T13:00:00.000,0,103.35,318.41,114
152,2026-02-18T12:00:00.000,0,96.38,311.77,100
151,2026-02-18T11:00:00.000,0,99.67,350.3,136
150,2026-02-18T10:00:00.000,0,104,290.77,113
149,2026-02-18T09:00:00.000,0,94.26,296.14,116
148,2026-02-18T08:00:00.000,0,77.86,184.71,74
147,2026-02-18T07:00:00.000,0,26.57,73.92,30
146,2026-02-18T06:00:00.000,0,3.95,34.47,5
145,2026-02-18T05:00:00.000,0,1.82,31.94,3
144,2026-02-18T01:00:00.000,0,4.03,35.72,2
143,2026-02-17T23:00:00.000,0,4.2,33.64,12
142,2026-02-17T22:00:00.000,0,7.92,41.25,3
141,2026-02-17T21:00:00.000,0,9.85,42.64,11
140,2026-02-17T20:00:00.000,0,9,45.98,6
139,2026-02-17T19:00:00.000,0,18.95,60.25,13
138,2026-02-17T18:00:00.000,0,22.29,75.94,22
137,2026-02-17T17:00:00.000,0,37.56,125.43,55
136,2026-02-17T16:00:00.000,0,63.95,191.96,62
135,2026-02-17T15:00:00.000,0,85.41,276.43,100
134,2026-02-17T14:00:00.000,0,97.69,317.09,133
133,2026-02-17T13:00:00.000,0,104.34,321.74,119
132,2026-02-17T12:00:00.000,0,100.29,305.17,115
131,2026-02-17T11:00:00.000,0,102.13,337.4,112
130,2026-02-17T10:00:00.000,0,101.09,277.99,134
129,2026-02-17T09:00:00.000,0,96.11,287.13,124
128,2026-02-17T08:00:00.000,0,77.08,190.67,95
127,2026-02-17T07:00:00.000,0,28.09,72.77,24
126,2026-02-17T06:00:00.000,0,4.71,33.59,2
125,2026-02-17T05:00:00.000,0,1.66,30.16,2
124,2026-02-17T03:00:00.000,0,1.95,32.24,1
123,2026-02-17T00:00:00.000,0,3.84,33.02,3
122,2026-02-16T23:00:00.000,0,3.45,33.64,3
121,2026-02-16T22:00:00.000,0,10.53,39.36,17
120,2026-02-16T21:00:00.000,0,5.97,36.91,12
119,2026-02-16T20:00:00.000,0,10.56,44.48,9
118,2026-02-16T19:00:00.000,0,18.53,53.68,10
