id,ds,y_p10,y_pred,y_p90,y_actual,hour,residual
107,2026-03-16T01:00:00.000,0,0,0,3,1,-3
106,2026-03-16T00:00:00.000,0,0,0,3,0,-3
105,2026-03-15T23:00:00.000,0,0.74,10.47,1,23,-0.26
104,2026-03-15T22:00:00.000,0,6.51,17.66,5,22,1.5099999999999998
103,2026-03-15T21:00:00.000,0,4.16,15.4,16,21,-11.84
102,2026-03-15T20:00:00.000,0,3.82,13.13,13,20,-9.18
101,2026-03-15T19:00:00.000,0,3.39,14.15,12,19,-8.61
100,2026-03-15T18:00:00.000,0,5.62,18.33,8,18,-2.38
99,2026-03-15T17:00:00.000,0,10.96,25.27,8,17,2.960000000000001
98,2026-03-15T16:00:00.000,0,8.88,37.56,11,16,-2.119999999999999
97,2026-03-15T15:00:00.000,0,19.81,57.76,5,15,14.81
96,2026-03-15T14:00:00.000,0,30.55,72.79,4,14,26.55
95,2026-03-15T13:00:00.000,0,32.23,73.79,1,13,31.23
94,2026-03-15T12:00:00.000,0,32.94,73.66,2,12,30.94
93,2026-03-15T11:00:00.000,0,37.18,76.46,8,11,29.18
92,2026-03-15T09:00:00.000,0,33.22,75.73,1,9,32.22
91,2026-03-15T08:00:00.000,0,22.04,48.92,1,8,21.04
90,2026-03-15T02:00:00.000,0,0,0,1,2,-1
89,2026-03-14T23:00:00.000,0,1.86,11.29,1,23,0.8600000000000001
88,2026-03-14T22:00:00.000,0,2.84,12.02,4,22,-1.16
87,2026-03-14T21:00:00.000,0,3.4,12.84,7,21,-3.6
86,2026-03-14T20:00:00.000,0,1.43,9.49,3,20,-1.57
85,2026-03-14T19:00:00.000,0,3.46,11.75,2,19,1.46
84,2026-03-14T18:00:00.000,0,4.43,13.99,5,18,-0.5700000000000003
83,2026-03-14T17:00:00.000,0,6.58,22.92,3,17,3.58
82,2026-03-14T16:00:00.000,0,21.69,59.7,3,16,18.69
81,2026-03-14T15:00:00.000,18.26,52.65,87.04,10,15,42.65
80,2026-03-14T14:00:00.000,23.65,67.92,112.19,8,14,59.92
79,2026-03-14T13:00:00.000,12.41,69.47,126.54,11,13,58.47
78,2026-03-14T12:00:00.000,10.96,66.43,121.9,2,12,64.43
77,2026-03-14T11:00:00.000,0.05,68.38,136.71,7,11,61.38
76,2026-03-14T10:00:00.000,0,55.18,112.16,7,10,48.18
75,2026-03-14T08:00:00.000,2.7,34.26,65.82,2,8,32.26
