,Status,ReportName,ks_stat,p_value,sample_a,sample_b
0,Drift,Families and Home Visits,0.6363636363636364,0.006819221967963387,11,14
1,Stable,CalWorks First Five,0.4818181818181818,0.05675843839866668,10,22
2,Stable,HFA Site Profile,0.46830985915492956,0.27724135093998115,4,71
3,Drift,Home Visit Completion,0.33095238095238094,0.006701254383041129,30,140
4,Stable,Form 2 Data,0.296987087517934,0.13371916976333942,17,82
5,Drift,MIECHV Form 1,0.2608210620258813,0.018354920918291755,54,83
6,Stable,Chapin Hall - Data Report,0.2565789473684211,0.6822644748610862,8,38
7,Drift,MIECHV Form 2 IL,0.2482758620689655,0.020115012206228463,60,87
8,Drift,Service Counts - Home Visitor,0.24761904761904763,0.0037966217948508106,60,280
9,Drift,MIECHV Form 2 Illinois,0.23490056923190655,0.0011800851486586917,81,334
10,Stable,ILM Form 4,0.2125506072874494,0.6963775616989202,13,38
11,Drift,Packets Delivery,0.21140980915247282,0.00003380604972203121,165,443
12,Drift,Service Counts - Family,0.19388004149124413,3.863530650634344e-7,243,1214
13,Stable,MIECHV Form 2 Colorado,0.17725752508361203,0.846659570634792,13,46
14,Stable,IL Data Summary,0.1582608695652174,0.6512064410756008,23,125
15,Stable,Family Goals Compliance,0.1465550057099353,0.16263817374480977,71,259
16,Stable,Case Status Summary,0.14285714285714285,1,3,28
17,Stable,Missouri Invoice (New),0.1417187334533517,0.10574182298677542,76,994
18,Stable,MIECHV Form 4,0.13333333333333333,0.9993286368997947,7,30
19,Stable,Caseload Summary Report,0.13145628621819097,0.177653410580862,81,392
20,Stable,Screening Compliance Annual Report,0.1312797946461313,0.7547612311177059,27,202
21,Stable,MIECHV Form 2 Nevada,0.1301487414187643,0.5372164153602889,46,152
22,Stable,VR Data,0.1221442705522576,0.33836226188735435,68,327
23,Stable,Family Service Record and Exit Summary,0.12213039485766758,0.18141336935870306,99,363
24,Stable,MO DESE Data Share Consent,0.09698996655518395,0.9999091427449736,13,23
25,Stable,Group Meetings Report,0.09547993905535805,0.5046630727607258,88,358
26,Stable,Other Contacts,0.08102497366301047,0.6643954263022822,99,326
27,Stable,Screening Report,0.07666041275797374,0.5475825645952498,123,650
28,Stable,MIECHV Form 1 IL,0.07308738744574723,0.42513899613001543,172,718
29,Stable,APR,0.06875,0.6890316656422436,130,480
30,Stable,LSP Family Score Sheet,0.06731141199226305,0.9814308807314555,55,188
31,Stable,Family-Centered Assessment Compliance,0.06434355118565645,0.6711705764754047,156,532
32,Stable,Child Lists Exports,0.06270848725009515,0.7666855008448196,126,709
33,Stable,Visit Record Summary,0.051073049739554774,0.061800609621159804,791,3942
34,Drift,PMR,0.04977120163596758,0.011126091398519694,1300,5191
35,Stable,Resource Information Shared,0.0364741641337386,1,7,47
36,Stable,Screening Compliance Initial Dev Report,0.03537180008126778,0.9998936762200947,92,535
37,Stable,Screening Review Report,0.026461368246358103,0.999999992515174,87,374
38,Stable,Service Counts - Child,0.017898193760262728,1,58,210
39,Stable,Families with no Referrals,0.01675977653631285,1,48,179
40,Stable,Parenting Assessment Review,0.011904761904761904,1,56,168
41,Stable,Referrals,0.010526315789473684,1,71,285
42,Stable,Family Lists,0.005699853789556985,1,422,1611
43,Stable,PE Train/Supervise,0,1,20,75
44,Stable,Staff Events Export,0,1,12,35
45,Stable,Assessment Report,0,1,13,31
