ds,y_p10,y_pred,y_p90
2026-03-10 00:00:00,2.19,4.23,6.27
2026-03-10 01:00:00,1.38,3.63,5.87
2026-03-10 02:00:00,1.49,3.58,5.67
2026-03-10 03:00:00,1.7,3.68,5.66
2026-03-10 04:00:00,0.62,3.08,5.54
2026-03-10 05:00:00,0.98,3.84,6.7
2026-03-10 06:00:00,2.79,7.06,11.32
2026-03-10 07:00:00,16.69,35.15,53.6
2026-03-10 08:00:00,41.15,83.15,125.15
2026-03-10 09:00:00,63.52,101.71,139.9
2026-03-10 10:00:00,65.71,109.93,154.15
2026-03-10 11:00:00,69.72,114.91,160.1
2026-03-10 12:00:00,60.82,103.81,146.8
2026-03-10 13:00:00,65.67,111.03,156.4
2026-03-10 14:00:00,63.47,100.75,138.02
2026-03-10 15:00:00,56.48,90.26,124.04
2026-03-10 16:00:00,49.64,73.15,96.67
2026-03-10 17:00:00,28.82,50.66,72.5
2026-03-10 18:00:00,18.18,37.68,57.19
2026-03-10 19:00:00,9.89,24.29,38.69
2026-03-10 20:00:00,4.45,16.49,28.53
2026-03-10 21:00:00,3.86,13.7,23.53
2026-03-10 22:00:00,1.25,10.39,19.53
2026-03-10 23:00:00,0.23,7.26,14.29
2026-03-11 00:00:00,0.28,2.67,5.06
2026-03-11 01:00:00,0.77,3.33,5.9
2026-03-11 02:00:00,0.69,3.02,5.34
2026-03-11 03:00:00,0.01,2.24,4.47
2026-03-11 04:00:00,0.0,2.19,4.7
2026-03-11 05:00:00,0.0,3.18,6.5
2026-03-11 06:00:00,0.77,5.4,10.03
2026-03-11 07:00:00,11.39,29.57,47.75
2026-03-11 08:00:00,41.78,83.39,125.01
2026-03-11 09:00:00,62.35,99.5,136.64
2026-03-11 10:00:00,66.07,104.08,142.09
2026-03-11 11:00:00,67.77,108.24,148.72
2026-03-11 12:00:00,62.31,99.23,136.15
2026-03-11 13:00:00,68.52,107.19,145.86
2026-03-11 14:00:00,61.8,98.19,134.57
2026-03-11 15:00:00,55.06,87.77,120.47
2026-03-11 16:00:00,39.83,66.55,93.28
2026-03-11 17:00:00,11.75,42.13,72.52
2026-03-11 18:00:00,4.4,27.79,51.18
2026-03-11 19:00:00,0.81,19.35,37.9
2026-03-11 20:00:00,0.0,12.85,26.33
2026-03-11 21:00:00,0.0,13.53,27.72
2026-03-11 22:00:00,0.34,13.01,25.69
2026-03-11 23:00:00,0.0,8.16,20.54
2026-03-12 00:00:00,0.0,3.56,7.99
2026-03-12 01:00:00,0.0,3.0,6.52
2026-03-12 02:00:00,0.0,2.95,6.24
2026-03-12 03:00:00,0.0,1.12,4.2
2026-03-12 04:00:00,0.0,2.18,5.47
2026-03-12 05:00:00,0.0,2.57,7.03
2026-03-12 06:00:00,0.0,5.72,11.86
2026-03-12 07:00:00,8.89,28.2,47.52
2026-03-12 08:00:00,41.74,80.64,119.54
2026-03-12 09:00:00,58.44,97.23,136.02
2026-03-12 10:00:00,68.56,105.58,142.61
2026-03-12 11:00:00,70.71,109.02,147.33
2026-03-12 12:00:00,67.02,102.94,138.86
2026-03-12 13:00:00,73.17,113.07,152.97
2026-03-12 14:00:00,64.89,101.54,138.18
2026-03-12 15:00:00,56.74,89.65,122.57
2026-03-12 16:00:00,29.22,60.95,92.67
2026-03-12 17:00:00,7.41,39.72,72.03
2026-03-12 18:00:00,2.57,27.45,52.32
2026-03-12 19:00:00,0.0,20.15,41.78
2026-03-12 20:00:00,0.0,12.63,27.9
2026-03-12 21:00:00,0.0,13.02,28.6
2026-03-12 22:00:00,0.0,11.43,25.05
2026-03-12 23:00:00,0.0,7.57,20.48
2026-03-13 00:00:00,0.0,2.58,5.98
2026-03-13 01:00:00,0.0,2.12,5.83
2026-03-13 02:00:00,0.0,2.84,6.26
2026-03-13 03:00:00,0.0,2.28,5.41
2026-03-13 04:00:00,0.0,1.23,4.66
2026-03-13 05:00:00,0.0,2.27,6.6
2026-03-13 06:00:00,0.0,5.0,11.06
2026-03-13 07:00:00,7.11,22.42,37.73
2026-03-13 08:00:00,34.7,73.14,111.57
2026-03-13 09:00:00,58.69,97.56,136.43
2026-03-13 10:00:00,68.81,104.31,139.81
2026-03-13 11:00:00,72.98,107.46,141.93
2026-03-13 12:00:00,68.02,103.13,138.24
2026-03-13 13:00:00,74.26,110.77,147.28
2026-03-13 14:00:00,64.89,98.28,131.68
2026-03-13 15:00:00,51.68,83.63,115.58
2026-03-13 16:00:00,27.28,54.19,81.1
2026-03-13 17:00:00,0.0,27.46,56.74
2026-03-13 18:00:00,0.0,17.75,40.7
2026-03-13 19:00:00,0.0,13.64,29.98
2026-03-13 20:00:00,0.0,10.73,25.21
2026-03-13 21:00:00,1.06,13.18,25.29
2026-03-13 22:00:00,0.0,7.38,20.61
2026-03-13 23:00:00,0.0,4.84,11.84
2026-03-14 00:00:00,0.0,0.98,4.25
