ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.35,0.78,1.06
2026-02-10 01:00:00,0.3,0.73,0.92
2026-02-10 02:00:00,0.16,0.32,0.48
2026-02-10 03:00:00,0.33,0.71,0.99
2026-02-10 04:00:00,0.16,0.32,0.47
2026-02-10 05:00:00,0.21,0.48,0.65
2026-02-10 06:00:00,0.44,1.07,1.16
2026-02-10 07:00:00,1.0,2.42,2.67
2026-02-10 08:00:00,1.26,2.64,3.59
2026-02-10 09:00:00,1.33,2.42,3.58
2026-02-10 10:00:00,1.27,2.29,3.39
2026-02-10 11:00:00,1.46,2.52,3.83
2026-02-10 12:00:00,1.28,2.06,3.44
2026-02-10 13:00:00,1.16,1.8,3.18
2026-02-10 14:00:00,1.27,1.96,3.46
2026-02-10 15:00:00,1.01,1.57,2.89
2026-02-10 16:00:00,1.03,1.69,3.04
2026-02-10 17:00:00,0.89,1.64,2.55
2026-02-10 18:00:00,0.51,1.13,1.65
2026-02-10 19:00:00,0.64,1.39,2.13
2026-02-10 20:00:00,0.53,1.12,1.65
2026-02-10 21:00:00,0.54,1.15,1.67
2026-02-10 22:00:00,0.52,1.0,1.59
2026-02-10 23:00:00,0.33,0.77,1.15
2026-02-11 00:00:00,0.29,0.49,0.87
2026-02-11 01:00:00,0.29,0.46,0.85
2026-02-11 02:00:00,0.16,0.27,0.46
2026-02-11 03:00:00,0.33,0.56,0.96
2026-02-11 04:00:00,0.16,0.28,0.46
2026-02-11 05:00:00,0.21,0.35,0.63
2026-02-11 06:00:00,0.39,0.82,1.13
2026-02-11 07:00:00,0.93,2.11,2.51
2026-02-11 08:00:00,1.18,2.11,3.43
2026-02-11 09:00:00,1.23,1.86,3.42
2026-02-11 10:00:00,1.18,1.73,3.23
2026-02-11 11:00:00,1.37,1.93,3.68
2026-02-11 12:00:00,1.19,1.69,3.3
2026-02-11 13:00:00,1.11,1.57,3.05
2026-02-11 14:00:00,1.22,1.83,3.4
2026-02-11 15:00:00,1.0,1.57,2.88
2026-02-11 16:00:00,1.04,1.78,3.03
2026-02-11 17:00:00,0.89,1.66,2.51
2026-02-11 18:00:00,0.51,1.15,1.63
2026-02-11 19:00:00,0.64,1.47,2.08
2026-02-11 20:00:00,0.53,1.12,1.62
2026-02-11 21:00:00,0.53,1.14,1.64
2026-02-11 22:00:00,0.52,1.2,1.57
2026-02-11 23:00:00,0.33,0.78,1.13
