ds,y_p10,y_pred,y_p90,y_actual
2026-01-10 14:00:00,0.0,0.72,24.9,8
2026-01-10 16:00:00,0.0,0.0,23.51,8
2026-01-10 17:00:00,0.0,2.38,17.93,9
2026-01-10 18:00:00,0.0,1.22,11.65,3
2026-01-10 19:00:00,0.0,3.14,14.37,2
2026-01-10 20:00:00,0.0,3.39,14.67,5
2026-01-10 21:00:00,0.0,2.63,13.57,4
2026-01-10 22:00:00,0.0,2.54,13.51,1
2026-01-10 23:00:00,0.0,1.62,12.34,1
2026-01-11 01:00:00,0.0,2.83,14.6,2
2026-01-11 08:00:00,0.0,1.97,31.4,8
2026-01-11 09:00:00,0.0,2.44,32.3,6
2026-01-11 10:00:00,0.0,1.86,31.71,14
2026-01-11 11:00:00,0.0,4.57,35.82,4
2026-01-11 12:00:00,0.0,4.82,36.49,7
2026-01-11 13:00:00,0.0,1.29,31.4,5
2026-01-11 14:00:00,0.0,1.84,32.66,10
2026-01-11 15:00:00,0.0,0.0,29.06,10
2026-01-11 16:00:00,0.0,0.61,31.33,7
2026-01-11 17:00:00,0.0,3.63,24.2,4
2026-01-11 18:00:00,0.0,3.68,17.63,8
2026-01-11 19:00:00,0.0,5.13,20.33,9
2026-01-11 20:00:00,0.0,5.12,20.56,5
2026-01-11 21:00:00,0.0,4.77,19.91,13
2026-01-11 22:00:00,0.0,3.88,19.23,6
2026-01-11 23:00:00,0.0,3.48,18.65,5
2026-01-12 00:00:00,0.0,1.74,17.58,1
2026-01-12 01:00:00,0.0,3.18,19.64,2
2026-01-12 04:00:00,0.0,2.36,18.68,1
2026-01-12 05:00:00,0.0,2.97,19.07,3
2026-01-12 06:00:00,0.0,3.97,20.38,14
2026-01-12 07:00:00,0.0,20.39,48.79,30
2026-01-12 08:00:00,18.74,53.97,89.21,92
2026-01-12 09:00:00,17.18,96.38,175.59,104
2026-01-12 10:00:00,15.12,107.22,199.32,152
2026-01-12 11:00:00,0.0,104.43,222.72,148
2026-01-12 12:00:00,0.0,99.72,202.43,161
2026-01-12 13:00:00,0.0,105.31,215.51,180
2026-01-12 14:00:00,0.0,93.68,197.72,156
2026-01-12 15:00:00,0.0,82.52,172.49,111
2026-01-12 16:00:00,0.0,53.68,126.64,84
2026-01-12 17:00:00,0.0,33.28,83.99,33
2026-01-12 18:00:00,0.0,18.1,44.44,38
2026-01-12 19:00:00,0.0,17.83,40.57,35
2026-01-12 20:00:00,0.0,11.57,34.22,16
2026-01-12 21:00:00,0.0,9.5,30.47,9
2026-01-12 22:00:00,0.0,8.23,28.94,8
2026-01-12 23:00:00,0.0,6.12,25.46,5
2026-01-13 05:00:00,0.0,2.24,21.74,3
2026-01-13 06:00:00,0.0,3.77,23.6,4
2026-01-13 07:00:00,0.0,23.5,55.1,47
2026-01-13 08:00:00,18.9,72.51,126.13,79
2026-01-13 09:00:00,0.0,91.81,191.25,108
2026-01-13 10:00:00,2.12,99.6,197.08,144
2026-01-13 11:00:00,0.0,96.53,225.22,115
2026-01-13 12:00:00,0.0,92.02,198.15,146
2026-01-13 13:00:00,0.0,97.41,214.14,106
2026-01-13 14:00:00,0.0,92.14,205.66,145
2026-01-13 15:00:00,0.0,78.25,180.64,101
2026-01-13 16:00:00,0.0,45.05,128.17,73
2026-01-13 17:00:00,0.0,26.28,80.68,32
2026-01-13 18:00:00,0.0,16.82,40.77,42
2026-01-13 19:00:00,0.0,15.12,41.38,44
2026-01-13 20:00:00,0.0,7.74,32.59,7
2026-01-13 21:00:00,0.0,6.6,28.61,20
2026-01-13 22:00:00,0.0,6.76,28.95,6
2026-01-13 23:00:00,0.0,3.67,25.49,3
2026-01-14 00:00:00,0.0,1.55,23.83,3
2026-01-14 05:00:00,0.0,2.13,24.23,10
2026-01-14 06:00:00,0.0,1.44,23.88,2
2026-01-14 07:00:00,0.0,25.91,61.89,33
2026-01-14 08:00:00,0.0,51.9,108.63,46
2026-01-14 09:00:00,0.0,84.02,183.19,117
2026-01-14 10:00:00,0.0,95.58,196.49,125
2026-01-14 11:00:00,0.0,95.59,232.52,91
2026-01-14 12:00:00,0.0,90.07,208.65,96
