ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,1.26,5.3,11.08
2026-02-10 01:00:00,1.38,4.92,8.61
2026-02-10 02:00:00,1.01,3.01,7.4
2026-02-10 03:00:00,1.0,2.99,7.26
2026-02-10 04:00:00,1.01,2.59,6.78
2026-02-10 05:00:00,1.01,3.68,8.02
2026-02-10 06:00:00,1.52,7.87,10.95
2026-02-10 07:00:00,3.03,27.98,39.94
2026-02-10 08:00:00,13.22,72.16,98.03
2026-02-10 09:00:00,68.8,102.8,126.42
2026-02-10 10:00:00,73.14,115.6,143.18
2026-02-10 11:00:00,79.34,110.39,143.21
2026-02-10 12:00:00,70.61,107.54,141.74
2026-02-10 13:00:00,68.97,110.71,147.36
2026-02-10 14:00:00,67.29,93.95,130.46
2026-02-10 15:00:00,58.7,73.31,105.6
2026-02-10 16:00:00,39.63,51.62,75.94
2026-02-10 17:00:00,18.55,28.1,51.0
2026-02-10 18:00:00,7.78,17.95,33.31
2026-02-10 19:00:00,5.24,13.08,24.74
2026-02-10 20:00:00,2.55,9.2,18.39
2026-02-10 21:00:00,1.81,7.87,17.57
2026-02-10 22:00:00,1.52,6.48,13.43
2026-02-10 23:00:00,1.07,5.45,13.04
2026-02-11 00:00:00,1.01,2.39,7.14
2026-02-11 01:00:00,1.01,2.02,6.74
2026-02-11 02:00:00,1.0,2.08,6.74
2026-02-11 03:00:00,1.01,1.9,6.72
2026-02-11 04:00:00,1.0,2.18,6.37
2026-02-11 05:00:00,1.0,2.4,7.47
2026-02-11 06:00:00,1.43,5.52,10.19
2026-02-11 07:00:00,2.84,23.58,34.05
2026-02-11 08:00:00,9.52,51.36,76.91
2026-02-11 09:00:00,46.95,76.71,104.4
2026-02-11 10:00:00,65.17,84.91,112.7
2026-02-11 11:00:00,68.61,82.85,109.71
2026-02-11 12:00:00,59.99,74.63,108.87
2026-02-11 13:00:00,54.62,73.24,106.37
2026-02-11 14:00:00,51.61,68.8,97.73
2026-02-11 15:00:00,46.7,60.13,78.1
2026-02-11 16:00:00,25.79,36.91,67.27
2026-02-11 17:00:00,12.48,18.3,38.44
2026-02-11 18:00:00,5.11,12.82,22.87
2026-02-11 19:00:00,2.76,10.36,20.78
2026-02-11 20:00:00,1.66,5.91,15.58
2026-02-11 21:00:00,1.44,5.41,12.17
2026-02-11 22:00:00,1.34,5.2,11.66
2026-02-11 23:00:00,1.07,3.42,11.26
