ds,y_p10,y_pred,y_p90
2026-01-10 00:00:00,0.0,0.77,6.62
2026-01-10 01:00:00,0.0,1.48,7.67
2026-01-10 02:00:00,0.0,1.38,7.14
2026-01-10 03:00:00,0.0,3.5,9.61
2026-01-10 04:00:00,0.0,2.51,8.24
2026-01-10 05:00:00,0.0,2.25,7.84
2026-01-10 06:00:00,0.0,2.87,8.51
2026-01-10 07:00:00,0.2,5.09,9.98
2026-01-10 08:00:00,0.0,4.36,15.98
2026-01-10 09:00:00,0.0,6.5,18.18
2026-01-10 10:00:00,0.0,4.11,15.4
2026-01-10 11:00:00,0.0,6.22,16.7
2026-01-10 12:00:00,0.0,6.0,15.55
2026-01-10 13:00:00,0.0,1.05,8.02
2026-01-10 14:00:00,0.0,1.28,8.78
2026-01-10 15:00:00,0.0,0.0,6.55
2026-01-10 16:00:00,0.0,0.0,5.89
2026-01-10 17:00:00,0.0,2.13,5.67
2026-01-10 18:00:00,0.0,1.43,6.73
2026-01-10 19:00:00,0.0,2.97,8.98
2026-01-10 20:00:00,0.0,3.14,9.14
2026-01-10 21:00:00,0.0,2.92,8.68
2026-01-10 22:00:00,0.0,3.0,8.85
2026-01-10 23:00:00,0.0,2.18,7.84
2026-01-11 00:00:00,0.0,2.2,7.06
2026-01-11 01:00:00,0.0,2.8,8.2
2026-01-11 02:00:00,0.0,1.8,6.84
2026-01-11 03:00:00,0.0,2.14,7.64
2026-01-11 04:00:00,0.0,1.03,6.23
2026-01-11 05:00:00,0.0,0.89,6.02
2026-01-11 06:00:00,0.0,1.74,7.0
2026-01-11 07:00:00,0.0,1.86,6.04
2026-01-11 08:00:00,0.0,1.98,10.68
2026-01-11 09:00:00,0.0,3.21,12.68
2026-01-11 10:00:00,0.0,1.71,10.46
2026-01-11 11:00:00,0.0,5.05,14.97
2026-01-11 12:00:00,0.0,5.24,15.74
2026-01-11 13:00:00,0.0,1.25,10.03
2026-01-11 14:00:00,0.0,2.3,11.86
2026-01-11 15:00:00,0.0,0.71,9.17
2026-01-11 16:00:00,0.0,0.31,8.01
2026-01-11 17:00:00,0.0,3.04,7.72
2026-01-11 18:00:00,0.0,3.49,10.58
2026-01-11 19:00:00,0.0,4.71,12.85
