ds,y_p10,y_pred,y_p90,y_actual
2026-01-10 14:00:00,0.0,1.28,8.78,8
2026-01-10 16:00:00,0.0,0.0,5.89,8
2026-01-10 17:00:00,0.0,2.13,5.67,9
2026-01-10 18:00:00,0.0,1.43,6.73,3
2026-01-10 19:00:00,0.0,2.97,8.98,2
2026-01-10 20:00:00,0.0,3.14,9.14,5
2026-01-10 21:00:00,0.0,2.92,8.68,4
2026-01-10 22:00:00,0.0,3.0,8.85,1
2026-01-10 23:00:00,0.0,2.18,7.84,1
2026-01-11 01:00:00,0.0,2.8,8.2,2
2026-01-11 08:00:00,0.0,1.98,10.68,8
2026-01-11 09:00:00,0.0,3.21,12.68,6
2026-01-11 10:00:00,0.0,1.71,10.46,14
2026-01-11 11:00:00,0.0,5.05,14.97,4
2026-01-11 12:00:00,0.0,5.24,15.74,7
2026-01-11 13:00:00,0.0,1.25,10.03,5
2026-01-11 14:00:00,0.0,2.3,11.86,10
2026-01-11 15:00:00,0.0,0.71,9.17,10
2026-01-11 16:00:00,0.0,0.31,8.01,7
2026-01-11 17:00:00,0.0,3.04,7.72,4
2026-01-11 18:00:00,0.0,3.49,10.58,8
2026-01-11 19:00:00,0.0,4.71,12.85,9
2026-01-11 20:00:00,0.0,4.47,12.85,5
2026-01-11 21:00:00,0.0,4.12,12.25,13
2026-01-11 22:00:00,0.28,8.63,16.98,6
2026-01-11 23:00:00,0.0,3.51,13.97,5
2026-01-12 00:00:00,0.0,1.26,8.84,1
2026-01-12 01:00:00,0.0,2.91,11.18,2
2026-01-12 04:00:00,0.0,2.02,9.86,1
2026-01-12 05:00:00,0.0,2.9,11.0,3
2026-01-12 06:00:00,0.0,3.48,11.72,14
2026-01-12 07:00:00,0.0,19.69,44.33,30
2026-01-12 08:00:00,3.1,53.58,104.06,92
2026-01-12 09:00:00,26.86,98.34,169.82,104
2026-01-12 10:00:00,40.55,112.62,184.68,152
2026-01-12 11:00:00,31.64,107.98,184.33,148
2026-01-12 12:00:00,30.2,99.08,167.96,161
2026-01-12 13:00:00,34.47,102.46,170.45,180
2026-01-12 14:00:00,28.25,89.43,150.61,156
2026-01-12 15:00:00,29.25,80.64,132.03,111
2026-01-12 16:00:00,6.01,52.21,98.42,84
2026-01-12 17:00:00,0.0,32.54,72.06,33
2026-01-12 18:00:00,0.0,18.23,43.16,38
2026-01-12 19:00:00,0.0,17.22,36.29,35
