ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.0,6.34,13.26
2026-02-10 01:00:00,2.79,7.89,12.98
2026-02-10 02:00:00,1.92,4.46,7.01
2026-02-10 03:00:00,0.85,3.55,6.24
2026-02-10 04:00:00,1.24,3.2,5.17
2026-02-10 05:00:00,2.75,5.59,8.43
2026-02-10 06:00:00,2.64,7.43,12.23
2026-02-10 07:00:00,28.61,44.97,61.32
2026-02-10 08:00:00,38.31,84.48,130.66
2026-02-10 09:00:00,61.16,98.5,135.85
2026-02-10 10:00:00,63.34,105.82,148.31
2026-02-10 11:00:00,67.32,108.97,150.62
2026-02-10 12:00:00,63.92,101.98,140.05
2026-02-10 13:00:00,66.31,108.83,151.35
2026-02-10 14:00:00,60.2,97.14,134.08
2026-02-10 15:00:00,60.61,85.21,109.8
2026-02-10 16:00:00,37.0,54.52,72.03
2026-02-10 17:00:00,16.3,33.7,51.1
2026-02-10 18:00:00,8.98,19.76,30.54
2026-02-10 19:00:00,6.11,16.22,26.34
2026-02-10 20:00:00,1.22,9.38,17.55
2026-02-10 21:00:00,2.26,10.0,17.73
2026-02-10 22:00:00,0.87,7.76,14.65
2026-02-10 23:00:00,0.32,5.04,9.77
2026-02-11 00:00:00,0.0,2.1,4.64
2026-02-11 01:00:00,0.21,2.45,4.68
2026-02-11 02:00:00,0.0,0.78,2.41
2026-02-11 03:00:00,0.0,0.77,3.17
2026-02-11 04:00:00,0.0,0.56,2.38
2026-02-11 05:00:00,0.0,1.72,4.54
2026-02-11 06:00:00,0.09,4.17,8.25
2026-02-11 07:00:00,23.4,36.52,49.65
2026-02-11 08:00:00,30.32,76.37,85.19
2026-02-11 09:00:00,66.29,94.21,122.14
2026-02-11 10:00:00,75.8,101.54,127.28
2026-02-11 11:00:00,76.7,103.08,129.45
2026-02-11 12:00:00,68.59,96.0,123.41
2026-02-11 13:00:00,76.64,104.32,131.99
2026-02-11 14:00:00,70.24,94.44,118.64
2026-02-11 15:00:00,57.0,82.74,95.26
2026-02-11 16:00:00,32.07,54.64,77.2
2026-02-11 17:00:00,14.34,38.12,61.89
2026-02-11 18:00:00,5.42,20.37,35.31
2026-02-11 19:00:00,1.84,16.33,30.82
2026-02-11 20:00:00,0.0,8.35,19.76
2026-02-11 21:00:00,0.0,8.07,17.14
2026-02-11 22:00:00,0.0,5.88,13.48
2026-02-11 23:00:00,0.0,3.65,9.39
2026-02-12 00:00:00,0.0,1.94,4.76
2026-02-12 01:00:00,0.0,2.68,5.47
2026-02-12 02:00:00,0.0,1.13,3.12
2026-02-12 03:00:00,0.0,0.97,3.98
2026-02-12 04:00:00,0.0,0.67,2.9
2026-02-12 05:00:00,0.0,1.88,5.43
2026-02-12 06:00:00,0.0,3.5,8.68
2026-02-12 07:00:00,20.28,38.28,56.28
2026-02-12 08:00:00,32.67,75.34,83.31
2026-02-12 09:00:00,64.63,89.63,114.64
2026-02-12 10:00:00,73.66,98.06,122.46
2026-02-12 11:00:00,76.35,100.58,124.8
2026-02-12 12:00:00,70.29,95.18,120.06
2026-02-12 13:00:00,76.81,103.66,130.51
2026-02-12 14:00:00,71.99,96.06,120.12
2026-02-12 15:00:00,47.57,76.54,105.52
2026-02-12 16:00:00,24.73,51.51,78.29
2026-02-12 17:00:00,3.95,30.38,56.82
2026-02-12 18:00:00,0.23,15.98,31.73
2026-02-12 19:00:00,2.19,15.4,28.62
2026-02-12 20:00:00,0.0,7.09,17.43
2026-02-12 21:00:00,0.0,7.61,16.68
2026-02-12 22:00:00,0.0,5.29,12.79
2026-02-12 23:00:00,0.0,2.9,8.74
2026-02-13 00:00:00,0.0,1.66,4.55
2026-02-13 01:00:00,0.0,2.1,4.98
2026-02-13 02:00:00,0.0,0.97,2.92
2026-02-13 03:00:00,0.0,1.64,4.64
2026-02-13 04:00:00,0.0,0.92,3.09
2026-02-13 05:00:00,0.0,1.87,5.14
2026-02-13 06:00:00,0.0,3.8,8.54
2026-02-13 07:00:00,4.89,19.98,35.07
2026-02-13 08:00:00,25.57,51.15,76.73
2026-02-13 09:00:00,38.56,80.74,122.91
2026-02-13 10:00:00,60.21,98.99,103.9
2026-02-13 11:00:00,75.29,101.68,128.06
2026-02-13 12:00:00,68.25,96.34,124.44
2026-02-13 13:00:00,75.18,103.19,131.19
2026-02-13 14:00:00,63.45,93.76,107.34
2026-02-13 15:00:00,53.99,81.27,93.97
2026-02-13 16:00:00,23.02,49.94,76.87
2026-02-13 17:00:00,2.01,26.51,51.0
2026-02-13 18:00:00,1.26,14.87,28.48
2026-02-13 19:00:00,1.68,13.54,25.41
2026-02-13 20:00:00,0.0,6.2,15.75
2026-02-13 21:00:00,0.0,7.2,15.54
2026-02-13 22:00:00,0.0,5.41,12.31
2026-02-13 23:00:00,0.0,4.02,9.31
2026-02-14 00:00:00,0.0,1.79,4.18
2026-02-14 01:00:00,0.0,1.92,4.65
2026-02-14 02:00:00,0.0,1.41,3.21
2026-02-14 03:00:00,0.0,1.09,3.94
2026-02-14 04:00:00,0.0,1.61,3.41
2026-02-14 05:00:00,0.0,1.3,3.93
2026-02-14 06:00:00,0.0,2.33,6.48
2026-02-14 07:00:00,0.0,2.51,9.08
2026-02-14 08:00:00,0.0,6.93,14.4
2026-02-14 09:00:00,0.0,3.29,10.9
2026-02-14 10:00:00,0.76,6.46,12.16
2026-02-14 11:00:00,10.98,17.82,24.66
2026-02-14 12:00:00,0.0,8.53,18.96
2026-02-14 13:00:00,10.88,17.89,24.91
2026-02-14 14:00:00,3.08,13.98,24.89
2026-02-14 15:00:00,0.0,6.87,15.32
2026-02-14 16:00:00,8.13,14.62,21.11
2026-02-14 17:00:00,0.0,5.6,14.07
2026-02-14 18:00:00,0.0,1.3,4.91
2026-02-14 19:00:00,0.0,3.5,8.78
2026-02-14 20:00:00,0.0,2.27,5.89
2026-02-14 21:00:00,0.0,3.59,8.54
2026-02-14 22:00:00,0.0,2.36,6.57
2026-02-14 23:00:00,0.0,1.53,5.0
2026-02-15 00:00:00,0.0,1.39,3.71
2026-02-15 01:00:00,0.0,2.04,4.87
2026-02-15 02:00:00,0.0,0.76,2.66
2026-02-15 03:00:00,0.0,0.8,3.75
2026-02-15 04:00:00,0.0,0.24,2.14
2026-02-15 05:00:00,0.0,0.99,4.02
2026-02-15 06:00:00,0.0,1.27,5.91
2026-02-15 07:00:00,0.0,3.7,11.39
2026-02-15 08:00:00,0.0,7.74,16.48
2026-02-15 09:00:00,0.0,3.98,13.03
2026-02-15 10:00:00,0.38,7.12,13.86
2026-02-15 11:00:00,10.19,18.35,26.52
2026-02-15 12:00:00,0.0,9.66,21.73
2026-02-15 13:00:00,10.32,21.13,31.94
2026-02-15 14:00:00,2.36,15.96,29.55
2026-02-15 15:00:00,2.19,11.76,21.34
2026-02-15 16:00:00,1.19,11.93,22.68
2026-02-15 17:00:00,2.65,12.82,22.99
2026-02-15 18:00:00,0.0,4.45,13.12
2026-02-15 19:00:00,0.09,7.52,14.95
2026-02-15 20:00:00,0.0,4.49,10.71
2026-02-15 21:00:00,0.17,6.6,13.04
2026-02-15 22:00:00,0.0,3.85,9.91
2026-02-15 23:00:00,0.0,2.05,6.59
2026-02-16 00:00:00,0.0,2.25,4.88
2026-02-16 01:00:00,0.0,2.11,5.18
2026-02-16 02:00:00,0.0,0.92,3.08
2026-02-16 03:00:00,0.0,1.09,4.27
2026-02-16 04:00:00,0.0,0.01,2.35
2026-02-16 05:00:00,0.0,1.18,4.77
2026-02-16 06:00:00,0.0,3.8,9.28
2026-02-16 07:00:00,8.5,25.57,42.63
2026-02-16 08:00:00,33.15,80.68,128.2
2026-02-16 09:00:00,60.15,90.25,120.34
2026-02-16 10:00:00,70.2,102.02,133.83
2026-02-16 11:00:00,74.65,104.76,134.88
2026-02-16 12:00:00,67.91,97.59,127.26
2026-02-16 13:00:00,77.49,108.93,140.36
2026-02-16 14:00:00,67.83,96.38,124.93
2026-02-16 15:00:00,60.16,84.94,109.71
2026-02-16 16:00:00,38.96,65.28,91.6
2026-02-16 17:00:00,7.43,32.17,56.91
2026-02-16 18:00:00,2.44,18.45,34.45
2026-02-16 19:00:00,5.92,19.89,33.86
2026-02-16 20:00:00,0.0,9.6,21.47
2026-02-16 21:00:00,0.0,7.33,18.64
2026-02-16 22:00:00,2.38,10.27,18.16
2026-02-16 23:00:00,0.0,4.16,13.71
2026-02-17 00:00:00,0.35,3.47,6.58
2026-02-17 01:00:00,0.0,2.08,5.52
2026-02-17 02:00:00,0.0,0.51,2.55
2026-02-17 03:00:00,0.0,0.39,3.45
2026-02-17 04:00:00,0.0,0.09,2.29
2026-02-17 05:00:00,0.0,1.69,5.04
2026-02-17 06:00:00,0.0,4.16,9.06
2026-02-17 07:00:00,10.37,26.73,43.09
2026-02-17 08:00:00,31.11,73.36,115.61
2026-02-17 09:00:00,73.6,97.39,121.19
2026-02-17 10:00:00,77.78,102.48,127.17
2026-02-17 11:00:00,82.96,107.12,131.28
2026-02-17 12:00:00,77.83,102.86,127.88
2026-02-17 13:00:00,82.97,108.84,134.72
2026-02-17 14:00:00,75.78,99.27,122.76
2026-02-17 15:00:00,64.16,86.61,109.06
2026-02-17 16:00:00,39.14,67.99,96.85
2026-02-17 17:00:00,13.34,36.27,59.2
2026-02-17 18:00:00,6.27,21.98,37.69
2026-02-17 19:00:00,5.26,20.29,35.32
2026-02-17 20:00:00,0.0,8.76,21.87
2026-02-17 21:00:00,2.25,12.33,22.4
2026-02-17 22:00:00,0.0,9.3,19.67
2026-02-17 23:00:00,0.0,4.94,13.69
2026-02-18 00:00:00,0.0,2.22,5.47
2026-02-18 01:00:00,0.92,4.1,7.29
2026-02-18 02:00:00,0.0,0.82,3.24
2026-02-18 03:00:00,0.0,0.32,3.61
2026-02-18 04:00:00,0.0,0.33,2.78
2026-02-18 05:00:00,0.0,2.02,5.6
2026-02-18 06:00:00,0.0,3.99,9.09
2026-02-18 07:00:00,9.16,25.4,41.63
2026-02-18 08:00:00,36.24,75.64,115.04
2026-02-18 09:00:00,71.48,95.48,119.49
2026-02-18 10:00:00,83.12,106.57,130.02
2026-02-18 11:00:00,81.57,104.39,127.2
2026-02-18 12:00:00,72.53,98.48,124.43
2026-02-18 13:00:00,83.24,109.14,135.05
2026-02-18 14:00:00,73.85,96.97,120.09
2026-02-18 15:00:00,57.15,85.66,94.98
2026-02-18 16:00:00,35.34,61.41,87.48
2026-02-18 17:00:00,11.92,38.17,64.42
2026-02-18 18:00:00,0.0,15.68,32.01
2026-02-18 19:00:00,5.66,18.74,31.81
2026-02-18 20:00:00,0.0,9.15,21.2
2026-02-18 21:00:00,0.0,9.17,20.12
2026-02-18 22:00:00,0.0,6.52,16.09
2026-02-18 23:00:00,0.0,4.61,11.21
2026-02-19 00:00:00,0.0,2.09,4.81
2026-02-19 01:00:00,0.11,3.12,6.13
2026-02-19 02:00:00,0.0,0.7,2.87
2026-02-19 03:00:00,0.0,0.08,3.22
2026-02-19 04:00:00,0.0,0.31,2.65
2026-02-19 05:00:00,0.0,0.84,4.3
2026-02-19 06:00:00,0.0,3.58,8.53
2026-02-19 07:00:00,10.09,27.15,44.21
2026-02-19 08:00:00,31.13,69.94,108.75
2026-02-19 09:00:00,58.81,91.38,98.49
2026-02-19 10:00:00,78.75,101.27,123.8
2026-02-19 11:00:00,84.69,105.38,126.06
2026-02-19 12:00:00,75.73,98.71,121.69
2026-02-19 13:00:00,83.54,107.59,131.64
2026-02-19 14:00:00,75.29,98.73,122.17
2026-02-19 15:00:00,63.24,85.49,107.75
2026-02-19 16:00:00,33.67,59.4,85.14
2026-02-19 17:00:00,7.11,33.21,59.3
2026-02-19 18:00:00,0.0,14.98,30.47
2026-02-19 19:00:00,4.59,17.35,30.11
2026-02-19 20:00:00,0.0,8.0,19.49
2026-02-19 21:00:00,0.0,8.46,17.3
2026-02-19 22:00:00,0.0,5.61,13.63
2026-02-19 23:00:00,0.0,2.91,8.85
2026-02-20 00:00:00,0.0,1.31,3.67
2026-02-20 01:00:00,0.0,1.59,4.39
2026-02-20 02:00:00,0.0,0.32,2.24
2026-02-20 03:00:00,0.0,1.94,4.9
2026-02-20 04:00:00,0.0,0.13,2.27
2026-02-20 05:00:00,0.0,1.24,4.47
2026-02-20 06:00:00,0.0,4.32,8.94
2026-02-20 07:00:00,2.41,16.77,31.13
2026-02-20 08:00:00,31.67,55.5,79.34
2026-02-20 09:00:00,48.43,89.69,130.94
2026-02-20 10:00:00,75.26,101.73,128.21
2026-02-20 11:00:00,80.28,104.23,128.17
2026-02-20 12:00:00,72.0,97.58,123.17
2026-02-20 13:00:00,77.54,105.12,132.7
2026-02-20 14:00:00,70.22,95.09,119.96
2026-02-20 15:00:00,56.79,81.4,93.07
2026-02-20 16:00:00,23.31,49.69,76.08
2026-02-20 17:00:00,2.05,26.52,51.0
2026-02-20 18:00:00,0.0,13.47,27.09
2026-02-20 19:00:00,0.78,12.94,25.09
2026-02-20 20:00:00,0.0,5.17,14.67
2026-02-20 21:00:00,0.0,6.55,14.17
