ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,63.92,101.98,140.05,130,12,-28.019999999999996
2026-02-10 13:00:00,66.31,108.83,151.35,164,13,-55.17
2026-02-10 14:00:00,60.2,97.14,134.08,161,14,-63.86
2026-02-10 15:00:00,60.61,85.21,109.8,136,15,-50.790000000000006
2026-02-10 16:00:00,37.0,54.52,72.03,54,16,0.5200000000000031
2026-02-10 17:00:00,16.3,33.7,51.1,31,17,2.700000000000003
2026-02-10 18:00:00,8.98,19.76,30.54,33,18,-13.239999999999998
2026-02-10 19:00:00,6.11,16.22,26.34,25,19,-8.780000000000001
2026-02-10 20:00:00,1.22,9.38,17.55,6,20,3.380000000000001
2026-02-10 21:00:00,2.26,10.0,17.73,7,21,3.0
2026-02-10 22:00:00,0.87,7.76,14.65,5,22,2.76
2026-02-10 23:00:00,0.32,5.04,9.77,8,23,-2.96
2026-02-11 00:00:00,0.0,2.1,4.64,2,0,0.10000000000000009
2026-02-11 05:00:00,0.0,1.72,4.54,1,5,0.72
2026-02-11 06:00:00,0.09,4.17,8.25,6,6,-1.83
2026-02-11 07:00:00,23.4,36.52,49.65,71,7,-34.48
2026-02-11 08:00:00,30.32,76.37,85.19,103,8,-26.629999999999995
2026-02-11 09:00:00,66.29,94.21,122.14,97,9,-2.7900000000000063
2026-02-11 10:00:00,75.8,101.54,127.28,112,10,-10.459999999999994
2026-02-11 11:00:00,76.7,103.08,129.45,105,11,-1.9200000000000017
2026-02-11 12:00:00,68.59,96.0,123.41,115,12,-19.0
2026-02-11 13:00:00,76.64,104.32,131.99,148,13,-43.68000000000001
2026-02-11 14:00:00,70.24,94.44,118.64,147,14,-52.56
2026-02-11 15:00:00,57.0,82.74,95.26,99,15,-16.260000000000005
2026-02-11 16:00:00,32.07,54.64,77.2,62,16,-7.359999999999999
2026-02-11 17:00:00,14.34,38.12,61.89,47,17,-8.880000000000003
2026-02-11 18:00:00,5.42,20.37,35.31,32,18,-11.629999999999999
2026-02-11 19:00:00,1.84,16.33,30.82,11,19,5.329999999999998
2026-02-11 20:00:00,0.0,8.35,19.76,11,20,-2.6500000000000004
2026-02-11 21:00:00,0.0,8.07,17.14,7,21,1.0700000000000003
2026-02-11 22:00:00,0.0,5.88,13.48,5,22,0.8799999999999999
