ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-03-10 11:00:00,69.72,114.91,160.1,154,11,-39.09
2026-03-10 12:00:00,60.82,103.81,146.8,167,12,-63.19
2026-03-10 13:00:00,65.67,111.03,156.4,95,13,16.03
2026-03-10 14:00:00,63.47,100.75,138.02,109,14,-8.25
2026-03-10 15:00:00,56.48,90.26,124.04,103,15,-12.739999999999995
2026-03-10 16:00:00,49.64,73.15,96.67,68,16,5.150000000000006
2026-03-10 17:00:00,28.82,50.66,72.5,29,17,21.659999999999997
2026-03-10 18:00:00,18.18,37.68,57.19,20,18,17.68
2026-03-10 19:00:00,9.89,24.29,38.69,17,19,7.289999999999999
2026-03-10 20:00:00,4.45,16.49,28.53,7,20,9.489999999999998
2026-03-10 21:00:00,3.86,13.7,23.53,8,21,5.699999999999999
2026-03-10 22:00:00,1.25,10.39,19.53,10,22,0.39000000000000057
2026-03-10 23:00:00,0.23,7.26,14.29,3,23,4.26
2026-03-11 00:00:00,0.28,2.67,5.06,1,0,1.67
2026-03-11 05:00:00,0.0,3.18,6.5,1,5,2.18
2026-03-11 06:00:00,0.77,5.4,10.03,11,6,-5.6
2026-03-11 07:00:00,11.39,29.57,47.75,32,7,-2.4299999999999997
2026-03-11 08:00:00,41.78,83.39,125.01,74,8,9.39
2026-03-11 09:00:00,62.35,99.5,136.64,112,9,-12.5
2026-03-11 10:00:00,66.07,104.08,142.09,154,10,-49.92
2026-03-11 11:00:00,67.77,108.24,148.72,106,11,2.239999999999995
2026-03-11 12:00:00,62.31,99.23,136.15,105,12,-5.769999999999996
2026-03-11 13:00:00,68.52,107.19,145.86,100,13,7.189999999999998
2026-03-11 14:00:00,61.8,98.19,134.57,109,14,-10.810000000000002
2026-03-11 15:00:00,55.06,87.77,120.47,88,15,-0.23000000000000398
2026-03-11 16:00:00,39.83,66.55,93.28,76,16,-9.450000000000003
2026-03-11 17:00:00,11.75,42.13,72.52,41,17,1.1300000000000026
2026-03-11 18:00:00,4.4,27.79,51.18,11,18,16.79
2026-03-11 19:00:00,0.81,19.35,37.9,11,19,8.350000000000001
2026-03-11 20:00:00,0.0,12.85,26.33,7,20,5.85
2026-03-11 21:00:00,0.0,13.53,27.72,10,21,3.5299999999999994
2026-03-11 22:00:00,0.34,13.01,25.69,9,22,4.01
2026-03-11 23:00:00,0.0,8.16,20.54,7,23,1.1600000000000001
2026-03-12 01:00:00,0.0,3.0,6.52,1,1,2.0
2026-03-12 03:00:00,0.0,1.12,4.2,1,3,0.1200000000000001
2026-03-12 05:00:00,0.0,2.57,7.03,1,5,1.5699999999999998
2026-03-12 06:00:00,0.0,5.72,11.86,10,6,-4.28
2026-03-12 07:00:00,8.89,28.2,47.52,36,7,-7.800000000000001
2026-03-12 08:00:00,41.74,80.64,119.54,78,8,2.6400000000000006
2026-03-12 09:00:00,58.44,97.23,136.02,86,9,11.230000000000004
2026-03-12 10:00:00,68.56,105.58,142.61,104,10,1.5799999999999983
2026-03-12 11:00:00,70.71,109.02,147.33,79,11,30.019999999999996
2026-03-12 12:00:00,67.02,102.94,138.86,105,12,-2.0600000000000023
2026-03-12 13:00:00,73.17,113.07,152.97,134,13,-20.930000000000007
2026-03-12 14:00:00,64.89,101.54,138.18,117,14,-15.459999999999994
