ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-03-10 11:00:00,69.49,114.68,159.88,154,11,-39.31999999999999
2026-03-10 12:00:00,60.61,103.67,146.73,167,12,-63.33
2026-03-10 13:00:00,65.02,110.38,155.74,95,13,15.379999999999995
2026-03-10 14:00:00,63.88,100.3,136.71,109,14,-8.700000000000003
2026-03-10 15:00:00,55.94,89.9,123.85,103,15,-13.099999999999994
2026-03-10 16:00:00,49.15,71.54,93.94,68,16,3.5400000000000063
2026-03-10 17:00:00,27.71,51.38,75.04,29,17,22.380000000000003
2026-03-10 18:00:00,17.2,36.91,56.61,20,18,16.909999999999997
2026-03-10 19:00:00,11.44,24.44,37.45,17,19,7.440000000000001
2026-03-10 20:00:00,5.32,17.36,29.4,7,20,10.36
2026-03-10 21:00:00,4.07,13.96,23.85,8,21,5.960000000000001
2026-03-10 22:00:00,0.98,10.4,19.81,10,22,0.40000000000000036
2026-03-10 23:00:00,0.26,7.32,14.38,3,23,4.32
2026-03-11 00:00:00,0.59,2.98,5.37,1,0,1.98
2026-03-11 05:00:00,0.19,3.52,6.84,1,5,2.52
2026-03-11 06:00:00,0.85,5.47,10.1,11,6,-5.53
2026-03-11 07:00:00,10.83,29.01,47.19,32,7,-2.9899999999999984
2026-03-11 08:00:00,37.12,82.93,128.75,74,8,8.930000000000007
2026-03-11 09:00:00,61.69,98.84,135.98,112,9,-13.159999999999997
2026-03-11 10:00:00,64.69,102.94,141.2,154,10,-51.06
2026-03-11 11:00:00,65.8,106.44,147.07,106,11,0.4399999999999977
2026-03-11 12:00:00,61.5,98.59,135.69,105,12,-6.409999999999997
2026-03-11 13:00:00,67.41,105.53,143.66,100,13,5.530000000000001
2026-03-11 14:00:00,60.64,97.19,133.74,109,14,-11.810000000000002
2026-03-11 15:00:00,53.77,86.64,119.51,88,15,-1.3599999999999994
2026-03-11 16:00:00,40.12,66.81,93.49,76,16,-9.189999999999998
2026-03-11 17:00:00,11.5,42.14,72.77,41,17,1.1400000000000006
2026-03-11 18:00:00,6.24,29.66,53.08,11,18,18.66
2026-03-11 19:00:00,2.12,20.45,38.79,11,19,9.45
2026-03-11 20:00:00,0.0,14.02,28.58,7,20,7.02
2026-03-11 21:00:00,0.0,13.92,27.93,10,21,3.92
2026-03-11 22:00:00,0.27,12.96,25.65,9,22,3.960000000000001
2026-03-11 23:00:00,0.0,9.16,21.54,7,23,2.16
2026-03-12 01:00:00,0.2,3.73,7.25,1,1,2.73
2026-03-12 03:00:00,0.0,1.66,4.7,1,3,0.6599999999999999
2026-03-12 05:00:00,0.0,3.26,7.72,1,5,2.26
2026-03-12 06:00:00,0.0,5.61,11.7,10,6,-4.39
2026-03-12 07:00:00,7.69,27.29,46.89,36,7,-8.71
2026-03-12 08:00:00,37.88,81.11,124.34,78,8,3.1099999999999994
2026-03-12 09:00:00,58.64,97.63,136.61,86,9,11.629999999999995
2026-03-12 10:00:00,66.73,104.15,141.57,104,10,0.15000000000000568
2026-03-12 11:00:00,68.76,107.47,146.18,79,11,28.47
2026-03-12 12:00:00,62.72,99.93,137.14,105,12,-5.069999999999993
2026-03-12 13:00:00,70.55,108.17,145.79,134,13,-25.83
2026-03-12 14:00:00,61.78,98.77,135.76,117,14,-18.230000000000004
2026-03-12 15:00:00,55.52,87.87,120.23,125,15,-37.129999999999995
2026-03-12 16:00:00,30.92,60.57,90.21,90,16,-29.43
2026-03-12 17:00:00,11.18,44.02,76.85,61,17,-16.979999999999997
2026-03-12 18:00:00,5.74,32.11,58.49,36,18,-3.8900000000000006
2026-03-12 19:00:00,1.89,22.88,43.87,25,19,-2.120000000000001
2026-03-12 20:00:00,0.19,16.99,33.78,8,20,8.989999999999998
2026-03-12 21:00:00,0.0,13.85,29.01,9,21,4.85
2026-03-12 22:00:00,0.0,12.45,26.86,2,22,10.45
2026-03-12 23:00:00,0.0,9.21,22.2,3,23,6.210000000000001
2026-03-13 00:00:00,0.0,4.04,11.53,1,0,3.04
2026-03-13 01:00:00,0.0,3.24,6.9,1,1,2.24
2026-03-13 06:00:00,0.0,4.85,10.94,4,6,0.8499999999999996
2026-03-13 07:00:00,5.91,21.0,36.09,7,7,14.0
2026-03-13 08:00:00,22.17,63.38,104.6,43,8,20.380000000000003
2026-03-13 09:00:00,53.5,95.79,138.08,94,9,1.7900000000000063
2026-03-13 10:00:00,65.51,101.97,138.43,70,10,31.97
2026-03-13 11:00:00,70.46,105.47,140.48,135,11,-29.53
2026-03-13 12:00:00,63.72,99.67,135.62,117,12,-17.33
2026-03-13 13:00:00,69.77,106.57,143.36,92,13,14.569999999999993
2026-03-13 14:00:00,62.66,97.59,132.53,108,14,-10.409999999999997
2026-03-13 15:00:00,53.3,85.19,117.08,78,15,7.189999999999998
2026-03-13 16:00:00,29.44,56.81,84.18,39,16,17.810000000000002
2026-03-13 17:00:00,8.03,37.35,66.67,31,17,6.350000000000001
2026-03-13 18:00:00,0.0,24.26,49.18,19,18,5.260000000000002
2026-03-13 19:00:00,1.25,19.97,38.68,17,19,2.969999999999999
2026-03-13 20:00:00,0.16,15.15,30.13,9,20,6.15
2026-03-13 21:00:00,1.75,16.26,30.78,10,21,6.260000000000002
