ds,y_p10,y_pred,y_p90
2026-01-10 00:00:00,0.25,1.82,3.39
2026-01-10 01:00:00,0.33,2.27,4.21
2026-01-10 02:00:00,0.61,2.04,3.48
2026-01-10 03:00:00,1.21,3.83,6.45
2026-01-10 04:00:00,0.48,2.7,4.92
2026-01-10 05:00:00,0.0,1.9,4.24
2026-01-10 06:00:00,1.0,4.38,7.76
2026-01-10 07:00:00,0.0,5.67,11.65
2026-01-10 08:00:00,0.0,3.07,9.09
2026-01-10 09:00:00,0.0,4.77,9.87
2026-01-10 10:00:00,0.0,3.09,7.04
2026-01-10 11:00:00,1.06,5.35,9.64
2026-01-10 12:00:00,0.2,4.8,9.4
2026-01-10 13:00:00,0.0,0.14,2.08
2026-01-10 14:00:00,0.0,2.15,5.3
2026-01-10 15:00:00,0.0,0.6,2.52
2026-01-10 16:00:00,0.0,0.75,2.68
2026-01-10 17:00:00,0.0,2.44,6.08
2026-01-10 18:00:00,0.0,1.72,4.54
2026-01-10 19:00:00,0.78,4.45,8.12
2026-01-10 20:00:00,0.94,4.28,7.61
2026-01-10 21:00:00,1.3,4.23,7.16
2026-01-10 22:00:00,0.61,3.49,6.38
2026-01-10 23:00:00,0.0,2.4,5.04
2026-01-11 00:00:00,2.3,3.92,5.54
2026-01-11 01:00:00,1.68,3.92,6.16
2026-01-11 02:00:00,1.12,2.87,4.63
2026-01-11 03:00:00,0.99,3.98,6.97
2026-01-11 04:00:00,0.0,2.15,4.59
2026-01-11 05:00:00,0.0,1.66,4.29
2026-01-11 06:00:00,0.0,3.14,6.91
2026-01-11 07:00:00,0.0,3.08,10.48
2026-01-11 08:00:00,0.0,1.45,6.72
2026-01-11 09:00:00,0.0,3.25,8.4
2026-01-11 10:00:00,0.0,1.6,5.35
2026-01-11 11:00:00,0.0,4.79,10.29
2026-01-11 12:00:00,0.0,5.47,11.32
2026-01-11 13:00:00,0.0,1.46,5.67
2026-01-11 14:00:00,0.0,4.1,9.58
2026-01-11 15:00:00,0.0,2.67,6.4
2026-01-11 16:00:00,0.0,2.23,6.0
2026-01-11 17:00:00,0.0,3.55,9.52
2026-01-11 18:00:00,0.0,4.73,9.59
2026-01-11 19:00:00,0.49,6.68,12.87
2026-01-11 20:00:00,0.15,6.6,13.05
2026-01-11 21:00:00,0.45,6.63,12.82
2026-01-11 22:00:00,0.92,7.31,13.69
2026-01-11 23:00:00,0.0,5.47,11.62
2026-01-12 00:00:00,0.22,3.5,6.78
2026-01-12 01:00:00,1.26,4.6,7.94
2026-01-12 02:00:00,0.89,3.65,6.41
2026-01-12 03:00:00,1.16,5.38,9.61
2026-01-12 04:00:00,0.0,3.48,7.77
2026-01-12 05:00:00,0.09,4.0,7.92
2026-01-12 06:00:00,0.0,4.67,10.66
2026-01-12 07:00:00,6.9,26.49,46.09
2026-01-12 08:00:00,15.51,63.53,111.54
2026-01-12 09:00:00,44.94,97.33,149.73
2026-01-12 10:00:00,56.02,104.42,152.81
2026-01-12 11:00:00,59.18,106.18,153.18
2026-01-12 12:00:00,45.58,95.66,145.74
2026-01-12 13:00:00,47.54,97.98,148.42
2026-01-12 14:00:00,43.72,89.47,135.22
2026-01-12 15:00:00,39.28,78.67,118.05
2026-01-12 16:00:00,14.92,44.35,73.78
2026-01-12 17:00:00,2.8,27.38,51.96
2026-01-12 18:00:00,0.0,17.25,38.73
2026-01-12 19:00:00,0.52,17.24,33.97
2026-01-12 20:00:00,0.0,9.97,25.95
2026-01-12 21:00:00,0.0,10.34,23.33
2026-01-12 22:00:00,0.0,9.65,22.52
2026-01-12 23:00:00,0.0,6.95,19.27
2026-01-13 00:00:00,1.6,7.03,12.45
2026-01-13 01:00:00,0.0,4.46,10.13
2026-01-13 02:00:00,0.0,2.34,5.59
2026-01-13 03:00:00,0.0,4.26,9.38
2026-01-13 04:00:00,0.0,2.65,7.25
2026-01-13 05:00:00,0.0,2.26,7.0
2026-01-13 06:00:00,0.0,5.3,12.44
2026-01-13 07:00:00,1.26,23.03,44.79
2026-01-13 08:00:00,13.4,60.04,106.68
2026-01-13 09:00:00,35.51,84.59,133.68
2026-01-13 10:00:00,49.04,88.17,127.29
2026-01-13 11:00:00,46.6,89.82,133.03
2026-01-13 12:00:00,36.85,83.52,130.19
2026-01-13 13:00:00,37.56,83.3,129.05
2026-01-13 14:00:00,40.18,84.21,128.25
2026-01-13 15:00:00,31.56,69.24,106.92
2026-01-13 16:00:00,4.57,38.86,73.15
2026-01-13 17:00:00,0.0,21.54,48.58
2026-01-13 18:00:00,0.0,14.57,33.75
2026-01-13 19:00:00,0.0,15.62,32.56
2026-01-13 20:00:00,0.0,8.55,23.01
2026-01-13 21:00:00,0.0,8.33,19.28
2026-01-13 22:00:00,0.0,7.77,19.05
2026-01-13 23:00:00,0.0,4.25,13.12
2026-01-14 00:00:00,0.0,1.51,4.78
2026-01-14 01:00:00,0.0,3.07,6.97
2026-01-14 02:00:00,0.68,3.58,6.49
2026-01-14 03:00:00,0.0,3.51,8.69
2026-01-14 04:00:00,0.0,3.14,7.53
2026-01-14 05:00:00,0.0,2.75,7.46
2026-01-14 06:00:00,0.0,3.95,10.91
2026-01-14 07:00:00,0.0,22.63,47.53
2026-01-14 08:00:00,0.0,46.59,99.06
2026-01-14 09:00:00,11.34,62.24,113.14
2026-01-14 10:00:00,26.09,79.53,132.97
2026-01-14 11:00:00,42.13,84.27,126.4
2026-01-14 12:00:00,33.94,79.92,125.9
2026-01-14 13:00:00,29.22,77.74,126.26
2026-01-14 14:00:00,30.74,78.68,126.62
2026-01-14 15:00:00,25.69,62.46,99.24
2026-01-14 16:00:00,0.0,34.65,78.55
2026-01-14 17:00:00,0.0,20.06,49.34
2026-01-14 18:00:00,0.0,12.33,31.36
2026-01-14 19:00:00,0.0,14.37,32.6
2026-01-14 20:00:00,0.0,9.15,23.53
2026-01-14 21:00:00,0.0,7.74,20.1
2026-01-14 22:00:00,0.0,5.14,15.5
2026-01-14 23:00:00,0.0,3.72,12.18
2026-01-15 00:00:00,0.0,1.78,5.06
2026-01-15 01:00:00,0.0,4.15,8.42
2026-01-15 02:00:00,0.0,1.7,5.01
2026-01-15 03:00:00,0.0,3.41,9.1
2026-01-15 04:00:00,0.0,1.82,6.62
2026-01-15 05:00:00,0.0,1.38,6.46
2026-01-15 06:00:00,0.0,3.15,10.54
2026-01-15 07:00:00,0.0,24.01,50.68
2026-01-15 08:00:00,0.0,52.78,109.66
2026-01-15 09:00:00,1.59,64.42,127.25
2026-01-15 10:00:00,12.32,69.35,126.39
2026-01-15 11:00:00,25.64,79.0,132.36
2026-01-15 12:00:00,27.09,79.29,131.5
2026-01-15 13:00:00,23.58,73.54,123.5
2026-01-15 14:00:00,15.39,66.21,117.03
2026-01-15 15:00:00,9.22,55.52,101.82
2026-01-15 16:00:00,0.0,35.07,88.32
2026-01-15 17:00:00,0.0,18.73,52.62
2026-01-15 18:00:00,0.0,9.45,28.76
2026-01-15 19:00:00,0.0,12.76,31.24
2026-01-15 20:00:00,0.0,9.36,25.02
2026-01-15 21:00:00,0.0,6.56,19.75
2026-01-15 22:00:00,0.0,5.12,16.36
2026-01-15 23:00:00,0.0,3.59,12.73
2026-01-16 00:00:00,0.0,2.05,5.57
2026-01-16 01:00:00,0.0,1.74,6.34
2026-01-16 02:00:00,0.0,2.05,5.43
2026-01-16 03:00:00,0.0,3.42,9.57
2026-01-16 04:00:00,0.0,2.09,7.25
2026-01-16 05:00:00,0.0,0.59,6.06
2026-01-16 06:00:00,0.0,2.49,10.28
2026-01-16 07:00:00,0.0,16.94,46.13
2026-01-16 08:00:00,0.0,42.69,97.85
2026-01-16 09:00:00,0.0,57.68,115.8
2026-01-16 10:00:00,0.0,61.68,128.8
2026-01-16 11:00:00,4.57,66.35,128.12
2026-01-16 12:00:00,9.4,64.13,118.86
2026-01-16 13:00:00,0.0,59.75,124.29
2026-01-16 14:00:00,0.0,56.92,122.13
2026-01-16 15:00:00,0.0,42.32,103.15
2026-01-16 16:00:00,0.0,26.55,68.8
2026-01-16 17:00:00,0.0,16.88,51.02
2026-01-16 18:00:00,0.0,8.8,29.61
2026-01-16 19:00:00,0.0,8.94,26.32
2026-01-16 20:00:00,0.0,4.56,17.85
2026-01-16 21:00:00,0.0,3.27,12.65
2026-01-16 22:00:00,0.0,3.69,12.32
2026-01-16 23:00:00,0.0,2.18,10.27
2026-01-17 00:00:00,0.0,2.95,6.73
2026-01-17 01:00:00,0.0,2.99,7.94
2026-01-17 02:00:00,0.0,1.5,5.12
2026-01-17 03:00:00,0.0,3.79,10.32
2026-01-17 04:00:00,0.0,1.88,7.34
2026-01-17 05:00:00,0.0,0.81,6.47
2026-01-17 06:00:00,0.0,1.63,9.38
2026-01-17 07:00:00,0.0,2.13,16.03
2026-01-17 08:00:00,0.0,0.52,9.63
2026-01-17 09:00:00,0.0,3.83,12.53
2026-01-17 10:00:00,0.0,0.23,5.63
2026-01-17 11:00:00,0.0,3.9,13.11
2026-01-17 12:00:00,0.0,4.62,14.69
2026-01-17 13:00:00,0.0,0.01,4.75
2026-01-17 14:00:00,0.0,3.51,11.96
2026-01-17 15:00:00,0.0,1.21,6.18
2026-01-17 16:00:00,0.0,0.93,6.03
2026-01-17 17:00:00,0.0,2.08,11.98
2026-01-17 18:00:00,0.0,1.62,9.16
2026-01-17 19:00:00,0.0,3.89,13.85
2026-01-17 20:00:00,0.0,3.56,12.27
2026-01-17 21:00:00,0.0,2.41,10.04
2026-01-17 22:00:00,0.0,3.43,11.11
2026-01-17 23:00:00,0.0,2.59,9.68
2026-01-18 00:00:00,0.0,2.85,7.02
2026-01-18 01:00:00,0.0,2.64,8.06
2026-01-18 02:00:00,0.0,1.81,5.81
2026-01-18 03:00:00,0.0,4.83,12.01
2026-01-18 04:00:00,0.0,2.25,8.49
2026-01-18 05:00:00,0.0,0.33,6.66
2026-01-18 06:00:00,0.0,2.23,11.22
2026-01-18 07:00:00,0.0,2.78,20.33
2026-01-18 08:00:00,0.0,1.82,14.27
2026-01-18 09:00:00,0.0,2.91,14.83
2026-01-18 10:00:00,0.0,1.08,9.53
2026-01-18 11:00:00,0.0,4.75,17.28
2026-01-18 12:00:00,0.0,6.18,19.62
2026-01-18 13:00:00,0.0,0.91,11.27
2026-01-18 14:00:00,0.0,4.64,16.22
2026-01-18 15:00:00,0.0,4.63,12.58
2026-01-18 16:00:00,0.0,2.68,10.86
2026-01-18 17:00:00,0.0,4.26,17.11
2026-01-18 18:00:00,0.0,3.53,13.9
