ds,y_p10,y_pred,y_p90
2026-03-10 00:00:00,2.19,4.23,6.27
2026-03-10 01:00:00,1.38,3.63,5.88
2026-03-10 02:00:00,1.51,3.6,5.68
2026-03-10 03:00:00,1.76,3.74,5.72
2026-03-10 04:00:00,0.68,3.13,5.59
2026-03-10 05:00:00,1.06,3.92,6.78
2026-03-10 06:00:00,2.79,7.06,11.32
2026-03-10 07:00:00,16.63,35.09,53.54
2026-03-10 08:00:00,48.99,83.04,117.09
2026-03-10 09:00:00,63.09,101.28,139.47
2026-03-10 10:00:00,65.52,109.74,153.96
2026-03-10 11:00:00,71.32,114.68,158.04
2026-03-10 12:00:00,60.61,103.67,146.73
2026-03-10 13:00:00,66.66,110.38,154.1
2026-03-10 14:00:00,63.88,100.3,136.71
2026-03-10 15:00:00,55.94,89.9,123.85
2026-03-10 16:00:00,49.15,71.54,93.94
2026-03-10 17:00:00,27.71,51.38,75.04
2026-03-10 18:00:00,17.2,36.91,56.61
2026-03-10 19:00:00,11.44,24.44,37.45
2026-03-10 20:00:00,5.32,17.36,29.4
2026-03-10 21:00:00,4.07,13.96,23.85
2026-03-10 22:00:00,0.98,10.4,19.81
2026-03-10 23:00:00,0.26,7.32,14.38
2026-03-11 00:00:00,0.59,2.98,5.37
2026-03-11 01:00:00,1.07,3.64,6.2
2026-03-11 02:00:00,0.94,3.27,5.6
2026-03-11 03:00:00,0.29,2.52,4.75
2026-03-11 04:00:00,0.07,2.59,5.11
2026-03-11 05:00:00,0.19,3.52,6.84
2026-03-11 06:00:00,0.85,5.47,10.1
2026-03-11 07:00:00,10.83,29.01,47.19
2026-03-11 08:00:00,49.27,82.93,116.6
2026-03-11 09:00:00,61.69,98.84,135.98
2026-03-11 10:00:00,64.86,102.94,141.03
2026-03-11 11:00:00,69.56,106.44,143.32
2026-03-11 12:00:00,62.18,98.59,135.0
2026-03-11 13:00:00,69.84,105.53,141.23
2026-03-11 14:00:00,60.64,97.19,133.74
2026-03-11 15:00:00,53.77,86.64,119.51
2026-03-11 16:00:00,40.12,66.81,93.49
2026-03-11 17:00:00,11.5,42.14,72.77
2026-03-11 18:00:00,6.24,29.66,53.08
2026-03-11 19:00:00,2.12,20.45,38.79
2026-03-11 20:00:00,0.0,14.02,28.58
2026-03-11 21:00:00,0.0,13.92,27.93
2026-03-11 22:00:00,0.27,12.96,25.65
2026-03-11 23:00:00,0.0,9.16,21.54
2026-03-12 00:00:00,0.0,4.62,11.85
2026-03-12 01:00:00,0.2,3.73,7.25
2026-03-12 02:00:00,0.0,3.02,6.31
2026-03-12 03:00:00,0.0,1.66,4.7
2026-03-12 04:00:00,0.0,2.49,5.78
2026-03-12 05:00:00,0.0,3.26,7.72
2026-03-12 06:00:00,0.0,5.61,11.7
2026-03-12 07:00:00,7.69,27.29,46.89
2026-03-12 08:00:00,50.03,81.11,112.19
2026-03-12 09:00:00,58.64,97.63,136.61
2026-03-12 10:00:00,67.56,104.15,140.74
2026-03-12 11:00:00,72.55,107.47,142.39
2026-03-12 12:00:00,63.81,99.93,136.05
2026-03-12 13:00:00,73.32,108.17,143.02
2026-03-12 14:00:00,61.82,98.77,135.71
2026-03-12 15:00:00,55.52,87.87,120.23
2026-03-12 16:00:00,30.92,60.57,90.21
2026-03-12 17:00:00,11.18,44.02,76.85
2026-03-12 18:00:00,5.74,32.11,58.49
2026-03-12 19:00:00,1.89,22.88,43.87
2026-03-12 20:00:00,0.19,16.99,33.78
2026-03-12 21:00:00,0.0,13.85,29.01
2026-03-12 22:00:00,0.0,12.45,26.86
2026-03-12 23:00:00,0.0,9.21,22.2
2026-03-13 00:00:00,0.0,4.04,11.53
2026-03-13 01:00:00,0.0,3.24,6.9
2026-03-13 02:00:00,0.0,2.97,6.39
2026-03-13 03:00:00,0.38,3.52,6.66
2026-03-13 04:00:00,0.0,2.27,5.67
2026-03-13 05:00:00,0.0,3.3,7.73
2026-03-13 06:00:00,0.0,4.85,10.94
2026-03-13 07:00:00,5.91,21.0,36.09
2026-03-13 08:00:00,37.36,63.38,89.41
2026-03-13 09:00:00,59.23,95.79,132.34
2026-03-13 10:00:00,66.88,101.97,137.06
2026-03-13 11:00:00,72.27,105.47,138.67
2026-03-13 12:00:00,64.99,99.67,134.35
2026-03-13 13:00:00,72.78,106.57,140.36
2026-03-13 14:00:00,62.66,97.59,132.53
2026-03-13 15:00:00,53.3,85.19,117.08
2026-03-13 16:00:00,29.44,56.81,84.18
2026-03-13 17:00:00,8.66,37.35,66.04
2026-03-13 18:00:00,1.22,24.26,47.3
2026-03-13 19:00:00,1.25,19.97,38.68
2026-03-13 20:00:00,0.16,15.15,30.13
2026-03-13 21:00:00,1.75,16.26,30.78
2026-03-13 22:00:00,0.0,11.91,24.36
2026-03-13 23:00:00,0.0,9.6,21.92
2026-03-14 00:00:00,0.0,1.61,9.5
2026-03-14 01:00:00,0.0,2.29,5.96
2026-03-14 02:00:00,0.0,1.84,5.27
2026-03-14 03:00:00,0.0,2.0,6.5
2026-03-14 04:00:00,0.0,2.28,5.68
2026-03-14 05:00:00,0.0,1.03,5.07
2026-03-14 06:00:00,0.0,1.0,6.34
2026-03-14 07:00:00,0.0,6.07,19.52
2026-03-14 08:00:00,0.0,10.92,22.89
2026-03-14 09:00:00,0.0,8.11,23.74
2026-03-14 10:00:00,0.0,8.15,18.12
2026-03-14 11:00:00,0.7,11.67,22.65
2026-03-14 12:00:00,0.0,7.77,22.81
2026-03-14 13:00:00,3.76,12.43,21.1
2026-03-14 14:00:00,0.0,14.3,30.16
2026-03-14 15:00:00,0.0,7.69,23.89
2026-03-14 16:00:00,5.13,15.25,25.36
2026-03-14 17:00:00,0.0,7.48,21.73
2026-03-14 18:00:00,0.0,6.54,14.21
2026-03-14 19:00:00,0.0,5.19,12.21
2026-03-14 20:00:00,0.0,3.93,10.79
2026-03-14 21:00:00,0.0,6.98,14.36
2026-03-14 22:00:00,0.0,5.49,12.23
2026-03-14 23:00:00,0.0,4.78,11.05
2026-03-15 00:00:00,0.0,1.0,4.18
2026-03-15 01:00:00,0.0,1.45,5.04
2026-03-15 02:00:00,0.0,1.86,5.2
2026-03-15 03:00:00,0.0,2.0,6.5
2026-03-15 04:00:00,0.0,1.0,4.44
2026-03-15 05:00:00,0.0,1.0,4.94
2026-03-15 06:00:00,0.0,1.0,6.64
2026-03-15 07:00:00,0.0,5.56,23.11
2026-03-15 08:00:00,0.0,9.72,25.72
2026-03-15 09:00:00,0.0,9.31,27.52
2026-03-15 10:00:00,0.0,12.32,29.24
2026-03-15 11:00:00,0.0,16.21,33.37
2026-03-15 12:00:00,0.0,10.37,25.86
2026-03-15 13:00:00,0.0,11.25,26.51
2026-03-15 14:00:00,0.0,14.82,32.79
2026-03-15 15:00:00,0.0,10.77,26.93
2026-03-15 16:00:00,0.0,13.62,28.77
2026-03-15 17:00:00,0.15,15.33,30.51
2026-03-15 18:00:00,0.74,12.89,25.04
2026-03-15 19:00:00,0.0,8.11,21.76
2026-03-15 20:00:00,0.9,10.04,19.17
2026-03-15 21:00:00,0.0,10.38,21.7
2026-03-15 22:00:00,2.04,13.51,24.98
2026-03-15 23:00:00,0.0,5.3,17.73
2026-03-16 00:00:00,0.0,2.0,5.31
2026-03-16 01:00:00,0.0,2.53,6.24
2026-03-16 02:00:00,0.0,2.17,5.52
2026-03-16 03:00:00,0.0,2.36,5.51
2026-03-16 04:00:00,0.0,2.27,5.71
2026-03-16 05:00:00,0.0,2.7,6.93
2026-03-16 06:00:00,0.0,5.14,11.13
2026-03-16 07:00:00,3.57,27.12,50.68
2026-03-16 08:00:00,42.25,86.42,91.75
2026-03-16 09:00:00,64.94,103.49,142.03
2026-03-16 10:00:00,71.72,112.05,152.37
2026-03-16 11:00:00,78.86,116.04,153.22
2026-03-16 12:00:00,66.25,106.79,147.34
2026-03-16 13:00:00,75.56,113.88,152.2
2026-03-16 14:00:00,67.15,103.98,140.8
2026-03-16 15:00:00,60.54,92.42,124.31
2026-03-16 16:00:00,30.49,68.28,106.07
2026-03-16 17:00:00,4.03,36.63,69.22
2026-03-16 18:00:00,3.77,23.97,44.18
2026-03-16 19:00:00,1.44,18.83,36.23
2026-03-16 20:00:00,0.0,12.12,26.84
2026-03-16 21:00:00,0.03,13.55,27.07
2026-03-16 22:00:00,1.42,14.54,27.67
2026-03-16 23:00:00,0.0,7.1,19.79
2026-03-17 00:00:00,0.0,2.08,5.65
2026-03-17 01:00:00,0.0,2.9,6.64
2026-03-17 02:00:00,0.0,2.09,5.4
2026-03-17 03:00:00,0.0,0.54,3.66
2026-03-17 04:00:00,0.0,1.35,4.66
2026-03-17 05:00:00,0.0,1.75,5.85
2026-03-17 06:00:00,0.41,6.12,11.83
2026-03-17 07:00:00,10.58,32.14,53.69
2026-03-17 08:00:00,54.54,83.36,112.18
2026-03-17 09:00:00,69.77,104.29,138.8
2026-03-17 10:00:00,72.05,109.26,146.47
2026-03-17 11:00:00,78.8,113.57,148.34
2026-03-17 12:00:00,67.28,106.37,145.46
2026-03-17 13:00:00,76.26,114.96,153.66
2026-03-17 14:00:00,69.31,105.3,141.3
2026-03-17 15:00:00,60.39,93.04,125.7
2026-03-17 16:00:00,35.02,75.02,115.03
2026-03-17 17:00:00,13.12,44.41,75.7
2026-03-17 18:00:00,8.64,33.81,58.98
2026-03-17 19:00:00,2.54,22.17,41.79
2026-03-17 20:00:00,0.0,12.89,30.1
2026-03-17 21:00:00,0.0,13.7,29.13
2026-03-17 22:00:00,0.0,10.99,24.16
2026-03-17 23:00:00,0.0,8.66,19.39
2026-03-18 00:00:00,0.0,1.53,5.98
2026-03-18 01:00:00,0.0,2.32,6.0
2026-03-18 02:00:00,0.0,2.14,5.58
2026-03-18 03:00:00,0.0,1.94,5.06
2026-03-18 04:00:00,0.0,1.49,4.8
2026-03-18 05:00:00,0.0,2.35,6.45
2026-03-18 06:00:00,0.0,5.13,10.94
2026-03-18 07:00:00,7.37,29.02,50.68
2026-03-18 08:00:00,58.56,87.43,116.3
2026-03-18 09:00:00,64.16,100.0,135.83
2026-03-18 10:00:00,70.71,105.92,141.12
2026-03-18 11:00:00,76.14,110.29,144.44
2026-03-18 12:00:00,67.77,101.09,134.41
2026-03-18 13:00:00,75.08,109.7,144.31
2026-03-18 14:00:00,67.36,99.5,131.64
2026-03-18 15:00:00,58.22,88.84,119.46
2026-03-18 16:00:00,34.88,63.61,92.35
2026-03-18 17:00:00,9.15,40.93,72.71
2026-03-18 18:00:00,0.0,22.78,46.25
2026-03-18 19:00:00,1.45,18.47,35.5
2026-03-18 20:00:00,0.0,12.69,27.64
2026-03-18 21:00:00,0.75,14.92,29.1
2026-03-18 22:00:00,0.24,12.94,25.64
2026-03-18 23:00:00,0.0,7.14,19.69
2026-03-19 00:00:00,0.03,3.6,7.17
2026-03-19 01:00:00,0.0,2.48,6.12
2026-03-19 02:00:00,0.0,2.91,6.23
2026-03-19 03:00:00,0.0,1.17,4.29
2026-03-19 04:00:00,0.0,2.34,5.64
2026-03-19 05:00:00,0.0,2.35,6.56
2026-03-19 06:00:00,0.0,5.81,11.63
2026-03-19 07:00:00,7.83,28.63,49.44
2026-03-19 08:00:00,52.96,81.96,110.96
2026-03-19 09:00:00,59.65,95.91,132.16
2026-03-19 10:00:00,71.36,105.03,138.71
2026-03-19 11:00:00,76.59,108.84,141.09
2026-03-19 12:00:00,70.12,103.88,137.64
2026-03-19 13:00:00,81.0,113.61,146.23
2026-03-19 14:00:00,68.44,102.45,136.45
2026-03-19 15:00:00,60.6,92.83,125.05
2026-03-19 16:00:00,25.49,62.46,99.43
2026-03-19 17:00:00,5.99,36.46,66.93
2026-03-19 18:00:00,6.7,26.78,46.86
2026-03-19 19:00:00,0.0,18.39,38.23
2026-03-19 20:00:00,0.0,14.04,29.23
2026-03-19 21:00:00,0.0,13.87,28.15
2026-03-19 22:00:00,0.0,11.27,24.25
2026-03-19 23:00:00,0.0,7.44,19.99
2026-03-20 00:00:00,0.0,2.59,6.09
2026-03-20 01:00:00,0.0,2.36,6.05
2026-03-20 02:00:00,0.0,2.82,6.22
2026-03-20 03:00:00,0.0,2.04,5.15
2026-03-20 04:00:00,0.0,1.44,4.86
2026-03-20 05:00:00,0.0,2.32,6.42
2026-03-20 06:00:00,0.0,5.41,11.18
2026-03-20 07:00:00,4.27,23.11,41.95
2026-03-20 08:00:00,48.92,74.6,100.28
2026-03-20 09:00:00,62.25,96.28,130.32
2026-03-20 10:00:00,70.82,102.97,135.11
2026-03-20 11:00:00,75.72,106.43,137.13
2026-03-20 12:00:00,69.71,101.88,134.05
2026-03-20 13:00:00,77.65,108.6,139.56
2026-03-20 14:00:00,64.73,97.26,129.79
2026-03-20 15:00:00,53.79,83.4,113.01
2026-03-20 16:00:00,29.8,55.05,80.3
2026-03-20 17:00:00,2.04,29.57,57.09
2026-03-20 18:00:00,0.0,19.35,39.61
2026-03-20 19:00:00,0.0,14.59,29.74
2026-03-20 20:00:00,0.0,11.8,26.3
2026-03-20 21:00:00,0.36,13.53,26.71
2026-03-20 22:00:00,0.0,9.16,22.03
2026-03-20 23:00:00,0.0,7.03,17.53
2026-03-21 00:00:00,0.0,1.0,4.4
2026-03-21 01:00:00,0.0,2.14,5.79
2026-03-21 02:00:00,0.0,1.69,5.11
2026-03-21 03:00:00,0.0,2.0,6.5
2026-03-21 04:00:00,0.0,2.26,5.65
2026-03-21 05:00:00,0.0,1.0,4.82
2026-03-21 06:00:00,0.0,1.0,6.01
2026-03-21 07:00:00,0.0,7.06,23.4
2026-03-21 08:00:00,0.0,11.88,26.56
2026-03-21 09:00:00,0.0,9.91,29.57
2026-03-21 10:00:00,0.0,9.79,25.81
2026-03-21 11:00:00,0.0,12.42,26.92
2026-03-21 12:00:00,0.0,8.57,23.29
2026-03-21 13:00:00,1.85,12.47,23.09
2026-03-21 14:00:00,0.0,14.03,30.16
2026-03-21 15:00:00,0.0,7.98,24.08
2026-03-21 16:00:00,4.43,15.03,25.64
2026-03-21 17:00:00,0.0,7.86,22.13
2026-03-21 18:00:00,0.0,6.51,14.09
2026-03-21 19:00:00,0.0,5.13,12.55
2026-03-21 20:00:00,0.0,3.86,10.26
2026-03-21 21:00:00,0.0,7.25,14.59
2026-03-21 22:00:00,0.0,5.61,12.81
2026-03-21 23:00:00,0.0,4.74,10.92
2026-03-22 00:00:00,0.0,1.0,4.16
2026-03-22 01:00:00,0.0,1.42,4.99
2026-03-22 02:00:00,0.0,1.84,5.16
2026-03-22 03:00:00,0.0,2.0,6.5
2026-03-22 04:00:00,0.0,1.0,4.42
2026-03-22 05:00:00,0.0,1.0,4.92
2026-03-22 06:00:00,0.0,1.0,6.62
2026-03-22 07:00:00,0.0,5.41,23.84
2026-03-22 08:00:00,0.0,9.77,25.92
2026-03-22 09:00:00,0.0,9.5,28.94
2026-03-22 10:00:00,0.0,12.35,30.49
2026-03-22 11:00:00,0.0,15.98,34.49
2026-03-22 12:00:00,0.0,10.27,26.8
2026-03-22 13:00:00,0.0,11.24,26.47
2026-03-22 14:00:00,0.0,14.21,31.7
2026-03-22 15:00:00,0.0,10.72,28.17
2026-03-22 16:00:00,0.0,13.25,28.33
2026-03-22 17:00:00,0.19,15.35,30.51
2026-03-22 18:00:00,0.0,12.56,25.16
2026-03-22 19:00:00,0.0,8.05,21.57
2026-03-22 20:00:00,0.58,9.63,18.68
2026-03-22 21:00:00,0.0,10.64,21.61
2026-03-22 22:00:00,1.81,13.2,24.59
2026-03-22 23:00:00,0.0,5.39,17.74
