ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,2.0,8.64,15.28
2026-02-10 01:00:00,2.01,8.13,14.25
2026-02-10 02:00:00,0.96,4.34,7.71
2026-02-10 03:00:00,0.09,3.08,6.07
2026-02-10 04:00:00,0.0,2.38,4.94
2026-02-10 05:00:00,0.83,4.22,7.6
2026-02-10 06:00:00,5.2,9.34,13.48
2026-02-10 07:00:00,32.61,54.55,76.5
2026-02-10 08:00:00,34.76,90.17,145.58
2026-02-10 09:00:00,51.7,101.18,150.66
2026-02-10 10:00:00,57.84,106.98,156.13
2026-02-10 11:00:00,61.42,110.15,158.88
2026-02-10 12:00:00,56.46,103.49,150.52
2026-02-10 13:00:00,62.13,112.76,163.38
2026-02-10 14:00:00,61.37,101.43,141.5
2026-02-10 15:00:00,53.92,88.48,123.04
2026-02-10 16:00:00,34.86,64.04,93.21
2026-02-10 17:00:00,20.37,39.83,59.29
2026-02-10 18:00:00,9.61,23.41,37.21
2026-02-10 19:00:00,10.08,23.66,37.23
2026-02-10 20:00:00,0.17,11.94,23.72
2026-02-10 21:00:00,8.51,17.49,26.47
2026-02-10 22:00:00,3.37,12.54,21.71
2026-02-10 23:00:00,4.77,12.81,20.86
2026-02-11 00:00:00,0.16,5.51,10.85
2026-02-11 01:00:00,1.11,3.89,6.67
2026-02-11 02:00:00,0.14,1.98,3.82
2026-02-11 03:00:00,0.0,2.33,5.24
2026-02-11 04:00:00,0.0,2.1,4.73
2026-02-11 05:00:00,0.0,3.36,6.87
2026-02-11 06:00:00,2.86,7.09,11.32
2026-02-11 07:00:00,28.7,45.92,63.14
2026-02-11 08:00:00,35.01,82.53,130.05
2026-02-11 09:00:00,56.62,100.48,144.34
2026-02-11 10:00:00,64.68,108.49,152.3
2026-02-11 11:00:00,64.57,107.32,150.07
2026-02-11 12:00:00,59.48,102.02,144.57
2026-02-11 13:00:00,70.33,110.19,150.05
2026-02-11 14:00:00,62.48,97.15,131.81
2026-02-11 15:00:00,54.85,89.78,110.35
2026-02-11 16:00:00,23.88,62.1,100.33
2026-02-11 17:00:00,15.69,42.87,70.06
2026-02-11 18:00:00,4.86,24.29,43.72
2026-02-11 19:00:00,5.16,22.96,40.75
2026-02-11 20:00:00,0.0,12.1,27.77
2026-02-11 21:00:00,7.76,19.37,30.97
2026-02-11 22:00:00,0.0,9.02,20.94
2026-02-11 23:00:00,2.3,12.61,22.92
2026-02-12 00:00:00,0.0,4.9,11.76
2026-02-12 01:00:00,0.19,3.22,6.25
2026-02-12 02:00:00,0.0,2.05,4.21
2026-02-12 03:00:00,0.0,1.59,5.1
2026-02-12 04:00:00,0.0,1.93,5.04
2026-02-12 05:00:00,0.0,2.62,6.7
2026-02-12 06:00:00,2.07,6.85,11.63
2026-02-12 07:00:00,26.77,45.79,64.82
2026-02-12 08:00:00,33.44,82.27,106.6
2026-02-12 09:00:00,56.63,95.59,134.55
2026-02-12 10:00:00,64.14,102.98,141.81
2026-02-12 11:00:00,67.47,105.54,143.61
2026-02-12 12:00:00,61.6,100.41,139.21
2026-02-12 13:00:00,70.24,109.27,148.3
2026-02-12 14:00:00,63.82,99.77,135.72
2026-02-12 15:00:00,55.61,89.29,110.62
2026-02-12 16:00:00,28.92,66.52,104.12
2026-02-12 17:00:00,19.38,43.92,68.45
2026-02-12 18:00:00,4.03,23.98,43.93
2026-02-12 19:00:00,3.61,21.27,38.93
2026-02-12 20:00:00,0.0,11.07,24.88
2026-02-12 21:00:00,7.0,18.87,30.74
2026-02-12 22:00:00,0.0,9.44,21.87
2026-02-12 23:00:00,1.12,12.11,23.09
2026-02-13 00:00:00,0.0,4.27,11.06
2026-02-13 01:00:00,0.0,2.63,5.66
2026-02-13 02:00:00,0.0,1.76,3.86
2026-02-13 03:00:00,0.0,3.1,6.61
2026-02-13 04:00:00,0.0,2.39,5.56
2026-02-13 05:00:00,0.0,2.64,6.55
2026-02-13 06:00:00,1.96,6.7,11.45
2026-02-13 07:00:00,20.85,36.73,52.6
2026-02-13 08:00:00,27.0,79.66,94.14
2026-02-13 09:00:00,57.86,98.11,138.36
2026-02-13 10:00:00,63.3,104.25,145.21
2026-02-13 11:00:00,66.56,107.13,147.7
2026-02-13 12:00:00,62.39,103.37,144.36
2026-02-13 13:00:00,68.3,110.65,152.99
2026-02-13 14:00:00,62.05,99.42,136.78
2026-02-13 15:00:00,54.13,88.18,122.23
2026-02-13 16:00:00,26.34,63.06,99.78
2026-02-13 17:00:00,14.63,40.19,65.74
2026-02-13 18:00:00,0.0,19.72,40.23
2026-02-13 19:00:00,4.08,19.62,35.15
2026-02-13 20:00:00,0.0,9.61,22.76
2026-02-13 21:00:00,6.65,18.14,29.62
2026-02-13 22:00:00,0.0,9.11,21.91
2026-02-13 23:00:00,1.42,12.23,23.04
2026-02-14 00:00:00,0.0,3.83,10.56
2026-02-14 01:00:00,0.0,2.11,5.1
2026-02-14 02:00:00,0.0,1.64,3.74
2026-02-14 03:00:00,0.0,1.17,4.68
2026-02-14 04:00:00,0.0,2.04,5.15
2026-02-14 05:00:00,0.0,2.18,6.01
2026-02-14 06:00:00,0.23,4.64,9.06
2026-02-14 07:00:00,11.86,24.77,37.68
2026-02-14 08:00:00,12.62,51.56,90.5
2026-02-14 09:00:00,21.34,68.39,115.45
2026-02-14 10:00:00,41.04,79.19,117.35
2026-02-14 11:00:00,40.36,92.73,145.1
2026-02-14 12:00:00,30.39,83.55,136.71
2026-02-14 13:00:00,42.96,95.53,148.1
2026-02-14 14:00:00,36.07,85.06,134.04
2026-02-14 15:00:00,34.49,63.82,93.16
2026-02-14 16:00:00,15.54,43.18,70.82
2026-02-14 17:00:00,1.56,20.78,39.99
2026-02-14 18:00:00,0.0,11.29,25.81
2026-02-14 19:00:00,4.74,16.89,29.03
2026-02-14 20:00:00,0.0,7.24,18.63
2026-02-14 21:00:00,7.15,15.82,24.49
