ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,56.46,103.49,150.52,130,12,-26.510000000000005
2026-02-10 13:00:00,62.13,112.76,163.38,164,13,-51.239999999999995
2026-02-10 14:00:00,61.37,101.43,141.5,161,14,-59.56999999999999
2026-02-10 15:00:00,53.92,88.48,123.04,136,15,-47.519999999999996
2026-02-10 16:00:00,34.86,64.04,93.21,54,16,10.040000000000006
2026-02-10 17:00:00,20.37,39.83,59.29,31,17,8.829999999999998
2026-02-10 18:00:00,9.61,23.41,37.21,33,18,-9.59
2026-02-10 19:00:00,10.08,23.66,37.23,25,19,-1.3399999999999999
2026-02-10 20:00:00,0.17,11.94,23.72,6,20,5.9399999999999995
2026-02-10 21:00:00,8.51,17.49,26.47,7,21,10.489999999999998
2026-02-10 22:00:00,3.37,12.54,21.71,5,22,7.539999999999999
2026-02-10 23:00:00,4.77,12.81,20.86,8,23,4.8100000000000005
2026-02-11 00:00:00,0.16,5.51,10.85,2,0,3.51
2026-02-11 05:00:00,0.0,3.36,6.87,1,5,2.36
2026-02-11 06:00:00,2.86,7.09,11.32,6,6,1.0899999999999999
2026-02-11 07:00:00,28.7,45.92,63.14,71,7,-25.08
2026-02-11 08:00:00,35.01,82.53,130.05,103,8,-20.47
2026-02-11 09:00:00,56.62,100.48,144.34,97,9,3.480000000000004
2026-02-11 10:00:00,64.68,108.49,152.3,112,10,-3.510000000000005
2026-02-11 11:00:00,64.57,107.32,150.07,105,11,2.319999999999993
2026-02-11 12:00:00,59.48,102.02,144.57,115,12,-12.980000000000004
2026-02-11 13:00:00,70.33,110.19,150.05,148,13,-37.81
2026-02-11 14:00:00,62.48,97.15,131.81,147,14,-49.849999999999994
2026-02-11 15:00:00,54.85,89.78,110.35,99,15,-9.219999999999999
2026-02-11 16:00:00,23.88,62.1,100.33,62,16,0.10000000000000142
2026-02-11 17:00:00,15.69,42.87,70.06,47,17,-4.130000000000003
2026-02-11 18:00:00,4.86,24.29,43.72,32,18,-7.710000000000001
