ds,y_p10,y_pred,y_p90
2026-01-10 00:00:00,0.4,1.96,2.49
2026-01-10 01:00:00,0.5,2.29,3.09
2026-01-10 02:00:00,0.25,1.38,1.59
2026-01-10 03:00:00,0.55,3.43,4.22
2026-01-10 04:00:00,0.28,1.59,2.04
2026-01-10 05:00:00,0.24,1.44,1.97
2026-01-10 06:00:00,0.44,3.56,4.54
2026-01-10 07:00:00,1.78,6.89,12.8
2026-01-10 08:00:00,1.69,6.04,15.95
2026-01-10 09:00:00,1.78,7.33,14.96
2026-01-10 10:00:00,1.5,7.64,14.07
2026-01-10 11:00:00,1.28,7.49,13.44
2026-01-10 12:00:00,1.26,6.82,12.38
2026-01-10 13:00:00,1.1,5.06,10.13
2026-01-10 14:00:00,1.02,5.02,9.13
2026-01-10 15:00:00,0.79,4.6,7.52
2026-01-10 16:00:00,0.84,4.63,7.1
2026-01-10 17:00:00,0.83,4.65,8.53
2026-01-10 18:00:00,0.69,4.06,6.54
2026-01-10 19:00:00,0.83,5.65,8.03
2026-01-10 20:00:00,0.73,5.15,6.87
2026-01-10 21:00:00,0.61,4.72,5.64
2026-01-10 22:00:00,0.64,4.41,5.69
2026-01-10 23:00:00,0.45,2.76,4.08
2026-01-11 00:00:00,0.4,2.88,2.88
2026-01-11 01:00:00,0.49,3.2,3.31
2026-01-11 02:00:00,0.25,1.87,1.87
2026-01-11 03:00:00,0.55,3.54,4.38
2026-01-11 04:00:00,0.28,1.77,2.05
2026-01-11 05:00:00,0.23,1.35,1.97
2026-01-11 06:00:00,0.42,3.16,4.62
2026-01-11 07:00:00,0.88,4.2,12.8
2026-01-11 08:00:00,0.89,4.25,11.23
2026-01-11 09:00:00,0.92,5.95,10.7
2026-01-11 10:00:00,0.99,6.1,10.37
2026-01-11 11:00:00,1.14,6.81,12.26
2026-01-11 12:00:00,1.16,7.01,11.88
2026-01-11 13:00:00,1.04,6.69,10.89
2026-01-11 14:00:00,1.17,7.17,11.95
2026-01-11 15:00:00,0.84,6.67,9.81
2026-01-11 16:00:00,0.86,6.5,10.02
2026-01-11 17:00:00,0.86,6.15,11.39
2026-01-11 18:00:00,0.71,6.45,8.7
2026-01-11 19:00:00,0.84,8.61,10.68
2026-01-11 20:00:00,0.72,7.2,8.94
2026-01-11 21:00:00,0.6,6.38,7.41
2026-01-11 22:00:00,0.65,6.97,7.83
