ds,y_p10,y_pred,y_p90,y_actual
2026-01-10 14:00:00,1.02,5.02,9.13,8
2026-01-10 16:00:00,0.84,4.63,7.1,8
2026-01-10 17:00:00,0.83,4.65,8.53,9
2026-01-10 18:00:00,0.69,4.06,6.54,3
2026-01-10 19:00:00,0.83,5.65,8.03,2
2026-01-10 20:00:00,0.73,5.15,6.87,5
2026-01-10 21:00:00,0.61,4.72,5.64,4
2026-01-10 22:00:00,0.64,4.41,5.69,1
2026-01-10 23:00:00,0.45,2.76,4.08,1
2026-01-11 01:00:00,0.49,3.2,3.31,2
2026-01-11 08:00:00,0.89,4.25,11.23,8
2026-01-11 09:00:00,0.92,5.95,10.7,6
2026-01-11 10:00:00,0.99,6.1,10.37,14
2026-01-11 11:00:00,1.14,6.81,12.26,4
2026-01-11 12:00:00,1.16,7.01,11.88,7
2026-01-11 13:00:00,1.04,6.69,10.89,5
2026-01-11 14:00:00,1.17,7.17,11.95,10
2026-01-11 15:00:00,0.84,6.67,9.81,10
2026-01-11 16:00:00,0.86,6.5,10.02,7
2026-01-11 17:00:00,0.86,6.15,11.39,4
2026-01-11 18:00:00,0.71,6.45,8.7,8
2026-01-11 19:00:00,0.84,8.61,10.68,9
2026-01-11 20:00:00,0.72,7.2,8.94,5
2026-01-11 21:00:00,0.6,6.38,7.41,13
2026-01-11 22:00:00,0.65,6.97,7.83,6
2026-01-11 23:00:00,0.48,4.21,5.57,5
2026-01-12 00:00:00,0.39,2.98,2.98,1
2026-01-12 01:00:00,0.47,3.52,3.52,2
2026-01-12 04:00:00,0.27,2.03,2.26,1
2026-01-12 05:00:00,0.24,1.81,2.1,3
2026-01-12 06:00:00,0.7,3.83,4.93,14
2026-01-12 07:00:00,4.94,24.24,28.22,30
2026-01-12 08:00:00,18.09,60.51,69.37,92
2026-01-12 09:00:00,45.54,92.84,111.71,104
2026-01-12 10:00:00,56.29,99.8,112.83,152
2026-01-12 11:00:00,64.06,105.26,120.97,148
2026-01-12 12:00:00,60.36,95.73,121.65,161
2026-01-12 13:00:00,50.98,87.3,104.89,180
2026-01-12 14:00:00,54.82,86.17,109.26,156
2026-01-12 15:00:00,42.18,62.02,80.89,111
2026-01-12 16:00:00,25.6,40.06,60.67,84
2026-01-12 17:00:00,9.67,22.56,37.47,33
2026-01-12 18:00:00,4.47,13.31,19.5,38
2026-01-12 19:00:00,2.78,15.71,19.05,35
2026-01-12 20:00:00,1.65,9.1,12.77,16
2026-01-12 21:00:00,0.99,7.96,10.35,9
2026-01-12 22:00:00,1.08,7.92,9.15,8
