ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.0,6.19,21.44
2026-02-10 01:00:00,0.0,8.15,23.64
2026-02-10 02:00:00,0.0,4.47,18.13
2026-02-10 03:00:00,0.0,4.53,17.47
2026-02-10 04:00:00,0.0,2.93,14.76
2026-02-10 05:00:00,0.0,4.53,16.21
2026-02-10 06:00:00,0.0,7.93,19.73
2026-02-10 07:00:00,26.22,46.13,66.04
2026-02-10 08:00:00,29.08,84.48,139.88
2026-02-10 09:00:00,35.05,100.73,166.41
2026-02-10 10:00:00,42.4,105.79,169.19
2026-02-10 11:00:00,28.69,104.85,181.01
2026-02-10 12:00:00,32.5,99.61,166.72
2026-02-10 13:00:00,37.11,107.24,177.37
2026-02-10 14:00:00,27.98,97.32,166.65
2026-02-10 15:00:00,23.87,81.46,139.04
2026-02-10 16:00:00,6.25,49.67,93.08
2026-02-10 17:00:00,0.83,28.67,56.51
2026-02-10 18:00:00,5.06,19.12,33.19
2026-02-10 19:00:00,1.96,15.37,28.79
2026-02-10 20:00:00,0.0,9.48,21.63
2026-02-10 21:00:00,0.0,8.72,20.38
2026-02-10 22:00:00,0.0,7.3,18.48
2026-02-10 23:00:00,0.0,4.31,14.72
2026-02-11 00:00:00,0.0,1.84,12.97
2026-02-11 01:00:00,0.0,2.12,13.73
2026-02-11 02:00:00,0.0,0.63,11.82
2026-02-11 03:00:00,0.0,2.76,14.88
2026-02-11 04:00:00,0.0,2.18,13.87
2026-02-11 05:00:00,0.0,1.81,13.54
2026-02-11 06:00:00,0.0,4.55,16.6
2026-02-11 07:00:00,14.82,33.76,52.7
2026-02-11 08:00:00,28.6,71.65,114.71
2026-02-11 09:00:00,31.32,95.43,159.54
2026-02-11 10:00:00,39.74,101.51,163.27
2026-02-11 11:00:00,14.5,99.57,184.63
2026-02-11 12:00:00,20.65,95.1,169.55
2026-02-11 13:00:00,22.49,97.65,172.82
2026-02-11 14:00:00,11.92,89.56,167.2
2026-02-11 15:00:00,7.42,77.46,147.51
2026-02-11 16:00:00,0.0,49.02,105.15
2026-02-11 17:00:00,0.0,29.78,66.48
2026-02-11 18:00:00,0.0,17.68,36.38
2026-02-11 19:00:00,0.0,14.51,32.54
2026-02-11 20:00:00,0.0,7.9,24.4
2026-02-11 21:00:00,0.0,6.62,21.39
2026-02-11 22:00:00,0.0,5.53,20.69
2026-02-11 23:00:00,0.0,2.77,17.36
2026-02-12 00:00:00,0.0,1.96,17.53
2026-02-12 01:00:00,0.0,2.06,18.15
2026-02-12 02:00:00,0.0,0.78,16.15
2026-02-12 03:00:00,0.0,1.92,18.43
2026-02-12 04:00:00,0.0,1.2,17.0
2026-02-12 05:00:00,0.0,1.77,17.5
2026-02-12 06:00:00,0.0,3.54,19.59
2026-02-12 07:00:00,9.12,34.17,59.23
2026-02-12 08:00:00,15.46,69.83,124.19
2026-02-12 09:00:00,8.17,87.64,167.1
2026-02-12 10:00:00,16.82,94.2,171.59
2026-02-12 11:00:00,0.0,94.85,196.46
2026-02-12 12:00:00,4.53,91.82,179.12
2026-02-12 13:00:00,0.75,94.86,188.96
2026-02-12 14:00:00,0.0,92.37,188.24
2026-02-12 15:00:00,0.0,78.61,165.28
2026-02-12 16:00:00,0.0,54.4,123.06
2026-02-12 17:00:00,0.0,30.35,79.02
2026-02-12 18:00:00,0.0,16.45,42.44
2026-02-12 19:00:00,0.0,14.56,37.14
2026-02-12 20:00:00,0.0,7.65,28.08
2026-02-12 21:00:00,0.0,6.24,24.46
2026-02-12 22:00:00,0.0,5.11,23.74
2026-02-12 23:00:00,0.0,3.0,20.87
2026-02-13 00:00:00,0.0,1.89,20.9
2026-02-13 01:00:00,0.0,1.71,21.28
2026-02-13 02:00:00,0.0,0.9,19.55
2026-02-13 03:00:00,0.0,3.06,23.02
2026-02-13 04:00:00,0.0,1.74,20.79
2026-02-13 05:00:00,0.0,1.84,20.75
2026-02-13 06:00:00,0.0,3.41,22.64
2026-02-13 07:00:00,0.0,19.46,48.83
2026-02-13 08:00:00,13.52,48.68,83.84
2026-02-13 09:00:00,4.38,84.83,165.28
2026-02-13 10:00:00,10.58,96.17,181.77
2026-02-13 11:00:00,0.0,96.34,216.42
2026-02-13 12:00:00,0.0,92.5,194.76
2026-02-13 13:00:00,0.0,97.19,207.24
2026-02-13 14:00:00,0.0,93.3,206.23
2026-02-13 15:00:00,0.0,77.15,178.41
2026-02-13 16:00:00,0.0,48.52,129.0
2026-02-13 17:00:00,0.0,26.49,79.9
2026-02-13 18:00:00,0.0,15.59,39.13
2026-02-13 19:00:00,0.0,12.24,36.95
2026-02-13 20:00:00,0.0,6.66,30.37
2026-02-13 21:00:00,0.0,5.59,26.7
2026-02-13 22:00:00,0.0,4.52,26.07
2026-02-13 23:00:00,0.0,2.79,23.42
2026-02-14 00:00:00,0.0,1.68,23.59
2026-02-14 01:00:00,0.0,1.76,24.28
2026-02-14 02:00:00,0.0,1.22,22.64
2026-02-14 03:00:00,0.0,1.96,24.86
2026-02-14 04:00:00,0.0,2.08,23.89
2026-02-14 05:00:00,0.0,1.3,22.92
2026-02-14 06:00:00,0.0,1.95,23.91
2026-02-14 07:00:00,0.0,2.76,34.54
2026-02-14 08:00:00,0.0,2.74,55.88
2026-02-14 09:00:00,0.0,1.42,53.37
2026-02-14 10:00:00,0.0,2.21,54.51
2026-02-14 11:00:00,0.0,5.56,59.68
2026-02-14 12:00:00,0.0,3.17,56.37
2026-02-14 13:00:00,0.0,2.0,53.38
2026-02-14 14:00:00,0.0,5.11,59.53
2026-02-14 15:00:00,0.0,1.13,52.37
2026-02-14 16:00:00,0.0,12.88,64.61
2026-02-14 17:00:00,0.0,4.12,39.07
2026-02-14 18:00:00,0.0,1.76,23.51
2026-02-14 19:00:00,0.0,2.47,26.31
2026-02-14 20:00:00,0.0,2.79,26.64
2026-02-14 21:00:00,0.0,1.9,25.37
2026-02-14 22:00:00,0.0,2.07,25.99
2026-02-14 23:00:00,0.0,1.36,24.23
2026-02-15 00:00:00,0.0,1.58,25.85
2026-02-15 01:00:00,0.0,2.04,26.98
2026-02-15 02:00:00,0.0,0.84,24.52
2026-02-15 03:00:00,0.0,2.14,27.45
2026-02-15 04:00:00,0.0,0.71,24.78
2026-02-15 05:00:00,0.0,0.8,24.63
2026-02-15 06:00:00,0.0,1.31,25.49
2026-02-15 07:00:00,0.0,3.37,38.42
2026-02-15 08:00:00,0.0,3.59,62.29
