ds,y_p10,y_pred,y_p90,y_actual
2026-02-10 12:00:00,32.5,99.61,166.72,130
2026-02-10 13:00:00,37.11,107.24,177.37,164
2026-02-10 14:00:00,27.98,97.32,166.65,161
2026-02-10 15:00:00,23.87,81.46,139.04,136
2026-02-10 16:00:00,6.25,49.67,93.08,54
2026-02-10 17:00:00,0.83,28.67,56.51,31
2026-02-10 18:00:00,5.06,19.12,33.19,33
2026-02-10 19:00:00,1.96,15.37,28.79,25
2026-02-10 20:00:00,0.0,9.48,21.63,6
2026-02-10 21:00:00,0.0,8.72,20.38,7
2026-02-10 22:00:00,0.0,7.3,18.48,5
2026-02-10 23:00:00,0.0,4.31,14.72,8
2026-02-11 00:00:00,0.0,1.84,12.97,2
2026-02-11 05:00:00,0.0,1.81,13.54,1
2026-02-11 06:00:00,0.0,4.55,16.6,6
2026-02-11 07:00:00,14.82,33.76,52.7,71
2026-02-11 08:00:00,28.6,71.65,114.71,103
2026-02-11 09:00:00,31.32,95.43,159.54,97
2026-02-11 10:00:00,39.74,101.51,163.27,112
2026-02-11 11:00:00,14.5,99.57,184.63,105
2026-02-11 12:00:00,20.65,95.1,169.55,115
2026-02-11 13:00:00,22.49,97.65,172.82,148
2026-02-11 14:00:00,11.92,89.56,167.2,147
2026-02-11 15:00:00,7.42,77.46,147.51,99
2026-02-11 16:00:00,0.0,49.02,105.15,62
2026-02-11 17:00:00,0.0,29.78,66.48,47
2026-02-11 18:00:00,0.0,17.68,36.38,32
2026-02-11 19:00:00,0.0,14.51,32.54,11
2026-02-11 20:00:00,0.0,7.9,24.4,11
2026-02-11 21:00:00,0.0,6.62,21.39,7
2026-02-11 22:00:00,0.0,5.53,20.69,5
2026-02-11 23:00:00,0.0,2.77,17.36,5
2026-02-12 02:00:00,0.0,0.78,16.15,6
2026-02-12 03:00:00,0.0,1.92,18.43,1
2026-02-12 04:00:00,0.0,1.2,17.0,5
2026-02-12 06:00:00,0.0,3.54,19.59,5
2026-02-12 07:00:00,9.12,34.17,59.23,30
2026-02-12 08:00:00,15.46,69.83,124.19,58
2026-02-12 09:00:00,8.17,87.64,167.1,92
2026-02-12 10:00:00,16.82,94.2,171.59,89
2026-02-12 11:00:00,0.0,94.85,196.46,91
2026-02-12 12:00:00,4.53,91.82,179.12,119
2026-02-12 13:00:00,0.75,94.86,188.96,109
2026-02-12 14:00:00,0.0,92.37,188.24,111
2026-02-12 15:00:00,0.0,78.61,165.28,91
2026-02-12 16:00:00,0.0,54.4,123.06,55
2026-02-12 17:00:00,0.0,30.35,79.02,24
2026-02-12 18:00:00,0.0,16.45,42.44,19
2026-02-12 19:00:00,0.0,14.56,37.14,10
2026-02-12 20:00:00,0.0,7.65,28.08,16
2026-02-12 21:00:00,0.0,6.24,24.46,6
2026-02-12 22:00:00,0.0,5.11,23.74,12
2026-02-12 23:00:00,0.0,3.0,20.87,5
2026-02-13 00:00:00,0.0,1.89,20.9,2
2026-02-13 05:00:00,0.0,1.84,20.75,2
2026-02-13 06:00:00,0.0,3.41,22.64,3
2026-02-13 07:00:00,0.0,19.46,48.83,14
2026-02-13 08:00:00,13.52,48.68,83.84,72
2026-02-13 09:00:00,4.38,84.83,165.28,58
2026-02-13 10:00:00,10.58,96.17,181.77,71
2026-02-13 11:00:00,0.0,96.34,216.42,98
2026-02-13 12:00:00,0.0,92.5,194.76,128
2026-02-13 13:00:00,0.0,97.19,207.24,129
2026-02-13 14:00:00,0.0,93.3,206.23,55
2026-02-13 15:00:00,0.0,77.15,178.41,47
2026-02-13 16:00:00,0.0,48.52,129.0,28
2026-02-13 17:00:00,0.0,26.49,79.9,13
2026-02-13 18:00:00,0.0,15.59,39.13,6
2026-02-13 19:00:00,0.0,12.24,36.95,6
2026-02-13 20:00:00,0.0,6.66,30.37,8
2026-02-13 21:00:00,0.0,5.59,26.7,1
2026-02-13 22:00:00,0.0,4.52,26.07,3
2026-02-13 23:00:00,0.0,2.79,23.42,6
2026-02-14 00:00:00,0.0,1.68,23.59,3
2026-02-14 08:00:00,0.0,2.74,55.88,2
2026-02-14 11:00:00,0.0,5.56,59.68,6
2026-02-14 12:00:00,0.0,3.17,56.37,4
2026-02-14 13:00:00,0.0,2.0,53.38,10
2026-02-14 14:00:00,0.0,5.11,59.53,3
2026-02-14 15:00:00,0.0,1.13,52.37,1
2026-02-14 16:00:00,0.0,12.88,64.61,12
2026-02-14 17:00:00,0.0,4.12,39.07,2
2026-02-14 18:00:00,0.0,1.76,23.51,3
2026-02-14 19:00:00,0.0,2.47,26.31,7
2026-02-14 20:00:00,0.0,2.79,26.64,1
2026-02-14 21:00:00,0.0,1.9,25.37,3
2026-02-14 23:00:00,0.0,1.36,24.23,1
2026-02-15 00:00:00,0.0,1.58,25.85,1
2026-02-15 05:00:00,0.0,0.8,24.63,2
2026-02-15 06:00:00,0.0,1.31,25.49,2
2026-02-15 07:00:00,0.0,3.37,38.42,3
2026-02-15 08:00:00,0.0,3.59,62.29,1
2026-02-15 10:00:00,0.0,3.16,60.82,3
2026-02-15 12:00:00,0.0,5.17,63.93,3
2026-02-15 13:00:00,0.0,5.71,62.42,4
2026-02-15 14:00:00,0.0,6.65,66.66,4
2026-02-15 15:00:00,0.0,5.78,62.23,10
2026-02-15 16:00:00,0.0,4.64,61.6,4
2026-02-15 18:00:00,0.0,4.01,30.06,2
2026-02-15 19:00:00,0.0,5.95,32.14,2
2026-02-15 20:00:00,0.0,4.82,30.99,7
2026-02-15 21:00:00,0.0,4.98,30.72,3
2026-02-15 22:00:00,0.0,3.09,29.31,2
2026-02-15 23:00:00,0.0,1.53,26.58,2
2026-02-16 00:00:00,0.0,2.8,29.61,2
2026-02-16 06:00:00,0.0,3.98,30.59,4
2026-02-16 07:00:00,0.0,24.13,68.84,14
2026-02-16 08:00:00,0.0,76.56,159.26,21
2026-02-16 09:00:00,0.0,88.12,243.41,86
2026-02-16 10:00:00,0.0,101.04,236.95,59
2026-02-16 11:00:00,0.0,101.06,284.03,47
2026-02-16 12:00:00,0.0,96.56,254.34,47
2026-02-16 13:00:00,0.0,103.18,259.44,61
2026-02-16 14:00:00,0.0,95.5,263.29,43
2026-02-16 15:00:00,0.0,83.25,228.53,40
2026-02-16 16:00:00,0.0,58.86,173.93,17
2026-02-16 17:00:00,0.0,30.0,113.2,7
2026-02-16 18:00:00,0.0,18.93,59.72,16
2026-02-16 19:00:00,0.0,19.05,54.37,10
2026-02-16 20:00:00,0.0,9.88,43.8,9
2026-02-16 21:00:00,0.0,5.84,36.49,12
2026-02-16 22:00:00,0.0,10.38,39.2,17
2026-02-16 23:00:00,0.0,3.45,33.64,3
2026-02-17 00:00:00,0.0,3.84,33.02,3
2026-02-17 03:00:00,0.0,1.95,32.24,1
2026-02-17 05:00:00,0.0,1.66,30.16,2
2026-02-17 06:00:00,0.0,4.71,33.59,2
2026-02-17 07:00:00,0.0,28.09,72.77,24
2026-02-17 08:00:00,0.0,74.28,165.15,95
2026-02-17 09:00:00,0.0,98.8,251.61,124
2026-02-17 10:00:00,0.0,100.5,250.38,134
2026-02-17 11:00:00,0.0,105.19,293.75,112
2026-02-17 12:00:00,0.0,104.23,268.13,115
2026-02-17 13:00:00,0.0,104.81,279.62,119
2026-02-17 14:00:00,0.0,100.71,276.24,133
2026-02-17 15:00:00,0.0,84.74,244.88,100
2026-02-17 16:00:00,0.0,64.6,187.39,62
2026-02-17 17:00:00,0.0,37.12,127.26,55
2026-02-17 18:00:00,0.0,22.41,76.06,22
2026-02-17 19:00:00,0.0,18.95,60.25,13
2026-02-17 20:00:00,0.0,9.19,46.16,6
2026-02-17 21:00:00,0.0,10.18,42.98,11
2026-02-17 22:00:00,0.0,7.92,41.56,3
2026-02-17 23:00:00,0.0,4.51,33.95,12
2026-02-18 01:00:00,0.0,4.12,35.81,2
2026-02-18 05:00:00,0.0,1.9,32.02,3
2026-02-18 06:00:00,0.0,4.26,34.78,5
2026-02-18 07:00:00,0.0,26.29,73.63,30
