ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.0,0.36,7.12
2026-02-10 01:00:00,0.0,0.0,2.65
2026-02-10 02:00:00,0.0,0.0,0.0
2026-02-10 03:00:00,0.0,0.0,0.28
2026-02-10 04:00:00,0.0,0.0,0.0
2026-02-10 05:00:00,0.0,0.0,0.0
2026-02-10 06:00:00,0.0,0.54,4.61
2026-02-10 07:00:00,32.16,48.73,65.3
2026-02-10 08:00:00,31.41,83.57,135.73
2026-02-10 09:00:00,51.88,96.7,141.52
2026-02-10 10:00:00,54.0,103.27,152.54
2026-02-10 11:00:00,53.67,102.95,152.23
2026-02-10 12:00:00,51.08,98.58,146.07
2026-02-10 13:00:00,54.63,104.28,153.93
2026-02-10 14:00:00,55.36,97.02,138.67
2026-02-10 15:00:00,48.79,84.29,119.78
2026-02-10 16:00:00,27.98,50.84,73.7
2026-02-10 17:00:00,5.95,25.57,45.19
2026-02-10 18:00:00,3.19,15.91,28.62
2026-02-10 19:00:00,5.88,16.08,26.28
2026-02-10 20:00:00,0.0,3.48,13.06
2026-02-10 21:00:00,1.72,7.7,13.67
2026-02-10 22:00:00,4.79,10.91,17.02
2026-02-10 23:00:00,0.0,3.88,11.58
2026-02-11 00:00:00,0.0,0.0,0.0
2026-02-11 01:00:00,0.0,0.0,0.0
2026-02-11 02:00:00,0.0,0.0,0.0
2026-02-11 03:00:00,0.0,0.0,0.0
2026-02-11 04:00:00,0.0,0.0,0.0
2026-02-11 05:00:00,0.0,0.0,0.0
2026-02-11 06:00:00,0.0,0.0,3.46
2026-02-11 07:00:00,22.79,38.87,54.95
2026-02-11 08:00:00,18.5,68.19,85.02
2026-02-11 09:00:00,53.48,95.43,137.37
2026-02-11 10:00:00,59.4,104.18,148.96
2026-02-11 11:00:00,60.23,101.88,143.53
2026-02-11 12:00:00,56.52,98.44,140.36
2026-02-11 13:00:00,61.64,102.05,142.46
2026-02-11 14:00:00,57.97,94.46,130.94
2026-02-11 15:00:00,51.74,85.6,119.47
2026-02-11 16:00:00,19.04,49.33,79.61
2026-02-11 17:00:00,0.66,26.94,53.23
