ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,51.08,98.58,146.07,130,12,-31.42
2026-02-10 13:00:00,54.63,104.28,153.93,164,13,-59.72
2026-02-10 14:00:00,55.36,97.02,138.67,161,14,-63.980000000000004
2026-02-10 15:00:00,48.79,84.29,119.78,136,15,-51.709999999999994
2026-02-10 16:00:00,27.98,50.84,73.7,54,16,-3.1599999999999966
2026-02-10 17:00:00,5.95,25.57,45.19,31,17,-5.43
2026-02-10 18:00:00,3.19,15.91,28.62,33,18,-17.09
2026-02-10 19:00:00,5.88,16.08,26.28,25,19,-8.920000000000002
2026-02-10 20:00:00,0.0,3.48,13.06,6,20,-2.52
2026-02-10 21:00:00,1.72,7.7,13.67,7,21,0.7000000000000002
2026-02-10 22:00:00,4.79,10.91,17.02,5,22,5.91
2026-02-10 23:00:00,0.0,3.88,11.58,8,23,-4.12
2026-02-11 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-11 05:00:00,0.0,0.0,0.0,1,5,-1.0
2026-02-11 06:00:00,0.0,0.0,3.46,6,6,-6.0
2026-02-11 07:00:00,22.79,38.87,54.95,71,7,-32.13
2026-02-11 08:00:00,18.5,68.19,85.02,103,8,-34.81
2026-02-11 09:00:00,53.48,95.43,137.37,97,9,-1.5699999999999932
2026-02-11 10:00:00,59.4,104.18,148.96,112,10,-7.819999999999993
2026-02-11 11:00:00,60.23,101.88,143.53,105,11,-3.1200000000000045
2026-02-11 12:00:00,56.52,98.44,140.36,115,12,-16.560000000000002
2026-02-11 13:00:00,61.64,102.05,142.46,148,13,-45.95
2026-02-11 14:00:00,57.97,94.46,130.94,147,14,-52.540000000000006
2026-02-11 15:00:00,51.74,85.6,119.47,99,15,-13.400000000000006
2026-02-11 16:00:00,19.04,49.33,79.61,62,16,-12.670000000000002
2026-02-11 17:00:00,0.66,26.94,53.23,47,17,-20.06
2026-02-11 18:00:00,0.0,15.02,32.25,32,18,-16.98
2026-02-11 19:00:00,1.49,15.26,29.03,11,19,4.26
2026-02-11 20:00:00,0.0,6.23,18.64,11,20,-4.77
2026-02-11 21:00:00,0.0,6.17,15.06,7,21,-0.8300000000000001
2026-02-11 22:00:00,0.0,5.11,13.48,5,22,0.11000000000000032
2026-02-11 23:00:00,0.0,3.41,12.74,5,23,-1.5899999999999999
2026-02-12 02:00:00,0.0,0.0,0.0,6,2,-6.0
2026-02-12 03:00:00,0.0,0.0,0.0,1,3,-1.0
2026-02-12 04:00:00,0.0,0.0,0.0,5,4,-5.0
2026-02-12 06:00:00,0.0,0.0,3.7,5,6,-5.0
2026-02-12 07:00:00,17.21,38.71,60.2,30,7,8.71
2026-02-12 08:00:00,15.77,63.9,112.03,58,8,5.899999999999999
2026-02-12 09:00:00,50.94,88.74,126.53,92,9,-3.260000000000005
2026-02-12 10:00:00,58.26,98.35,138.45,89,10,9.349999999999994
2026-02-12 11:00:00,59.92,99.27,138.62,91,11,8.269999999999996
2026-02-12 12:00:00,56.4,96.63,136.87,119,12,-22.370000000000005
2026-02-12 13:00:00,61.44,101.84,142.24,109,13,-7.159999999999997
2026-02-12 14:00:00,59.91,97.06,134.21,111,14,-13.939999999999998
2026-02-12 15:00:00,50.59,84.65,118.7,91,15,-6.349999999999994
2026-02-12 16:00:00,18.74,53.38,88.02,55,16,-1.6199999999999974
2026-02-12 17:00:00,0.0,28.25,58.73,24,17,4.25
2026-02-12 18:00:00,0.0,12.14,33.39,19,18,-6.859999999999999
2026-02-12 19:00:00,0.0,14.54,30.28,10,19,4.539999999999999
2026-02-12 20:00:00,0.0,5.07,18.12,16,20,-10.93
2026-02-12 21:00:00,0.0,5.27,15.19,6,21,-0.7300000000000004
2026-02-12 22:00:00,0.0,4.11,13.35,12,22,-7.89
2026-02-12 23:00:00,0.0,2.56,12.82,5,23,-2.44
2026-02-13 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-13 05:00:00,0.0,0.0,0.0,2,5,-2.0
2026-02-13 06:00:00,0.0,0.0,3.81,3,6,-3.0
2026-02-13 07:00:00,9.37,27.65,45.92,14,7,13.649999999999999
2026-02-13 08:00:00,18.79,63.8,108.82,72,8,-8.200000000000003
2026-02-13 09:00:00,55.96,94.32,132.67,58,9,36.31999999999999
2026-02-13 10:00:00,59.45,100.59,141.74,71,10,29.590000000000003
2026-02-13 11:00:00,62.28,101.19,140.1,98,11,3.1899999999999977
2026-02-13 12:00:00,58.18,98.9,139.62,128,12,-29.099999999999994
2026-02-13 13:00:00,61.49,103.44,145.39,129,13,-25.560000000000002
2026-02-13 14:00:00,58.61,96.44,134.26,55,14,41.44
2026-02-13 15:00:00,50.1,84.11,118.11,47,15,37.11
2026-02-13 16:00:00,16.57,49.91,83.25,28,16,21.909999999999997
2026-02-13 17:00:00,0.0,23.16,51.6,13,17,10.16
2026-02-13 18:00:00,0.0,8.82,24.66,6,18,2.8200000000000003
2026-02-13 19:00:00,0.0,11.31,25.39,6,19,5.3100000000000005
2026-02-13 20:00:00,0.0,3.75,16.22,8,20,-4.25
2026-02-13 21:00:00,0.0,3.9,12.08,1,21,2.9
2026-02-13 22:00:00,0.0,3.27,11.52,3,22,0.27
2026-02-13 23:00:00,0.0,2.82,12.09,6,23,-3.18
2026-02-14 00:00:00,0.0,0.0,0.0,3,0,-3.0
2026-02-14 08:00:00,0.0,35.16,70.38,2,8,33.16
2026-02-14 11:00:00,0.0,49.08,98.51,6,11,43.08
2026-02-14 12:00:00,0.0,47.44,100.27,4,12,43.44
2026-02-14 13:00:00,0.0,45.48,95.18,10,13,35.48
2026-02-14 14:00:00,0.0,41.28,83.79,3,14,38.28
2026-02-14 15:00:00,0.0,22.34,57.34,1,15,21.34
2026-02-14 16:00:00,0.0,20.07,53.19,12,16,8.07
2026-02-14 17:00:00,0.0,4.99,22.25,2,17,2.99
2026-02-14 18:00:00,0.0,3.66,12.16,3,18,0.6600000000000001
2026-02-14 19:00:00,0.0,2.42,11.12,7,19,-4.58
2026-02-14 20:00:00,0.0,1.88,9.66,1,20,0.8799999999999999
2026-02-14 21:00:00,0.0,1.17,9.25,3,21,-1.83
2026-02-14 23:00:00,0.0,0.91,9.96,1,23,-0.08999999999999997
2026-02-15 00:00:00,0.0,0.0,0.0,1,0,-1.0
2026-02-15 05:00:00,0.0,0.0,0.0,2,5,-2.0
2026-02-15 06:00:00,0.0,0.0,0.0,2,6,-2.0
2026-02-15 07:00:00,0.0,6.6,22.84,3,7,3.5999999999999996
2026-02-15 08:00:00,0.23,28.04,55.86,1,8,27.04
2026-02-15 10:00:00,0.0,37.27,77.56,3,10,34.27
2026-02-15 12:00:00,0.0,32.51,73.11,3,12,29.509999999999998
2026-02-15 13:00:00,0.0,30.75,72.3,4,13,26.75
2026-02-15 14:00:00,0.0,29.27,71.58,4,14,25.27
2026-02-15 15:00:00,0.0,22.51,60.68,10,15,12.510000000000002
2026-02-15 16:00:00,0.0,13.89,46.56,4,16,9.89
