ds,y_p10,y_pred,y_p90
2026-03-10 00:00:00,6.78,8.91,11.04
2026-03-10 01:00:00,10.11,12.72,15.32
2026-03-10 02:00:00,3.07,8.17,13.27
2026-03-10 03:00:00,4.8,8.14,11.48
2026-03-10 04:00:00,5.34,10.38,15.42
2026-03-10 05:00:00,1.16,11.65,22.14
2026-03-10 06:00:00,1.39,13.76,26.13
2026-03-10 07:00:00,36.61,60.09,83.57
2026-03-10 08:00:00,40.0,93.21,146.41
2026-03-10 09:00:00,56.58,104.67,152.76
2026-03-10 10:00:00,64.16,111.85,159.54
2026-03-10 11:00:00,63.89,108.45,153.02
2026-03-10 12:00:00,56.31,103.88,151.45
2026-03-10 13:00:00,60.16,105.51,150.86
2026-03-10 14:00:00,58.9,98.1,137.31
2026-03-10 15:00:00,54.72,88.0,121.29
2026-03-10 16:00:00,34.73,59.81,84.89
2026-03-10 17:00:00,23.73,43.49,63.26
2026-03-10 18:00:00,14.84,28.78,42.73
2026-03-10 19:00:00,10.23,24.7,39.16
2026-03-10 20:00:00,9.08,20.84,32.6
2026-03-10 21:00:00,10.61,21.04,31.46
2026-03-10 22:00:00,8.85,19.19,29.54
2026-03-10 23:00:00,8.49,17.52,26.55
2026-03-11 00:00:00,4.51,11.21,17.9
2026-03-11 01:00:00,5.63,10.93,16.23
2026-03-11 02:00:00,4.7,9.42,14.15
2026-03-11 03:00:00,2.32,8.06,13.79
2026-03-11 04:00:00,4.33,9.49,14.64
2026-03-11 05:00:00,0.0,8.68,18.11
2026-03-11 06:00:00,2.29,10.38,18.48
2026-03-11 07:00:00,24.51,45.63,66.75
2026-03-11 08:00:00,38.7,85.87,133.04
2026-03-11 09:00:00,56.85,99.04,141.23
2026-03-11 10:00:00,65.77,103.3,140.84
2026-03-11 11:00:00,63.7,101.62,139.54
2026-03-11 12:00:00,58.34,97.65,136.97
2026-03-11 13:00:00,63.34,103.81,144.28
2026-03-11 14:00:00,58.33,95.14,131.96
2026-03-11 15:00:00,53.32,85.25,117.17
2026-03-11 16:00:00,27.21,55.21,83.21
2026-03-11 17:00:00,10.15,35.31,60.47
2026-03-11 18:00:00,6.21,23.12,40.03
2026-03-11 19:00:00,8.22,25.58,42.94
2026-03-11 20:00:00,2.95,18.87,34.78
2026-03-11 21:00:00,8.45,21.57,34.69
