ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-03-10 11:00:00,63.89,108.45,153.02,154,11,-45.55
2026-03-10 12:00:00,56.31,103.88,151.45,167,12,-63.120000000000005
2026-03-10 13:00:00,60.16,105.51,150.86,95,13,10.510000000000005
2026-03-10 14:00:00,58.9,98.1,137.31,109,14,-10.900000000000006
2026-03-10 15:00:00,54.72,88.0,121.29,103,15,-15.0
2026-03-10 16:00:00,34.73,59.81,84.89,68,16,-8.189999999999998
2026-03-10 17:00:00,23.73,43.49,63.26,29,17,14.490000000000002
2026-03-10 18:00:00,14.84,28.78,42.73,20,18,8.780000000000001
2026-03-10 19:00:00,10.23,24.7,39.16,17,19,7.699999999999999
2026-03-10 20:00:00,9.08,20.84,32.6,7,20,13.84
2026-03-10 21:00:00,10.61,21.04,31.46,8,21,13.04
2026-03-10 22:00:00,8.85,19.19,29.54,10,22,9.190000000000001
2026-03-10 23:00:00,8.49,17.52,26.55,3,23,14.52
2026-03-11 00:00:00,4.51,11.21,17.9,1,0,10.21
2026-03-11 05:00:00,0.0,8.68,18.11,1,5,7.68
2026-03-11 06:00:00,2.29,10.38,18.48,11,6,-0.6199999999999992
2026-03-11 07:00:00,24.51,45.63,66.75,32,7,13.630000000000003
2026-03-11 08:00:00,38.7,85.87,133.04,74,8,11.870000000000005
2026-03-11 09:00:00,56.85,99.04,141.23,112,9,-12.959999999999994
2026-03-11 10:00:00,65.77,103.3,140.84,154,10,-50.7
2026-03-11 11:00:00,63.7,101.62,139.54,106,11,-4.3799999999999955
2026-03-11 12:00:00,58.34,97.65,136.97,105,12,-7.349999999999994
2026-03-11 13:00:00,63.34,103.81,144.28,100,13,3.8100000000000023
2026-03-11 14:00:00,58.33,95.14,131.96,109,14,-13.86
2026-03-11 15:00:00,53.32,85.25,117.17,88,15,-2.75
2026-03-11 16:00:00,27.21,55.21,83.21,76,16,-20.79
2026-03-11 17:00:00,10.15,35.31,60.47,41,17,-5.689999999999998
2026-03-11 18:00:00,6.21,23.12,40.03,11,18,12.120000000000001
2026-03-11 19:00:00,8.22,25.58,42.94,11,19,14.579999999999998
2026-03-11 20:00:00,2.95,18.87,34.78,7,20,11.870000000000001
2026-03-11 21:00:00,8.45,21.57,34.69,10,21,11.57
2026-03-11 22:00:00,5.37,19.84,34.31,9,22,10.84
2026-03-11 23:00:00,4.38,17.04,29.69,7,23,10.04
2026-03-12 01:00:00,2.62,9.91,17.21,1,1,8.91
2026-03-12 03:00:00,1.56,6.21,10.87,1,3,5.21
2026-03-12 05:00:00,1.25,7.29,13.33,1,5,6.29
2026-03-12 06:00:00,1.88,9.43,16.97,10,6,-0.5700000000000003
2026-03-12 07:00:00,17.24,44.53,71.82,36,7,8.530000000000001
2026-03-12 08:00:00,34.84,82.32,129.79,78,8,4.319999999999993
2026-03-12 09:00:00,55.23,95.73,136.24,86,9,9.730000000000004
2026-03-12 10:00:00,63.79,103.47,143.14,104,10,-0.5300000000000011
2026-03-12 11:00:00,63.32,103.45,143.58,79,11,24.450000000000003
2026-03-12 12:00:00,59.0,99.41,139.83,105,12,-5.590000000000003
2026-03-12 13:00:00,65.75,106.33,146.91,134,13,-27.67
2026-03-12 14:00:00,60.41,97.72,135.03,117,14,-19.28
2026-03-12 15:00:00,56.02,87.11,118.21,125,15,-37.89
2026-03-12 16:00:00,17.52,55.48,93.44,90,16,-34.52
2026-03-12 17:00:00,5.93,34.78,63.63,61,17,-26.22
2026-03-12 18:00:00,5.0,23.81,42.62,36,18,-12.190000000000001
2026-03-12 19:00:00,5.68,24.67,43.66,25,19,-0.3299999999999983
2026-03-12 20:00:00,0.64,17.89,35.14,8,20,9.89
2026-03-12 21:00:00,6.38,20.26,34.13,9,21,11.260000000000002
2026-03-12 22:00:00,4.56,19.68,34.81,2,22,17.68
2026-03-12 23:00:00,1.9,15.34,28.79,3,23,12.34
2026-03-13 00:00:00,0.0,6.39,14.73,1,0,5.39
2026-03-13 01:00:00,1.99,6.44,10.89,1,1,5.44
2026-03-13 06:00:00,1.04,8.23,15.41,4,6,4.23
2026-03-13 07:00:00,14.71,37.05,59.39,7,7,30.049999999999997
2026-03-13 08:00:00,25.87,76.95,128.02,43,8,33.95
2026-03-13 09:00:00,57.29,95.18,133.08,94,9,1.1800000000000068
2026-03-13 10:00:00,66.18,104.05,141.92,70,10,34.05
2026-03-13 11:00:00,63.35,102.49,141.62,135,11,-32.510000000000005
2026-03-13 12:00:00,60.72,99.77,138.81,117,12,-17.230000000000004
2026-03-13 13:00:00,67.1,106.84,146.57,92,13,14.840000000000003
2026-03-13 14:00:00,59.77,98.71,137.65,108,14,-9.290000000000006
2026-03-13 15:00:00,53.89,87.38,120.88,78,15,9.379999999999995
2026-03-13 16:00:00,14.45,54.2,93.94,39,16,15.200000000000003
2026-03-13 17:00:00,1.83,32.48,63.13,31,17,1.4799999999999969
2026-03-13 18:00:00,1.5,20.98,40.46,19,18,1.9800000000000004
2026-03-13 19:00:00,4.51,22.57,40.63,17,19,5.57
2026-03-13 20:00:00,0.0,16.28,34.22,9,20,7.280000000000001
2026-03-13 21:00:00,6.1,20.52,34.94,10,21,10.52
2026-03-13 22:00:00,0.86,16.3,31.74,8,22,8.3
2026-03-14 05:00:00,0.28,5.51,10.74,1,5,4.51
2026-03-14 07:00:00,5.62,20.4,35.18,2,7,18.4
2026-03-14 08:00:00,11.84,51.46,91.08,2,8,49.46
2026-03-14 10:00:00,26.77,79.92,133.07,7,10,72.92
2026-03-14 11:00:00,22.22,85.17,148.12,7,11,78.17
2026-03-14 12:00:00,19.65,82.33,145.01,2,12,80.33
2026-03-14 13:00:00,25.77,85.74,145.71,11,13,74.74
2026-03-14 14:00:00,26.57,81.17,135.76,8,14,73.17
2026-03-14 15:00:00,33.62,68.78,103.94,10,15,58.78
2026-03-14 16:00:00,6.12,36.02,65.93,3,16,33.02
2026-03-14 17:00:00,1.05,21.26,41.48,3,17,18.26
2026-03-14 18:00:00,3.06,18.92,34.78,5,18,13.920000000000002
2026-03-14 19:00:00,4.43,18.92,33.41,2,19,16.92
2026-03-14 20:00:00,1.84,14.16,26.48,3,20,11.16
2026-03-14 21:00:00,5.56,17.88,30.2,7,21,10.879999999999999
2026-03-14 22:00:00,1.86,14.28,26.69,4,22,10.28
2026-03-14 23:00:00,2.39,13.06,23.74,1,23,12.06
2026-03-15 02:00:00,2.73,5.38,8.03,1,2,4.38
2026-03-15 08:00:00,0.59,36.84,73.1,1,8,35.84
2026-03-15 09:00:00,0.27,51.21,102.14,1,9,50.21
2026-03-15 11:00:00,35.68,85.95,136.22,8,11,77.95
2026-03-15 12:00:00,15.34,79.64,143.93,2,12,77.64
2026-03-15 13:00:00,11.16,81.02,150.88,1,13,80.02
2026-03-15 14:00:00,13.93,75.77,137.62,4,14,71.77
2026-03-15 15:00:00,25.63,61.83,98.03,5,15,56.83
2026-03-15 16:00:00,0.0,30.98,66.33,11,16,19.98
2026-03-15 17:00:00,2.09,24.91,47.73,8,17,16.91
2026-03-15 18:00:00,1.19,19.73,38.27,8,18,11.73
2026-03-15 19:00:00,2.01,17.91,33.81,12,19,5.91
2026-03-15 20:00:00,2.23,15.65,29.07,13,20,2.6500000000000004
2026-03-15 21:00:00,4.32,17.63,30.95,16,21,1.629999999999999
2026-03-15 22:00:00,3.6,16.95,30.3,5,22,11.95
2026-03-15 23:00:00,0.0,12.1,24.54,1,23,11.1
2026-03-16 00:00:00,0.0,5.22,12.91,3,0,2.2199999999999998
2026-03-16 01:00:00,1.8,5.31,8.82,3,1,2.3099999999999996
