ds,y_p10,y_pred,y_p90,y_actual
2026-01-10 14:00:00,34.33,91.1,147.86,8
2026-01-10 16:00:00,4.22,43.13,82.03,8
2026-01-10 17:00:00,0.0,22.18,49.43,9
2026-01-10 18:00:00,5.85,17.66,29.46,3
2026-01-10 19:00:00,0.0,13.55,27.28,2
2026-01-10 20:00:00,0.0,7.11,19.55,5
2026-01-10 21:00:00,0.0,4.88,15.82,4
2026-01-10 22:00:00,0.0,3.4,14.37,1
2026-01-10 23:00:00,0.0,1.31,12.03,1
2026-01-11 01:00:00,0.0,2.88,14.65,2
2026-01-11 08:00:00,15.77,28.5,41.23,8
2026-01-11 09:00:00,23.22,52.18,81.15,6
2026-01-11 10:00:00,30.71,66.12,101.53,14
2026-01-11 11:00:00,19.85,75.56,131.27,4
2026-01-11 12:00:00,23.54,85.39,147.25,7
2026-01-11 13:00:00,15.75,90.0,164.25,5
2026-01-11 14:00:00,10.08,81.89,153.71,10
2026-01-11 15:00:00,0.71,51.23,101.75,10
2026-01-11 16:00:00,0.0,26.46,72.51,7
2026-01-11 17:00:00,0.0,19.14,40.63,4
2026-01-11 18:00:00,0.0,10.22,23.09,8
2026-01-11 19:00:00,0.0,7.76,24.32,9
2026-01-11 20:00:00,0.0,6.47,21.91,5
2026-01-11 21:00:00,0.0,5.07,20.21,13
2026-01-11 22:00:00,0.0,3.55,18.9,6
2026-01-11 23:00:00,0.0,3.26,18.42,5
2026-01-12 00:00:00,0.0,1.96,17.8,1
2026-01-12 01:00:00,0.0,3.33,19.79,2
2026-01-12 04:00:00,0.0,2.71,19.03,1
2026-01-12 05:00:00,0.0,3.33,19.43,3
2026-01-12 06:00:00,0.0,4.3,20.71,14
2026-01-12 07:00:00,0.0,24.35,52.74,30
2026-01-12 08:00:00,21.28,74.2,127.12,92
2026-01-12 09:00:00,2.0,97.65,193.3,104
2026-01-12 10:00:00,12.78,102.38,191.98,152
2026-01-12 11:00:00,0.0,100.15,216.6,148
2026-01-12 12:00:00,0.0,97.84,201.12,161
2026-01-12 13:00:00,0.0,101.89,207.98,180
2026-01-12 14:00:00,0.0,93.73,200.52,156
2026-01-12 15:00:00,0.0,82.33,175.6,111
2026-01-12 16:00:00,0.0,53.11,129.14,84
2026-01-12 17:00:00,0.0,32.8,83.51,33
2026-01-12 18:00:00,0.0,19.5,45.84,38
2026-01-12 19:00:00,0.0,17.38,40.13,35
2026-01-12 20:00:00,0.0,11.74,34.39,16
2026-01-12 21:00:00,0.0,9.58,30.56,9
2026-01-12 22:00:00,0.0,8.25,28.96,8
2026-01-12 23:00:00,0.0,6.14,25.48,5
2026-01-13 05:00:00,0.0,2.5,22.0,3
2026-01-13 06:00:00,0.0,4.69,24.52,4
2026-01-13 07:00:00,0.0,26.01,57.6,47
2026-01-13 08:00:00,18.76,73.94,129.11,79
2026-01-13 09:00:00,0.0,93.22,198.56,108
2026-01-13 10:00:00,4.69,100.89,197.1,144
2026-01-13 11:00:00,0.0,96.95,226.17,115
2026-01-13 12:00:00,0.0,91.94,198.08,146
2026-01-13 13:00:00,0.0,97.32,214.05,106
2026-01-13 14:00:00,0.0,92.04,205.56,145
2026-01-13 15:00:00,0.0,77.39,179.78,101
2026-01-13 16:00:00,0.0,46.22,129.34,73
2026-01-13 17:00:00,0.0,26.81,82.02,32
2026-01-13 18:00:00,0.0,18.56,42.51,42
2026-01-13 19:00:00,0.0,16.44,42.7,44
2026-01-13 20:00:00,0.0,8.45,34.74,7
2026-01-13 21:00:00,0.0,7.22,29.73,20
2026-01-13 22:00:00,0.0,7.59,29.77,6
2026-01-13 23:00:00,0.0,4.13,25.94,3
2026-01-14 00:00:00,0.0,1.71,23.99,3
2026-01-14 05:00:00,0.0,2.22,24.33,10
2026-01-14 06:00:00,0.0,1.52,23.97,2
2026-01-14 07:00:00,0.0,27.0,62.98,33
2026-01-14 08:00:00,0.0,51.37,108.7,46
2026-01-14 09:00:00,0.0,85.26,184.62,117
2026-01-14 10:00:00,0.0,98.02,204.74,125
2026-01-14 11:00:00,0.0,97.8,241.43,91
2026-01-14 12:00:00,0.0,92.22,212.17,96
2026-01-14 13:00:00,0.0,98.25,228.85,96
2026-01-14 14:00:00,0.0,93.59,224.8,86
2026-01-14 15:00:00,0.0,77.92,191.99,68
2026-01-14 16:00:00,0.0,46.41,138.87,60
2026-01-14 17:00:00,0.0,23.81,85.74,28
2026-01-14 18:00:00,0.0,13.66,39.69,22
2026-01-14 19:00:00,0.0,14.83,43.54,33
2026-01-14 20:00:00,0.0,9.37,37.03,12
2026-01-14 21:00:00,0.0,7.36,33.78,13
2026-01-14 22:00:00,0.0,5.14,29.75,10
2026-01-14 23:00:00,0.0,3.68,27.85,12
2026-01-15 00:00:00,0.0,2.52,27.41,6
2026-01-15 01:00:00,0.0,4.26,29.96,12
2026-01-15 03:00:00,0.0,2.89,28.86,1
2026-01-15 04:00:00,0.0,1.53,26.57,4
2026-01-15 05:00:00,0.0,1.31,25.88,3
2026-01-15 06:00:00,0.0,3.72,28.64,7
2026-01-15 07:00:00,0.0,27.64,67.38,36
2026-01-15 08:00:00,7.97,70.43,132.88,70
2026-01-15 09:00:00,0.0,87.51,203.32,62
2026-01-15 10:00:00,0.0,94.59,206.95,102
2026-01-15 11:00:00,0.0,95.47,241.58,114
2026-01-15 12:00:00,0.0,95.7,221.97,134
2026-01-15 13:00:00,0.0,95.44,234.62,130
2026-01-15 14:00:00,0.0,87.26,221.33,110
2026-01-15 15:00:00,0.0,74.52,197.41,79
2026-01-15 16:00:00,0.0,43.53,142.98,63
2026-01-15 17:00:00,0.0,22.94,90.07,58
2026-01-15 18:00:00,0.0,10.5,39.12,15
2026-01-15 19:00:00,0.0,12.58,43.73,21
2026-01-15 20:00:00,0.0,9.67,40.03,10
2026-01-15 21:00:00,0.0,6.0,34.98,1
2026-01-15 22:00:00,0.0,4.91,31.89,5
2026-01-15 23:00:00,0.0,3.29,29.77,4
2026-01-16 00:00:00,0.0,2.05,29.29,2
2026-01-16 01:00:00,0.0,1.71,29.82,1
2026-01-16 02:00:00,0.0,2.03,29.12,1
2026-01-16 03:00:00,0.0,3.19,31.56,5
2026-01-16 05:00:00,0.0,1.02,27.83,3
2026-01-16 06:00:00,0.0,2.54,29.71,5
2026-01-16 07:00:00,0.0,17.62,60.14,9
2026-01-16 08:00:00,0.0,42.17,85.78,56
2026-01-16 09:00:00,0.0,59.76,138.46,92
2026-01-16 10:00:00,0.0,86.89,183.31,83
2026-01-16 11:00:00,0.0,88.3,245.88,98
2026-01-16 12:00:00,0.0,84.71,223.63,84
2026-01-16 13:00:00,0.0,86.36,228.78,98
2026-01-16 14:00:00,0.0,80.36,224.2,76
2026-01-16 15:00:00,0.0,49.05,151.39,55
2026-01-16 16:00:00,0.0,32.29,120.67,42
2026-01-16 17:00:00,0.0,18.75,71.27,18
2026-01-16 18:00:00,0.0,8.8,33.6,4
2026-01-16 19:00:00,0.0,7.93,39.35,8
2026-01-16 20:00:00,0.0,4.12,33.69,2
2026-01-16 21:00:00,0.0,2.68,31.45,4
2026-01-16 22:00:00,0.0,3.29,32.21,1
2026-01-16 23:00:00,0.0,1.72,30.09,2
2026-01-17 06:00:00,0.0,0.65,29.67,3
2026-01-17 08:00:00,0.0,28.5,57.97,2
2026-01-17 09:00:00,0.0,31.6,96.08,1
2026-01-17 11:00:00,0.0,30.67,124.27,6
2026-01-17 12:00:00,0.0,28.88,93.87,1
2026-01-17 13:00:00,0.0,22.93,95.37,1
2026-01-17 14:00:00,0.0,17.0,80.66,6
2026-01-17 15:00:00,0.0,14.0,62.36,2
2026-01-17 16:00:00,0.0,13.0,63.45,1
2026-01-17 17:00:00,0.0,9.0,43.0,5
2026-01-17 18:00:00,0.0,7.0,28.81,19
2026-01-17 19:00:00,0.0,3.71,35.14,1
2026-01-17 20:00:00,0.0,2.95,34.6,2
2026-01-17 22:00:00,0.0,2.55,33.49,2
2026-01-17 23:00:00,0.0,2.18,32.51,2
2026-01-18 09:00:00,0.0,34.3,104.79,2
2026-01-18 10:00:00,0.0,40.5,95.49,3
2026-01-18 11:00:00,0.0,32.08,134.04,3
2026-01-18 12:00:00,0.0,31.57,101.58,6
2026-01-18 13:00:00,0.0,25.48,108.52,43
2026-01-18 14:00:00,0.0,20.68,89.69,3
