ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,2.11,8.86,15.62
2026-02-10 01:00:00,2.07,8.24,14.42
2026-02-10 02:00:00,1.08,4.52,7.96
2026-02-10 03:00:00,0.57,4.04,7.51
2026-02-10 04:00:00,0.0,2.53,5.28
2026-02-10 05:00:00,0.69,4.1,7.51
2026-02-10 06:00:00,4.52,8.66,12.8
2026-02-10 07:00:00,36.18,55.4,74.61
2026-02-10 08:00:00,35.27,89.97,144.68
2026-02-10 09:00:00,50.89,100.51,150.13
2026-02-10 10:00:00,56.97,105.97,154.98
2026-02-10 11:00:00,57.5,106.18,154.85
2026-02-10 12:00:00,53.9,101.81,149.72
2026-02-10 13:00:00,57.92,107.62,157.32
2026-02-10 14:00:00,58.12,99.56,140.99
2026-02-10 15:00:00,52.51,87.4,122.28
2026-02-10 16:00:00,31.35,60.26,89.17
2026-02-10 17:00:00,21.46,42.2,62.93
2026-02-10 18:00:00,11.56,26.37,41.17
2026-02-10 19:00:00,7.97,22.73,37.48
2026-02-10 20:00:00,2.51,14.34,26.17
2026-02-10 21:00:00,7.8,16.42,25.04
2026-02-10 22:00:00,3.64,12.9,22.17
2026-02-10 23:00:00,4.31,12.89,21.47
2026-02-11 00:00:00,0.3,5.76,11.21
2026-02-11 01:00:00,1.21,4.08,6.96
2026-02-11 02:00:00,0.3,2.23,4.16
2026-02-11 03:00:00,0.0,3.33,6.76
2026-02-11 04:00:00,0.0,2.23,5.09
2026-02-11 05:00:00,0.0,3.01,6.55
2026-02-11 06:00:00,2.91,7.14,11.37
2026-02-11 07:00:00,28.7,45.92,63.14
2026-02-11 08:00:00,34.02,81.54,129.05
2026-02-11 09:00:00,55.59,99.81,144.03
2026-02-11 10:00:00,63.13,107.43,151.73
2026-02-11 11:00:00,60.86,103.52,146.18
2026-02-11 12:00:00,59.42,102.09,144.76
2026-02-11 13:00:00,66.66,105.15,143.64
2026-02-11 14:00:00,60.62,97.81,135.0
2026-02-11 15:00:00,54.21,87.99,121.77
2026-02-11 16:00:00,21.27,58.38,95.5
2026-02-11 17:00:00,13.53,41.65,69.77
2026-02-11 18:00:00,6.48,25.68,44.88
2026-02-11 19:00:00,2.58,22.43,42.28
2026-02-11 20:00:00,0.0,13.7,30.21
2026-02-11 21:00:00,5.55,17.52,29.48
2026-02-11 22:00:00,0.0,9.32,22.15
2026-02-11 23:00:00,1.5,12.59,23.68
2026-02-12 00:00:00,0.0,5.25,12.96
2026-02-12 01:00:00,0.0,3.53,7.47
2026-02-12 02:00:00,0.0,1.92,4.47
2026-02-12 03:00:00,0.0,2.43,7.11
2026-02-12 04:00:00,0.0,2.1,5.88
2026-02-12 05:00:00,0.0,2.85,7.6
2026-02-12 06:00:00,0.86,6.38,11.89
2026-02-12 07:00:00,23.97,45.92,67.87
2026-02-12 08:00:00,37.31,80.6,123.89
2026-02-12 09:00:00,56.32,94.96,133.6
2026-02-12 10:00:00,63.05,101.89,140.73
2026-02-12 11:00:00,63.7,102.31,140.92
2026-02-12 12:00:00,60.75,99.21,137.66
2026-02-12 13:00:00,64.73,104.51,144.28
2026-02-12 14:00:00,62.64,99.38,136.12
2026-02-12 15:00:00,53.53,87.35,121.17
2026-02-12 16:00:00,19.78,62.67,105.56
2026-02-12 17:00:00,12.0,43.11,74.22
2026-02-12 18:00:00,1.79,24.78,47.78
2026-02-12 19:00:00,0.15,20.68,41.21
2026-02-12 20:00:00,0.0,11.94,27.68
2026-02-12 21:00:00,4.14,17.54,30.94
2026-02-12 22:00:00,0.0,9.6,23.81
2026-02-12 23:00:00,0.0,12.11,24.73
2026-02-13 00:00:00,0.0,4.59,12.54
2026-02-13 01:00:00,0.0,2.72,6.31
2026-02-13 02:00:00,0.0,2.03,4.55
2026-02-13 03:00:00,0.0,3.73,8.5
2026-02-13 04:00:00,0.0,2.31,6.2
2026-02-13 05:00:00,0.0,2.49,7.03
