ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,53.9,101.81,149.72,130,12,-28.189999999999998
2026-02-10 13:00:00,57.92,107.62,157.32,164,13,-56.379999999999995
2026-02-10 14:00:00,58.12,99.56,140.99,161,14,-61.44
2026-02-10 15:00:00,52.51,87.4,122.28,136,15,-48.599999999999994
2026-02-10 16:00:00,31.35,60.26,89.17,54,16,6.259999999999998
2026-02-10 17:00:00,21.46,42.2,62.93,31,17,11.200000000000003
2026-02-10 18:00:00,11.56,26.37,41.17,33,18,-6.629999999999999
2026-02-10 19:00:00,7.97,22.73,37.48,25,19,-2.2699999999999996
2026-02-10 20:00:00,2.51,14.34,26.17,6,20,8.34
2026-02-10 21:00:00,7.8,16.42,25.04,7,21,9.420000000000002
2026-02-10 22:00:00,3.64,12.9,22.17,5,22,7.9
2026-02-10 23:00:00,4.31,12.89,21.47,8,23,4.890000000000001
2026-02-11 00:00:00,0.3,5.76,11.21,2,0,3.76
2026-02-11 05:00:00,0.0,3.01,6.55,1,5,2.01
2026-02-11 06:00:00,2.91,7.14,11.37,6,6,1.1399999999999997
2026-02-11 07:00:00,28.7,45.92,63.14,71,7,-25.08
2026-02-11 08:00:00,34.02,81.54,129.05,103,8,-21.459999999999994
2026-02-11 09:00:00,55.59,99.81,144.03,97,9,2.8100000000000023
2026-02-11 10:00:00,63.13,107.43,151.73,112,10,-4.569999999999993
2026-02-11 11:00:00,60.86,103.52,146.18,105,11,-1.480000000000004
2026-02-11 12:00:00,59.42,102.09,144.76,115,12,-12.909999999999997
2026-02-11 13:00:00,66.66,105.15,143.64,148,13,-42.849999999999994
2026-02-11 14:00:00,60.62,97.81,135.0,147,14,-49.19
2026-02-11 15:00:00,54.21,87.99,121.77,99,15,-11.010000000000005
2026-02-11 16:00:00,21.27,58.38,95.5,62,16,-3.6199999999999974
2026-02-11 17:00:00,13.53,41.65,69.77,47,17,-5.350000000000001
2026-02-11 18:00:00,6.48,25.68,44.88,32,18,-6.32
2026-02-11 19:00:00,2.58,22.43,42.28,11,19,11.43
2026-02-11 20:00:00,0.0,13.7,30.21,11,20,2.6999999999999993
2026-02-11 21:00:00,5.55,17.52,29.48,7,21,10.52
2026-02-11 22:00:00,0.0,9.32,22.15,5,22,4.32
2026-02-11 23:00:00,1.5,12.59,23.68,5,23,7.59
2026-02-12 02:00:00,0.0,1.92,4.47,6,2,-4.08
2026-02-12 03:00:00,0.0,2.43,7.11,1,3,1.4300000000000002
2026-02-12 04:00:00,0.0,2.1,5.88,5,4,-2.9
2026-02-12 06:00:00,0.86,6.38,11.89,5,6,1.38
2026-02-12 07:00:00,23.97,45.92,67.87,30,7,15.920000000000002
2026-02-12 08:00:00,37.31,80.6,123.89,58,8,22.599999999999994
2026-02-12 09:00:00,56.32,94.96,133.6,92,9,2.9599999999999937
2026-02-12 10:00:00,63.05,101.89,140.73,89,10,12.89
2026-02-12 11:00:00,63.7,102.31,140.92,91,11,11.310000000000002
2026-02-12 12:00:00,60.75,99.21,137.66,119,12,-19.790000000000006
2026-02-12 13:00:00,64.73,104.51,144.28,109,13,-4.489999999999995
2026-02-12 14:00:00,62.64,99.38,136.12,111,14,-11.620000000000005
2026-02-12 15:00:00,53.53,87.35,121.17,91,15,-3.6500000000000057
2026-02-12 16:00:00,19.78,62.67,105.56,55,16,7.670000000000002
2026-02-12 17:00:00,12.0,43.11,74.22,24,17,19.11
