ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,2.0,8.64,15.28
2026-02-10 01:00:00,2.01,8.13,14.25
2026-02-10 02:00:00,0.96,4.34,7.71
2026-02-10 03:00:00,0.09,3.08,6.07
2026-02-10 04:00:00,0.0,2.38,4.94
2026-02-10 05:00:00,0.83,4.22,7.6
2026-02-10 06:00:00,5.2,9.34,13.48
2026-02-10 07:00:00,32.61,54.55,76.5
2026-02-10 08:00:00,31.83,87.23,142.64
2026-02-10 09:00:00,49.28,98.81,148.35
2026-02-10 10:00:00,55.77,105.28,154.78
2026-02-10 11:00:00,57.92,106.78,155.63
2026-02-10 12:00:00,53.36,101.27,149.19
2026-02-10 13:00:00,60.14,109.84,159.54
2026-02-10 14:00:00,58.73,99.69,140.64
2026-02-10 15:00:00,52.95,87.52,122.08
2026-02-10 16:00:00,34.95,63.85,92.76
2026-02-10 17:00:00,20.77,40.23,59.69
2026-02-10 18:00:00,7.97,23.31,38.65
2026-02-10 19:00:00,10.08,23.66,37.23
2026-02-10 20:00:00,0.1,11.88,23.65
2026-02-10 21:00:00,8.34,17.31,26.29
2026-02-10 22:00:00,3.38,12.55,21.73
2026-02-10 23:00:00,4.77,12.81,20.86
2026-02-11 00:00:00,0.16,5.51,10.85
2026-02-11 01:00:00,1.11,3.89,6.67
2026-02-11 02:00:00,0.14,1.98,3.82
2026-02-11 03:00:00,0.0,2.33,5.24
2026-02-11 04:00:00,0.0,2.1,4.73
2026-02-11 05:00:00,0.0,3.36,6.87
2026-02-11 06:00:00,2.86,7.09,11.32
2026-02-11 07:00:00,28.7,45.92,63.14
2026-02-11 08:00:00,34.05,81.57,129.09
2026-02-11 09:00:00,54.23,98.44,142.66
2026-02-11 10:00:00,61.79,106.51,151.23
2026-02-11 11:00:00,62.38,105.51,148.65
2026-02-11 12:00:00,58.77,101.04,143.32
2026-02-11 13:00:00,68.74,108.0,147.26
2026-02-11 14:00:00,60.82,96.96,133.09
2026-02-11 15:00:00,54.85,87.87,110.08
2026-02-11 16:00:00,28.5,62.0,95.5
2026-02-11 17:00:00,17.65,42.94,68.24
2026-02-11 18:00:00,6.36,24.29,42.22
2026-02-11 19:00:00,6.32,22.75,39.17
2026-02-11 20:00:00,0.0,11.83,26.3
2026-02-11 21:00:00,8.46,19.2,29.93
2026-02-11 22:00:00,0.0,8.87,19.88
2026-02-11 23:00:00,4.58,13.0,21.41
2026-02-12 00:00:00,0.0,4.9,11.24
2026-02-12 01:00:00,0.36,3.15,5.95
2026-02-12 02:00:00,0.0,1.99,4.02
2026-02-12 03:00:00,0.0,1.57,4.81
2026-02-12 04:00:00,0.0,1.93,4.8
2026-02-12 05:00:00,0.0,2.8,6.57
2026-02-12 06:00:00,2.26,6.67,11.08
2026-02-12 07:00:00,28.26,45.82,63.38
2026-02-12 08:00:00,33.44,80.93,106.44
2026-02-12 09:00:00,56.07,94.98,133.89
2026-02-12 10:00:00,63.73,102.56,141.4
2026-02-12 11:00:00,65.86,103.81,141.75
2026-02-12 12:00:00,60.19,99.21,138.22
2026-02-12 13:00:00,68.09,107.6,147.12
2026-02-12 14:00:00,62.33,98.61,134.89
2026-02-12 15:00:00,55.5,87.26,110.62
2026-02-12 16:00:00,32.31,65.91,99.52
2026-02-12 17:00:00,20.86,43.82,66.77
2026-02-12 18:00:00,5.76,24.19,42.61
2026-02-12 19:00:00,4.82,21.27,37.71
2026-02-12 20:00:00,0.0,11.12,23.93
2026-02-12 21:00:00,7.88,18.84,29.81
2026-02-12 22:00:00,0.0,9.44,20.92
2026-02-12 23:00:00,1.97,12.11,22.25
2026-02-13 00:00:00,0.0,4.27,10.54
2026-02-13 01:00:00,0.0,2.61,5.41
2026-02-13 02:00:00,0.0,1.91,3.85
2026-02-13 03:00:00,0.0,3.08,6.32
2026-02-13 04:00:00,0.0,2.37,5.29
2026-02-13 05:00:00,0.0,2.62,6.23
2026-02-13 06:00:00,2.3,6.68,11.06
2026-02-13 07:00:00,22.44,36.73,51.01
2026-02-13 08:00:00,27.0,79.62,93.46
2026-02-13 09:00:00,57.4,96.99,136.57
2026-02-13 10:00:00,63.17,103.86,144.56
2026-02-13 11:00:00,64.36,105.03,145.7
2026-02-13 12:00:00,60.79,101.77,142.74
2026-02-13 13:00:00,66.74,108.51,150.28
2026-02-13 14:00:00,59.76,98.61,137.45
2026-02-13 15:00:00,53.47,87.7,121.93
2026-02-13 16:00:00,29.26,62.67,96.08
2026-02-13 17:00:00,16.0,41.2,66.4
2026-02-13 18:00:00,4.3,21.88,39.45
2026-02-13 19:00:00,2.97,18.19,33.4
2026-02-13 20:00:00,0.0,9.82,22.13
2026-02-13 21:00:00,7.61,18.1,28.59
2026-02-13 22:00:00,0.0,8.99,20.81
2026-02-13 23:00:00,3.81,12.69,21.56
2026-02-14 00:00:00,0.0,3.83,10.05
2026-02-14 01:00:00,0.0,2.11,4.87
2026-02-14 02:00:00,0.0,1.64,3.58
2026-02-14 03:00:00,0.0,1.17,4.41
2026-02-14 04:00:00,0.0,2.04,4.91
2026-02-14 05:00:00,0.0,2.18,5.72
2026-02-14 06:00:00,0.69,4.64,8.6
2026-02-14 07:00:00,12.86,24.77,36.69
2026-02-14 08:00:00,15.78,51.73,87.67
2026-02-14 09:00:00,25.3,68.46,111.63
2026-02-14 10:00:00,43.52,79.0,114.48
2026-02-14 11:00:00,46.82,92.07,137.32
2026-02-14 12:00:00,34.56,83.79,133.03
2026-02-14 13:00:00,47.03,95.53,144.03
2026-02-14 14:00:00,39.24,84.46,129.67
2026-02-14 15:00:00,36.36,62.63,88.89
2026-02-14 16:00:00,16.02,43.23,70.44
2026-02-14 17:00:00,3.53,20.58,37.62
2026-02-14 18:00:00,0.0,11.29,23.87
2026-02-14 19:00:00,6.02,16.89,27.76
2026-02-14 20:00:00,0.0,7.24,17.64
2026-02-14 21:00:00,7.94,15.82,23.71
