ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,53.36,101.27,149.19,130,12,-28.730000000000004
2026-02-10 13:00:00,60.14,109.84,159.54,164,13,-54.16
2026-02-10 14:00:00,58.73,99.69,140.64,161,14,-61.31
2026-02-10 15:00:00,52.95,87.52,122.08,136,15,-48.480000000000004
2026-02-10 16:00:00,34.95,63.85,92.76,54,16,9.850000000000001
2026-02-10 17:00:00,20.77,40.23,59.69,31,17,9.229999999999997
2026-02-10 18:00:00,7.97,23.31,38.65,33,18,-9.690000000000001
2026-02-10 19:00:00,10.08,23.66,37.23,25,19,-1.3399999999999999
2026-02-10 20:00:00,0.1,11.88,23.65,6,20,5.880000000000001
2026-02-10 21:00:00,8.34,17.31,26.29,7,21,10.309999999999999
2026-02-10 22:00:00,3.38,12.55,21.73,5,22,7.550000000000001
2026-02-10 23:00:00,4.77,12.81,20.86,8,23,4.8100000000000005
2026-02-11 00:00:00,0.16,5.51,10.85,2,0,3.51
2026-02-11 05:00:00,0.0,3.36,6.87,1,5,2.36
2026-02-11 06:00:00,2.86,7.09,11.32,6,6,1.0899999999999999
2026-02-11 07:00:00,28.7,45.92,63.14,71,7,-25.08
2026-02-11 08:00:00,34.05,81.57,129.09,103,8,-21.430000000000007
2026-02-11 09:00:00,54.23,98.44,142.66,97,9,1.4399999999999977
2026-02-11 10:00:00,61.79,106.51,151.23,112,10,-5.489999999999995
2026-02-11 11:00:00,62.38,105.51,148.65,105,11,0.5100000000000051
2026-02-11 12:00:00,58.77,101.04,143.32,115,12,-13.959999999999994
2026-02-11 13:00:00,68.74,108.0,147.26,148,13,-40.0
2026-02-11 14:00:00,60.82,96.96,133.09,147,14,-50.040000000000006
2026-02-11 15:00:00,54.85,87.87,110.08,99,15,-11.129999999999995
2026-02-11 16:00:00,28.5,62.0,95.5,62,16,0.0
2026-02-11 17:00:00,17.65,42.94,68.24,47,17,-4.060000000000002
2026-02-11 18:00:00,6.36,24.29,42.22,32,18,-7.710000000000001
2026-02-11 19:00:00,6.32,22.75,39.17,11,19,11.75
2026-02-11 20:00:00,0.0,11.83,26.3,11,20,0.8300000000000001
2026-02-11 21:00:00,8.46,19.2,29.93,7,21,12.2
2026-02-11 22:00:00,0.0,8.87,19.88,5,22,3.869999999999999
2026-02-11 23:00:00,4.58,13.0,21.41,5,23,8.0
2026-02-12 02:00:00,0.0,1.99,4.02,6,2,-4.01
2026-02-12 03:00:00,0.0,1.57,4.81,1,3,0.5700000000000001
2026-02-12 04:00:00,0.0,1.93,4.8,5,4,-3.0700000000000003
2026-02-12 06:00:00,2.26,6.67,11.08,5,6,1.67
2026-02-12 07:00:00,28.26,45.82,63.38,30,7,15.82
2026-02-12 08:00:00,33.44,80.93,106.44,58,8,22.930000000000007
2026-02-12 09:00:00,56.07,94.98,133.89,92,9,2.980000000000004
2026-02-12 10:00:00,63.73,102.56,141.4,89,10,13.560000000000002
2026-02-12 11:00:00,65.86,103.81,141.75,91,11,12.810000000000002
2026-02-12 12:00:00,60.19,99.21,138.22,119,12,-19.790000000000006
2026-02-12 13:00:00,68.09,107.6,147.12,109,13,-1.4000000000000057
2026-02-12 14:00:00,62.33,98.61,134.89,111,14,-12.39
2026-02-12 15:00:00,55.5,87.26,110.62,91,15,-3.739999999999995
2026-02-12 16:00:00,32.31,65.91,99.52,55,16,10.909999999999997
2026-02-12 17:00:00,20.86,43.82,66.77,24,17,19.82
2026-02-12 18:00:00,5.76,24.19,42.61,19,18,5.190000000000001
2026-02-12 19:00:00,4.82,21.27,37.71,10,19,11.27
2026-02-12 20:00:00,0.0,11.12,23.93,16,20,-4.880000000000001
2026-02-12 21:00:00,7.88,18.84,29.81,6,21,12.84
2026-02-12 22:00:00,0.0,9.44,20.92,12,22,-2.5600000000000005
2026-02-12 23:00:00,1.97,12.11,22.25,5,23,7.109999999999999
2026-02-13 00:00:00,0.0,4.27,10.54,2,0,2.2699999999999996
2026-02-13 05:00:00,0.0,2.62,6.23,2,5,0.6200000000000001
2026-02-13 06:00:00,2.3,6.68,11.06,3,6,3.6799999999999997
2026-02-13 07:00:00,22.44,36.73,51.01,14,7,22.729999999999997
2026-02-13 08:00:00,27.0,79.62,93.46,72,8,7.6200000000000045
2026-02-13 09:00:00,57.4,96.99,136.57,58,9,38.989999999999995
2026-02-13 10:00:00,63.17,103.86,144.56,71,10,32.86
2026-02-13 11:00:00,64.36,105.03,145.7,98,11,7.030000000000001
2026-02-13 12:00:00,60.79,101.77,142.74,128,12,-26.230000000000004
2026-02-13 13:00:00,66.74,108.51,150.28,129,13,-20.489999999999995
2026-02-13 14:00:00,59.76,98.61,137.45,55,14,43.61
2026-02-13 15:00:00,53.47,87.7,121.93,47,15,40.7
2026-02-13 16:00:00,29.26,62.67,96.08,28,16,34.67
2026-02-13 17:00:00,16.0,41.2,66.4,13,17,28.200000000000003
2026-02-13 18:00:00,4.3,21.88,39.45,6,18,15.879999999999999
2026-02-13 19:00:00,2.97,18.19,33.4,6,19,12.190000000000001
2026-02-13 20:00:00,0.0,9.82,22.13,8,20,1.8200000000000003
2026-02-13 21:00:00,7.61,18.1,28.59,1,21,17.1
2026-02-13 22:00:00,0.0,8.99,20.81,3,22,5.99
2026-02-13 23:00:00,3.81,12.69,21.56,6,23,6.6899999999999995
2026-02-14 00:00:00,0.0,3.83,10.05,3,0,0.8300000000000001
2026-02-14 08:00:00,15.78,51.73,87.67,2,8,49.73
2026-02-14 11:00:00,46.82,92.07,137.32,6,11,86.07
2026-02-14 12:00:00,34.56,83.79,133.03,4,12,79.79
2026-02-14 13:00:00,47.03,95.53,144.03,10,13,85.53
2026-02-14 14:00:00,39.24,84.46,129.67,3,14,81.46
2026-02-14 15:00:00,36.36,62.63,88.89,1,15,61.63
2026-02-14 16:00:00,16.02,43.23,70.44,12,16,31.229999999999997
2026-02-14 17:00:00,3.53,20.58,37.62,2,17,18.58
2026-02-14 18:00:00,0.0,11.29,23.87,3,18,8.29
2026-02-14 19:00:00,6.02,16.89,27.76,7,19,9.89
2026-02-14 20:00:00,0.0,7.24,17.64,1,20,6.24
2026-02-14 21:00:00,7.94,15.82,23.71,3,21,12.82
2026-02-14 23:00:00,0.6,9.75,18.9,1,23,8.75
2026-02-15 00:00:00,0.0,2.57,8.3,1,0,1.5699999999999998
2026-02-15 05:00:00,0.0,1.39,4.75,2,5,-0.6100000000000001
2026-02-15 06:00:00,0.0,3.1,7.21,2,6,1.1
2026-02-15 07:00:00,4.38,18.55,32.72,3,7,15.55
2026-02-15 08:00:00,7.41,39.94,72.47,1,8,38.94
2026-02-15 10:00:00,23.13,69.59,116.05,3,10,66.59
2026-02-15 12:00:00,34.1,86.97,139.85,3,12,83.97
2026-02-15 13:00:00,44.07,97.11,150.15,4,13,93.11
2026-02-15 14:00:00,30.71,80.37,130.04,4,14,76.37
2026-02-15 15:00:00,32.47,61.24,90.01,10,15,51.24
2026-02-15 16:00:00,10.56,39.33,68.11,4,16,35.33
2026-02-15 18:00:00,0.0,10.61,26.57,2,18,8.61
2026-02-15 19:00:00,5.85,18.57,31.3,2,19,16.57
2026-02-15 20:00:00,0.0,7.77,18.98,7,20,0.7699999999999996
2026-02-15 21:00:00,7.97,16.71,25.44,3,21,13.71
2026-02-15 22:00:00,0.0,7.22,18.75,2,22,5.22
2026-02-15 23:00:00,1.18,8.98,16.78,2,23,6.98
2026-02-16 00:00:00,0.0,3.4,7.62,2,0,1.4
2026-02-16 06:00:00,0.95,5.23,9.52,4,6,1.2300000000000004
2026-02-16 07:00:00,16.76,32.19,47.62,14,7,18.189999999999998
2026-02-16 08:00:00,27.0,80.7,98.88,21,8,59.7
2026-02-16 09:00:00,54.77,93.86,132.94,86,9,7.859999999999999
2026-02-16 10:00:00,63.37,104.51,145.66,59,10,45.510000000000005
2026-02-16 11:00:00,62.78,105.43,148.08,47,11,58.43000000000001
2026-02-16 12:00:00,57.5,100.26,143.02,47,12,53.260000000000005
2026-02-16 13:00:00,66.0,109.51,153.02,61,13,48.510000000000005
2026-02-16 14:00:00,60.51,98.3,136.09,43,14,55.3
2026-02-16 15:00:00,55.72,87.32,114.01,40,15,47.31999999999999
2026-02-16 16:00:00,33.62,69.24,104.85,17,16,52.239999999999995
2026-02-16 17:00:00,12.53,35.49,58.46,7,17,28.490000000000002
2026-02-16 18:00:00,3.73,19.41,35.1,16,18,3.41
2026-02-16 19:00:00,8.13,22.18,36.23,10,19,12.18
2026-02-16 20:00:00,0.0,9.9,24.53,9,20,0.9000000000000004
2026-02-16 21:00:00,3.77,14.51,25.26,12,21,2.51
2026-02-16 22:00:00,5.56,15.21,24.87,17,22,-1.7899999999999991
2026-02-16 23:00:00,0.0,9.28,19.74,3,23,6.279999999999999
2026-02-17 00:00:00,0.0,5.86,12.45,3,0,2.8600000000000003
2026-02-17 03:00:00,0.0,0.66,3.85,1,3,-0.33999999999999997
2026-02-17 05:00:00,0.0,2.07,5.62,2,5,0.06999999999999984
2026-02-17 06:00:00,1.12,5.44,9.77,2,6,3.4400000000000004
2026-02-17 07:00:00,19.46,35.75,52.04,24,7,11.75
2026-02-17 08:00:00,27.0,79.58,98.61,95,8,-15.420000000000002
2026-02-17 09:00:00,59.92,99.11,138.31,124,9,-24.89
2026-02-17 10:00:00,63.59,104.33,145.07,134,10,-29.67
2026-02-17 11:00:00,66.56,107.3,148.04,112,11,-4.700000000000003
2026-02-17 12:00:00,63.5,104.41,145.32,115,12,-10.590000000000003
2026-02-17 13:00:00,69.47,110.2,150.92,119,13,-8.799999999999997
2026-02-17 14:00:00,65.31,100.47,135.64,133,14,-32.53
2026-02-17 15:00:00,53.65,88.45,123.24,100,15,-11.549999999999997
2026-02-17 16:00:00,37.99,72.98,107.97,62,16,10.980000000000004
2026-02-17 17:00:00,13.97,40.89,67.82,55,17,-14.11
2026-02-17 18:00:00,6.12,24.67,43.23,22,18,2.6700000000000017
2026-02-17 19:00:00,6.54,23.15,39.75,13,19,10.149999999999999
2026-02-17 20:00:00,0.0,9.42,24.28,6,20,3.42
2026-02-17 21:00:00,6.93,17.88,28.82,11,21,6.879999999999999
2026-02-17 22:00:00,0.0,11.06,22.94,3,22,8.06
2026-02-17 23:00:00,0.0,9.62,19.86,12,23,-2.380000000000001
2026-02-18 01:00:00,1.46,4.12,6.78,2,1,2.12
2026-02-18 05:00:00,0.0,2.3,5.85,3,5,-0.7000000000000002
2026-02-18 06:00:00,1.09,5.29,9.48,5,6,0.29000000000000004
2026-02-18 07:00:00,23.18,38.5,53.82,30,7,8.5
2026-02-18 08:00:00,27.67,81.1,93.81,74,8,7.099999999999994
2026-02-18 09:00:00,57.6,96.98,136.35,116,9,-19.019999999999996
2026-02-18 10:00:00,68.51,106.81,145.11,113,10,-6.189999999999998
2026-02-18 11:00:00,66.71,104.59,142.47,136,11,-31.409999999999997
2026-02-18 12:00:00,61.61,100.87,140.13,100,12,0.8700000000000045
2026-02-18 13:00:00,71.05,109.95,148.84,114,13,-4.049999999999997
2026-02-18 14:00:00,63.78,98.76,133.73,142,14,-43.239999999999995
2026-02-18 15:00:00,54.47,87.65,120.83,84,15,3.6500000000000057
2026-02-18 16:00:00,32.3,65.8,99.29,47,16,18.799999999999997
2026-02-18 17:00:00,18.36,41.19,64.02,31,17,10.189999999999998
