ds,y_p10,y_pred,y_p90
2026-01-10 00:00:00,0.0,1.39,12.59
2026-01-10 01:00:00,0.0,1.88,13.39
2026-01-10 02:00:00,0.0,1.38,12.45
2026-01-10 03:00:00,0.0,3.03,14.68
2026-01-10 04:00:00,0.0,1.99,13.19
2026-01-10 05:00:00,0.0,1.95,12.9
2026-01-10 06:00:00,0.0,3.1,13.66
2026-01-10 07:00:00,0.0,12.0,24.43
2026-01-10 08:00:00,9.65,28.5,47.35
2026-01-10 09:00:00,29.03,57.62,86.21
2026-01-10 10:00:00,49.08,91.13,133.18
2026-01-10 11:00:00,28.81,94.36,159.9
2026-01-10 12:00:00,35.09,90.45,145.8
2026-01-10 13:00:00,34.83,93.48,152.12
2026-01-10 14:00:00,33.26,89.37,145.48
2026-01-10 15:00:00,23.25,65.52,107.78
2026-01-10 16:00:00,0.0,38.2,77.1
2026-01-10 17:00:00,0.0,22.11,45.39
2026-01-10 18:00:00,5.8,17.6,29.4
2026-01-10 19:00:00,2.16,12.59,23.01
2026-01-10 20:00:00,0.0,7.17,18.11
2026-01-10 21:00:00,0.0,4.77,13.71
2026-01-10 22:00:00,0.0,3.0,12.47
2026-01-10 23:00:00,0.0,2.0,11.72
2026-01-11 00:00:00,0.0,2.43,13.14
2026-01-11 01:00:00,0.0,2.76,14.01
2026-01-11 02:00:00,0.0,1.85,12.83
2026-01-11 03:00:00,0.0,2.62,14.33
2026-01-11 04:00:00,0.0,2.16,13.58
2026-01-11 05:00:00,0.0,1.35,12.69
2026-01-11 06:00:00,0.0,2.0,13.08
2026-01-11 07:00:00,0.47,12.0,23.53
2026-01-11 08:00:00,11.69,28.5,45.31
2026-01-11 09:00:00,24.69,53.65,82.62
2026-01-11 10:00:00,30.36,65.77,101.18
2026-01-11 11:00:00,19.35,75.06,130.77
2026-01-11 12:00:00,19.61,81.03,142.45
2026-01-11 13:00:00,13.74,70.51,127.29
2026-01-11 14:00:00,11.54,64.13,116.73
2026-01-11 15:00:00,0.0,45.24,91.62
2026-01-11 16:00:00,0.0,29.49,72.75
2026-01-11 17:00:00,0.0,17.91,41.89
2026-01-11 18:00:00,0.0,10.62,23.36
2026-01-11 19:00:00,0.0,7.85,20.66
2026-01-11 20:00:00,0.0,6.42,19.81
2026-01-11 21:00:00,0.0,5.02,17.39
2026-01-11 22:00:00,0.0,3.55,16.8
2026-01-11 23:00:00,0.0,2.82,16.57
2026-01-12 00:00:00,0.0,1.96,17.09
2026-01-12 01:00:00,0.0,3.35,19.09
2026-01-12 02:00:00,0.0,2.2,17.44
2026-01-12 03:00:00,0.0,3.74,19.84
2026-01-12 04:00:00,0.0,2.71,18.28
2026-01-12 05:00:00,0.0,3.33,18.68
2026-01-12 06:00:00,0.0,4.3,19.2
2026-01-12 07:00:00,4.77,24.0,43.23
2026-01-12 08:00:00,19.59,72.51,125.43
2026-01-12 09:00:00,8.06,98.78,189.49
2026-01-12 10:00:00,6.44,101.09,195.73
2026-01-12 11:00:00,0.0,101.49,217.78
2026-01-12 12:00:00,0.0,98.62,201.74
2026-01-12 13:00:00,0.0,101.84,211.99
2026-01-12 14:00:00,0.0,93.49,200.28
2026-01-12 15:00:00,0.0,80.39,173.66
2026-01-12 16:00:00,0.0,51.76,127.79
2026-01-12 17:00:00,0.0,32.97,83.68
2026-01-12 18:00:00,0.0,19.42,45.76
2026-01-12 19:00:00,0.0,17.41,35.94
2026-01-12 20:00:00,0.0,11.74,31.95
2026-01-12 21:00:00,0.0,9.58,27.14
2026-01-12 22:00:00,0.0,8.25,26.38
2026-01-12 23:00:00,0.0,6.63,24.24
2026-01-13 00:00:00,0.0,8.27,26.9
2026-01-13 01:00:00,0.0,4.6,25.35
2026-01-13 02:00:00,0.0,3.22,21.86
2026-01-13 03:00:00,0.0,4.79,24.4
2026-01-13 04:00:00,0.0,3.01,21.94
2026-01-13 05:00:00,0.0,2.5,21.1
2026-01-13 06:00:00,0.0,4.65,22.66
2026-01-13 07:00:00,5.36,26.01,46.65
2026-01-13 08:00:00,16.77,71.94,127.12
2026-01-13 09:00:00,0.0,92.88,193.02
2026-01-13 10:00:00,4.38,100.58,196.79
2026-01-13 11:00:00,0.0,96.13,225.35
2026-01-13 12:00:00,0.0,90.83,196.96
2026-01-13 13:00:00,0.0,95.7,212.43
2026-01-13 14:00:00,0.0,90.31,202.77
2026-01-13 15:00:00,0.0,74.8,177.19
2026-01-13 16:00:00,0.0,44.01,127.13
