ds,y_p10,y_pred,y_p90,y_actual
2026-01-10 14:00:00,33.26,89.37,145.48,8
2026-01-10 16:00:00,0.0,38.2,77.1,8
2026-01-10 17:00:00,0.0,22.11,45.39,9
2026-01-10 18:00:00,5.8,17.6,29.4,3
2026-01-10 19:00:00,2.16,12.59,23.01,2
2026-01-10 20:00:00,0.0,7.17,18.11,5
2026-01-10 21:00:00,0.0,4.77,13.71,4
2026-01-10 22:00:00,0.0,3.0,12.47,1
2026-01-10 23:00:00,0.0,2.0,11.72,1
2026-01-11 01:00:00,0.0,2.76,14.01,2
2026-01-11 08:00:00,11.69,28.5,45.31,8
2026-01-11 09:00:00,24.69,53.65,82.62,6
2026-01-11 10:00:00,30.36,65.77,101.18,14
2026-01-11 11:00:00,19.35,75.06,130.77,4
2026-01-11 12:00:00,19.61,81.03,142.45,7
2026-01-11 13:00:00,13.74,70.51,127.29,5
2026-01-11 14:00:00,11.54,64.13,116.73,10
2026-01-11 15:00:00,0.0,45.24,91.62,10
2026-01-11 16:00:00,0.0,29.49,72.75,7
2026-01-11 17:00:00,0.0,17.91,41.89,4
2026-01-11 18:00:00,0.0,10.62,23.36,8
2026-01-11 19:00:00,0.0,7.85,20.66,9
2026-01-11 20:00:00,0.0,6.42,19.81,5
2026-01-11 21:00:00,0.0,5.02,17.39,13
2026-01-11 22:00:00,0.0,3.55,16.8,6
2026-01-11 23:00:00,0.0,2.82,16.57,5
2026-01-12 00:00:00,0.0,1.96,17.09,1
2026-01-12 01:00:00,0.0,3.35,19.09,2
2026-01-12 04:00:00,0.0,2.71,18.28,1
2026-01-12 05:00:00,0.0,3.33,18.68,3
2026-01-12 06:00:00,0.0,4.3,19.2,14
2026-01-12 07:00:00,4.77,24.0,43.23,30
2026-01-12 08:00:00,19.59,72.51,125.43,92
2026-01-12 09:00:00,8.06,98.78,189.49,104
2026-01-12 10:00:00,6.44,101.09,195.73,152
2026-01-12 11:00:00,0.0,101.49,217.78,148
2026-01-12 12:00:00,0.0,98.62,201.74,161
2026-01-12 13:00:00,0.0,101.84,211.99,180
2026-01-12 14:00:00,0.0,93.49,200.28,156
2026-01-12 15:00:00,0.0,80.39,173.66,111
2026-01-12 16:00:00,0.0,51.76,127.79,84
2026-01-12 17:00:00,0.0,32.97,83.68,33
2026-01-12 18:00:00,0.0,19.42,45.76,38
2026-01-12 19:00:00,0.0,17.41,35.94,35
2026-01-12 20:00:00,0.0,11.74,31.95,16
2026-01-12 21:00:00,0.0,9.58,27.14,9
2026-01-12 22:00:00,0.0,8.25,26.38,8
2026-01-12 23:00:00,0.0,6.63,24.24,5
2026-01-13 05:00:00,0.0,2.5,21.1,3
2026-01-13 06:00:00,0.0,4.65,22.66,4
2026-01-13 07:00:00,5.36,26.01,46.65,47
2026-01-13 08:00:00,16.77,71.94,127.12,79
2026-01-13 09:00:00,0.0,92.88,193.02,108
2026-01-13 10:00:00,4.38,100.58,196.79,144
2026-01-13 11:00:00,0.0,96.13,225.35,115
2026-01-13 12:00:00,0.0,90.83,196.96,146
2026-01-13 13:00:00,0.0,95.7,212.43,106
2026-01-13 14:00:00,0.0,90.31,202.77,145
2026-01-13 15:00:00,0.0,74.8,177.19,101
2026-01-13 16:00:00,0.0,44.01,127.13,73
2026-01-13 17:00:00,0.0,25.4,79.8,32
2026-01-13 18:00:00,0.0,17.93,41.88,42
2026-01-13 19:00:00,0.0,16.1,37.65,44
2026-01-13 20:00:00,0.0,8.31,31.77,7
2026-01-13 21:00:00,0.0,7.13,25.69,20
2026-01-13 22:00:00,0.0,7.38,26.58,6
2026-01-13 23:00:00,0.0,3.99,23.8,3
2026-01-14 00:00:00,0.0,1.59,22.87,3
2026-01-14 05:00:00,0.0,2.22,23.29,10
2026-01-14 06:00:00,0.0,2.0,22.37,2
2026-01-14 07:00:00,3.67,27.16,50.64,33
2026-01-14 08:00:00,0.0,51.5,108.83,46
2026-01-14 09:00:00,0.0,82.63,182.0,117
2026-01-14 10:00:00,0.0,95.57,193.09,125
2026-01-14 11:00:00,0.0,97.29,234.19,91
2026-01-14 12:00:00,0.0,90.53,210.25,96
2026-01-14 13:00:00,0.0,96.01,226.37,96
2026-01-14 14:00:00,0.0,92.35,217.73,86
2026-01-14 15:00:00,0.0,75.1,188.95,68
2026-01-14 16:00:00,0.0,43.18,135.44,60
2026-01-14 17:00:00,0.0,22.0,82.83,28
2026-01-14 18:00:00,0.0,12.59,38.42,22
2026-01-14 19:00:00,0.0,14.04,36.08,33
2026-01-14 20:00:00,0.0,9.0,33.16,12
2026-01-14 21:00:00,0.0,7.06,28.85,13
2026-01-14 22:00:00,0.0,4.75,25.83,10
2026-01-14 23:00:00,0.0,3.24,24.98,12
2026-01-15 00:00:00,0.0,2.18,25.94,6
2026-01-15 01:00:00,0.0,4.09,28.47,12
2026-01-15 03:00:00,0.0,2.7,27.54,1
2026-01-15 04:00:00,0.0,1.32,25.22,4
2026-01-15 05:00:00,0.0,1.15,24.58,3
2026-01-15 06:00:00,0.0,3.19,25.81,7
2026-01-15 07:00:00,0.0,25.74,51.63,36
2026-01-15 08:00:00,4.28,66.74,129.19,70
2026-01-15 09:00:00,0.0,84.6,199.99,62
2026-01-15 10:00:00,0.0,92.18,197.51,102
2026-01-15 11:00:00,0.0,94.1,239.98,114
2026-01-15 12:00:00,0.0,92.93,219.2,134
2026-01-15 13:00:00,0.0,94.12,233.3,130
2026-01-15 14:00:00,0.0,84.15,218.22,110
2026-01-15 15:00:00,0.0,69.96,186.41,79
2026-01-15 16:00:00,0.0,44.94,139.24,63
