ds,y_p10,y_pred,y_p90,y_actual
2026-02-10 12:00:00,13.96,97.85,181.74,130
2026-02-10 13:00:00,23.67,104.89,186.12,164
2026-02-10 14:00:00,11.04,96.35,181.66,161
2026-02-10 15:00:00,12.42,83.72,155.01,136
2026-02-10 16:00:00,8.0,51.11,94.23,54
2026-02-10 17:00:00,2.59,32.04,61.49,31
2026-02-10 18:00:00,3.8,19.45,35.11,33
2026-02-10 19:00:00,1.9,15.31,28.72,25
2026-02-10 20:00:00,0.0,9.81,21.95,6
2026-02-10 21:00:00,0.0,8.78,20.43,7
2026-02-10 22:00:00,0.0,7.21,18.4,5
2026-02-10 23:00:00,0.0,4.35,14.75,8
2026-02-11 00:00:00,0.0,1.75,12.87,2
2026-02-11 05:00:00,0.0,1.64,13.37,1
2026-02-11 06:00:00,0.0,3.98,16.03,6
2026-02-11 07:00:00,15.82,34.76,53.7,71
2026-02-11 08:00:00,21.88,75.7,129.52,103
2026-02-11 09:00:00,10.25,94.57,178.9,97
2026-02-11 10:00:00,24.2,101.41,178.61,112
2026-02-11 11:00:00,0.0,99.36,205.69,105
2026-02-11 12:00:00,2.17,95.24,188.3,115
2026-02-11 13:00:00,6.17,100.12,194.07,148
2026-02-11 14:00:00,0.0,92.64,193.91,147
2026-02-11 15:00:00,0.0,81.99,169.55,99
2026-02-11 16:00:00,0.0,48.61,104.62,62
2026-02-11 17:00:00,0.0,29.13,65.83,47
2026-02-11 18:00:00,0.0,17.63,36.33,32
2026-02-11 19:00:00,0.0,14.45,32.48,11
2026-02-11 20:00:00,0.0,7.9,24.4,11
2026-02-11 21:00:00,0.0,6.62,21.39,7
2026-02-11 22:00:00,0.0,5.71,20.87,5
2026-02-11 23:00:00,0.0,2.95,17.54,5
2026-02-12 02:00:00,0.0,0.75,16.13,6
2026-02-12 03:00:00,0.0,1.95,18.46,1
2026-02-12 04:00:00,0.0,1.42,17.22,5
2026-02-12 06:00:00,0.0,3.48,19.53,5
2026-02-12 07:00:00,9.12,34.17,59.23,30
2026-02-12 08:00:00,6.9,74.86,142.81,58
2026-02-12 09:00:00,0.0,90.91,197.55,92
2026-02-12 10:00:00,1.14,97.87,194.59,89
2026-02-12 11:00:00,0.0,97.09,224.91,91
2026-02-12 12:00:00,0.0,93.74,203.95,119
2026-02-12 13:00:00,0.0,99.32,216.95,109
2026-02-12 14:00:00,0.0,94.64,220.96,111
2026-02-12 15:00:00,0.0,83.05,191.38,91
2026-02-12 16:00:00,0.0,56.08,124.74,55
2026-02-12 17:00:00,0.0,32.55,84.74,24
2026-02-12 18:00:00,0.0,16.8,42.8,19
2026-02-12 19:00:00,0.0,14.61,37.19,10
2026-02-12 20:00:00,0.0,8.22,29.06,16
2026-02-12 21:00:00,0.0,6.32,24.98,6
2026-02-12 22:00:00,0.0,5.23,23.86,12
2026-02-12 23:00:00,0.0,2.97,20.84,5
2026-02-13 00:00:00,0.0,1.89,20.9,2
2026-02-13 05:00:00,0.0,1.87,20.78,2
2026-02-13 06:00:00,0.0,3.63,22.86,3
2026-02-13 07:00:00,0.0,18.81,48.18,14
2026-02-13 08:00:00,13.91,49.07,84.23,72
2026-02-13 09:00:00,0.0,89.44,190.01,58
2026-02-13 10:00:00,0.0,98.56,215.41,71
2026-02-13 11:00:00,0.0,98.25,255.48,98
2026-02-13 12:00:00,0.0,93.75,229.3,128
2026-02-13 13:00:00,0.0,99.89,237.45,129
2026-02-13 14:00:00,0.0,94.33,241.8,55
2026-02-13 15:00:00,0.0,81.79,208.36,47
2026-02-13 16:00:00,0.0,47.68,128.16,28
2026-02-13 17:00:00,0.0,25.6,79.01,13
2026-02-13 18:00:00,0.0,15.63,39.18,6
2026-02-13 19:00:00,0.0,12.1,36.62,6
2026-02-13 20:00:00,0.0,6.57,30.28,8
2026-02-13 21:00:00,0.0,5.51,26.63,1
2026-02-13 22:00:00,0.0,4.43,25.98,3
2026-02-13 23:00:00,0.0,3.02,23.64,6
2026-02-14 00:00:00,0.0,1.71,23.62,3
2026-02-14 08:00:00,0.0,2.96,56.1,2
2026-02-14 11:00:00,0.0,5.5,59.61,6
2026-02-14 12:00:00,0.0,3.13,56.32,4
2026-02-14 13:00:00,0.0,1.94,53.32,10
2026-02-14 14:00:00,0.0,5.11,59.53,3
2026-02-14 15:00:00,0.0,1.13,52.37,1
2026-02-14 16:00:00,0.0,12.88,64.61,12
2026-02-14 17:00:00,0.0,4.12,39.07,2
2026-02-14 18:00:00,0.0,1.76,23.51,3
2026-02-14 19:00:00,0.0,2.47,26.31,7
2026-02-14 20:00:00,0.0,2.79,26.64,1
2026-02-14 21:00:00,0.0,1.9,25.37,3
2026-02-14 23:00:00,0.0,1.25,24.12,1
2026-02-15 00:00:00,0.0,1.58,25.85,1
2026-02-15 05:00:00,0.0,0.8,24.63,2
2026-02-15 06:00:00,0.0,1.12,25.31,2
2026-02-15 07:00:00,0.0,3.37,38.42,3
2026-02-15 08:00:00,0.0,3.59,62.29,1
2026-02-15 10:00:00,0.0,3.16,60.82,3
2026-02-15 12:00:00,0.0,5.17,63.93,3
2026-02-15 13:00:00,0.0,5.71,62.42,4
2026-02-15 14:00:00,0.0,6.65,66.66,4
2026-02-15 15:00:00,0.0,5.78,62.23,10
2026-02-15 16:00:00,0.0,4.64,61.6,4
2026-02-15 18:00:00,0.0,4.01,30.06,2
2026-02-15 19:00:00,0.0,6.04,32.23,2
2026-02-15 20:00:00,0.0,4.93,31.1,7
2026-02-15 21:00:00,0.0,4.98,30.72,3
2026-02-15 22:00:00,0.0,3.09,29.31,2
2026-02-15 23:00:00,0.0,1.53,26.58,2
2026-02-16 00:00:00,0.0,2.8,29.61,2
2026-02-16 06:00:00,0.0,3.98,30.59,4
2026-02-16 07:00:00,0.0,24.13,68.84,14
2026-02-16 08:00:00,0.0,78.21,181.59,21
2026-02-16 09:00:00,0.0,90.87,284.98,86
2026-02-16 10:00:00,0.0,101.29,274.71,59
2026-02-16 11:00:00,0.0,100.04,327.63,47
2026-02-16 12:00:00,0.0,96.03,293.25,47
2026-02-16 13:00:00,0.0,102.73,298.04,61
2026-02-16 14:00:00,0.0,95.9,305.64,43
2026-02-16 15:00:00,0.0,84.66,265.53,40
2026-02-16 16:00:00,0.0,59.91,177.25,17
2026-02-16 17:00:00,0.0,29.91,113.1,7
2026-02-16 18:00:00,0.0,19.02,55.68,16
2026-02-16 19:00:00,0.0,18.53,53.68,10
2026-02-16 20:00:00,0.0,10.56,44.48,9
2026-02-16 21:00:00,0.0,5.97,36.91,12
2026-02-16 22:00:00,0.0,10.53,39.36,17
2026-02-16 23:00:00,0.0,3.45,33.64,3
2026-02-17 00:00:00,0.0,3.84,33.02,3
2026-02-17 03:00:00,0.0,1.95,32.24,1
2026-02-17 05:00:00,0.0,1.66,30.16,2
2026-02-17 06:00:00,0.0,4.71,33.59,2
2026-02-17 07:00:00,0.0,28.09,72.77,24
2026-02-17 08:00:00,0.0,77.08,190.67,95
2026-02-17 09:00:00,0.0,96.11,287.13,124
2026-02-17 10:00:00,0.0,101.09,277.99,134
2026-02-17 11:00:00,0.0,102.13,337.4,112
2026-02-17 12:00:00,0.0,100.29,305.17,115
2026-02-17 13:00:00,0.0,104.34,321.74,119
2026-02-17 14:00:00,0.0,97.69,317.09,133
2026-02-17 15:00:00,0.0,85.41,276.43,100
2026-02-17 16:00:00,0.0,63.95,191.96,62
2026-02-17 17:00:00,0.0,37.56,125.43,55
2026-02-17 18:00:00,0.0,22.29,75.94,22
2026-02-17 19:00:00,0.0,18.95,60.25,13
2026-02-17 20:00:00,0.0,9.0,45.98,6
2026-02-17 21:00:00,0.0,9.85,42.64,11
2026-02-17 22:00:00,0.0,7.92,41.25,3
2026-02-17 23:00:00,0.0,4.2,33.64,12
2026-02-18 01:00:00,0.0,4.03,35.72,2
2026-02-18 05:00:00,0.0,1.82,31.94,3
2026-02-18 06:00:00,0.0,3.95,34.47,5
2026-02-18 07:00:00,0.0,26.57,73.92,30
2026-02-18 08:00:00,0.0,77.86,184.71,74
2026-02-18 09:00:00,0.0,94.26,296.14,116
2026-02-18 10:00:00,0.0,104.0,290.77,113
2026-02-18 11:00:00,0.0,99.67,350.3,136
2026-02-18 12:00:00,0.0,96.38,311.77,100
2026-02-18 13:00:00,0.0,103.35,318.41,114
2026-02-18 14:00:00,0.0,95.07,327.01,142
2026-02-18 15:00:00,0.0,84.31,283.97,84
2026-02-18 16:00:00,0.0,55.57,185.14,47
2026-02-18 17:00:00,0.0,35.34,123.35,31
2026-02-18 18:00:00,0.0,14.14,67.79,14
2026-02-18 19:00:00,0.0,17.51,55.02,9
2026-02-18 20:00:00,0.0,9.33,48.3,8
2026-02-18 21:00:00,0.0,7.1,41.62,6
2026-02-18 22:00:00,0.0,6.04,38.46,11
2026-02-18 23:00:00,0.0,3.6,34.54,2
2026-02-19 00:00:00,0.0,2.2,34.97,1
2026-02-19 04:00:00,0.0,1.25,33.52,2
2026-02-19 05:00:00,0.0,1.06,32.96,1
2026-02-19 06:00:00,0.0,3.88,36.19,15
2026-02-19 07:00:00,0.0,27.76,77.86,33
2026-02-19 08:00:00,0.0,76.04,183.57,67
2026-02-19 09:00:00,0.0,91.46,298.12,72
2026-02-19 10:00:00,0.0,100.34,286.88,115
2026-02-19 11:00:00,0.0,100.39,359.08,117
2026-02-19 12:00:00,0.0,97.17,320.24,152
2026-02-19 13:00:00,0.0,102.55,327.37,153
2026-02-19 14:00:00,0.0,97.43,337.87,111
2026-02-19 15:00:00,0.0,84.97,293.39,113
2026-02-19 16:00:00,0.0,57.67,191.13,56
2026-02-19 17:00:00,0.0,31.92,130.18,34
2026-02-19 18:00:00,0.0,15.43,64.11,44
2026-02-19 19:00:00,0.0,16.24,55.83,14
2026-02-19 20:00:00,0.0,8.68,49.79,14
2026-02-19 21:00:00,0.0,7.0,41.41,19
2026-02-19 22:00:00,0.0,5.72,39.9,14
2026-02-19 23:00:00,0.0,2.54,35.15,2
2026-02-20 00:00:00,0.0,1.41,35.94,3
2026-02-20 01:00:00,0.0,1.69,37.09,1
2026-02-20 03:00:00,0.0,3.73,39.5,2
2026-02-20 05:00:00,0.0,1.54,35.12,2
