ds,y_p10,y_pred,y_p90
2026-03-10 00:00:00,0.0,0.0,0.0
2026-03-10 01:00:00,0.0,0.0,2.04
2026-03-10 02:00:00,0.0,0.0,0.0
2026-03-10 03:00:00,0.0,0.0,0.0
2026-03-10 04:00:00,0.0,0.0,0.0
2026-03-10 05:00:00,0.0,0.0,0.0
2026-03-10 06:00:00,0.0,0.6,4.67
2026-03-10 07:00:00,20.08,38.09,56.11
2026-03-10 08:00:00,34.43,78.44,122.45
2026-03-10 09:00:00,55.52,98.96,142.39
2026-03-10 10:00:00,56.67,105.78,154.9
2026-03-10 11:00:00,56.66,105.19,153.71
2026-03-10 12:00:00,54.81,98.84,142.87
2026-03-10 13:00:00,60.33,103.84,147.36
2026-03-10 14:00:00,56.94,93.97,131.01
2026-03-10 15:00:00,50.63,84.95,119.27
2026-03-10 16:00:00,30.56,53.45,76.33
2026-03-10 17:00:00,6.78,27.25,47.72
2026-03-10 18:00:00,3.8,17.45,31.09
2026-03-10 19:00:00,0.0,8.53,19.17
2026-03-10 20:00:00,0.18,8.01,15.83
2026-03-10 21:00:00,11.91,20.47,29.03
2026-03-10 22:00:00,0.0,2.16,12.89
2026-03-10 23:00:00,0.0,5.15,11.12
2026-03-11 00:00:00,0.0,0.0,0.0
2026-03-11 01:00:00,0.0,0.0,0.0
2026-03-11 02:00:00,0.0,0.0,0.0
2026-03-11 03:00:00,0.0,0.0,0.0
2026-03-11 04:00:00,0.0,0.0,0.0
2026-03-11 05:00:00,0.0,0.0,0.0
2026-03-11 06:00:00,0.0,0.0,3.83
2026-03-11 07:00:00,20.19,38.14,56.09
2026-03-11 08:00:00,36.51,77.51,118.51
2026-03-11 09:00:00,54.36,97.24,140.12
2026-03-11 10:00:00,60.58,101.03,141.48
2026-03-11 11:00:00,62.03,100.83,139.63
2026-03-11 12:00:00,55.59,94.89,134.19
2026-03-11 13:00:00,60.31,100.91,141.52
2026-03-11 14:00:00,57.9,94.36,130.83
2026-03-11 15:00:00,49.53,83.47,117.41
2026-03-11 16:00:00,22.48,51.21,79.95
2026-03-11 17:00:00,0.0,23.76,51.14
2026-03-11 18:00:00,0.0,11.48,27.26
2026-03-11 19:00:00,0.0,10.82,24.84
2026-03-11 20:00:00,0.0,6.73,18.1
2026-03-11 21:00:00,2.5,12.72,22.94
2026-03-11 22:00:00,0.0,7.21,20.99
2026-03-11 23:00:00,0.0,4.54,14.58
2026-03-12 00:00:00,0.0,0.0,0.0
2026-03-12 01:00:00,0.0,0.0,0.0
2026-03-12 02:00:00,0.0,0.0,0.0
2026-03-12 03:00:00,0.0,0.0,0.0
2026-03-12 04:00:00,0.0,0.0,0.0
2026-03-12 05:00:00,0.0,0.0,0.02
2026-03-12 06:00:00,0.0,0.0,4.94
2026-03-12 07:00:00,17.63,35.88,54.14
2026-03-12 08:00:00,30.74,70.21,109.67
2026-03-12 09:00:00,54.78,93.14,131.51
2026-03-12 10:00:00,60.76,101.38,142.0
2026-03-12 11:00:00,63.03,100.82,138.62
2026-03-12 12:00:00,58.43,97.09,135.75
2026-03-12 13:00:00,63.71,104.23,144.76
2026-03-12 14:00:00,60.26,95.88,131.5
2026-03-12 15:00:00,53.75,86.0,118.26
2026-03-12 16:00:00,13.06,54.44,95.81
2026-03-12 17:00:00,0.0,25.14,55.72
2026-03-12 18:00:00,0.0,13.31,32.76
2026-03-12 19:00:00,0.0,9.73,24.83
2026-03-12 20:00:00,0.0,6.16,18.42
2026-03-12 21:00:00,0.0,7.26,17.96
2026-03-12 22:00:00,0.0,6.48,18.41
2026-03-12 23:00:00,0.0,4.11,15.14
2026-03-13 00:00:00,0.0,0.0,0.0
2026-03-13 01:00:00,0.0,0.0,0.0
2026-03-13 02:00:00,0.0,0.0,0.0
2026-03-13 03:00:00,0.0,0.0,0.0
2026-03-13 04:00:00,0.0,0.0,0.0
2026-03-13 05:00:00,0.0,4.47,9.28
2026-03-13 06:00:00,0.0,0.0,4.38
2026-03-13 07:00:00,10.59,28.77,46.94
2026-03-13 08:00:00,17.98,62.04,106.1
2026-03-13 09:00:00,54.5,92.66,130.83
2026-03-13 10:00:00,62.09,100.96,139.82
2026-03-13 11:00:00,63.96,99.92,135.88
2026-03-13 12:00:00,58.99,96.51,134.03
2026-03-13 13:00:00,64.79,103.44,142.1
2026-03-13 14:00:00,59.23,95.72,132.2
2026-03-13 15:00:00,49.69,83.98,118.27
2026-03-13 16:00:00,15.57,49.35,83.13
2026-03-13 17:00:00,0.0,19.79,48.64
2026-03-13 18:00:00,0.0,5.97,18.67
2026-03-13 19:00:00,0.0,7.8,20.22
2026-03-13 20:00:00,0.0,4.8,14.73
2026-03-13 21:00:00,0.0,6.04,16.49
2026-03-13 22:00:00,0.0,4.0,15.16
2026-03-13 23:00:00,0.0,2.03,11.74
2026-03-14 00:00:00,0.0,0.0,0.0
2026-03-14 01:00:00,0.0,0.0,0.0
2026-03-14 02:00:00,0.0,0.0,0.0
2026-03-14 03:00:00,0.0,0.0,0.0
2026-03-14 04:00:00,0.0,0.0,0.0
2026-03-14 05:00:00,0.0,0.0,0.0
2026-03-14 06:00:00,0.0,0.0,2.07
2026-03-14 07:00:00,0.0,9.89,23.95
2026-03-14 08:00:00,2.7,34.26,65.82
2026-03-14 09:00:00,4.51,46.5,88.49
2026-03-14 10:00:00,0.0,55.18,112.16
2026-03-14 11:00:00,0.05,68.38,136.71
2026-03-14 12:00:00,10.96,66.43,121.9
2026-03-14 13:00:00,12.41,69.47,126.54
2026-03-14 14:00:00,23.65,67.92,112.19
2026-03-14 15:00:00,18.26,52.65,87.04
2026-03-14 16:00:00,0.0,21.69,59.7
2026-03-14 17:00:00,0.0,6.58,22.92
2026-03-14 18:00:00,0.0,4.43,13.99
2026-03-14 19:00:00,0.0,3.46,11.75
2026-03-14 20:00:00,0.0,1.43,9.49
2026-03-14 21:00:00,0.0,3.4,12.84
2026-03-14 22:00:00,0.0,2.84,12.02
2026-03-14 23:00:00,0.0,1.86,11.29
2026-03-15 00:00:00,0.0,0.0,0.0
2026-03-15 01:00:00,0.0,0.0,0.0
2026-03-15 02:00:00,0.0,0.0,0.0
2026-03-15 03:00:00,0.0,0.0,0.0
2026-03-15 04:00:00,0.0,0.0,0.0
2026-03-15 05:00:00,0.0,0.0,0.0
2026-03-15 06:00:00,0.0,0.0,1.48
2026-03-15 07:00:00,0.0,4.29,20.36
2026-03-15 08:00:00,0.0,22.04,48.92
2026-03-15 09:00:00,0.0,33.22,75.73
2026-03-15 10:00:00,0.0,38.39,76.95
2026-03-15 11:00:00,0.0,37.18,76.46
2026-03-15 12:00:00,0.0,32.94,73.66
2026-03-15 13:00:00,0.0,32.23,73.79
2026-03-15 14:00:00,0.0,30.55,72.79
2026-03-15 15:00:00,0.0,19.81,57.76
2026-03-15 16:00:00,0.0,8.88,37.56
2026-03-15 17:00:00,0.0,10.96,25.27
2026-03-15 18:00:00,0.0,5.62,18.33
2026-03-15 19:00:00,0.0,3.39,14.15
2026-03-15 20:00:00,0.0,3.82,13.13
2026-03-15 21:00:00,0.0,4.16,15.4
2026-03-15 22:00:00,0.0,6.51,17.66
2026-03-15 23:00:00,0.0,0.74,10.47
2026-03-16 00:00:00,0.0,0.0,0.0
2026-03-16 01:00:00,0.0,0.0,0.0
2026-03-16 02:00:00,0.0,0.0,0.0
2026-03-16 03:00:00,0.0,0.0,0.0
2026-03-16 04:00:00,0.0,0.0,0.0
2026-03-16 05:00:00,0.0,0.0,0.0
2026-03-16 06:00:00,0.0,0.0,3.1
2026-03-16 07:00:00,0.98,20.23,39.48
2026-03-16 08:00:00,33.17,69.5,105.83
2026-03-16 09:00:00,59.23,95.02,130.82
2026-03-16 10:00:00,63.19,105.31,147.43
2026-03-16 11:00:00,65.43,104.73,144.02
2026-03-16 12:00:00,58.05,98.75,139.44
2026-03-16 13:00:00,62.63,103.92,145.21
2026-03-16 14:00:00,60.14,97.21,134.28
2026-03-16 15:00:00,52.24,86.23,120.23
2026-03-16 16:00:00,16.37,56.67,96.98
2026-03-16 17:00:00,0.0,27.61,57.63
2026-03-16 18:00:00,0.0,11.13,29.79
2026-03-16 19:00:00,0.0,9.77,25.6
2026-03-16 20:00:00,0.0,3.82,16.67
2026-03-16 21:00:00,0.0,5.34,15.52
2026-03-16 22:00:00,0.0,7.81,17.84
2026-03-16 23:00:00,0.0,1.34,11.55
2026-03-17 00:00:00,0.0,0.0,0.0
2026-03-17 01:00:00,0.0,0.0,0.0
2026-03-17 02:00:00,0.0,0.0,0.0
2026-03-17 03:00:00,0.0,0.0,0.0
2026-03-17 04:00:00,0.0,0.0,0.0
2026-03-17 05:00:00,0.0,0.0,0.0
2026-03-17 06:00:00,0.0,0.0,4.25
2026-03-17 07:00:00,7.01,27.53,48.06
2026-03-17 08:00:00,35.73,82.29,128.85
2026-03-17 09:00:00,61.24,99.81,138.37
2026-03-17 10:00:00,67.54,105.68,143.82
2026-03-17 11:00:00,69.29,104.97,140.66
2026-03-17 12:00:00,62.33,99.24,136.15
2026-03-17 13:00:00,69.82,107.21,144.61
2026-03-17 14:00:00,66.46,100.3,134.14
2026-03-17 15:00:00,57.21,88.05,118.89
2026-03-17 16:00:00,21.46,60.95,100.44
2026-03-17 17:00:00,5.93,34.68,63.44
