ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-03-10 11:00:00,56.66,105.19,153.71,154,11,-48.81
2026-03-10 12:00:00,54.81,98.84,142.87,167,12,-68.16
2026-03-10 13:00:00,60.33,103.84,147.36,95,13,8.840000000000003
2026-03-10 14:00:00,56.94,93.97,131.01,109,14,-15.030000000000001
2026-03-10 15:00:00,50.63,84.95,119.27,103,15,-18.049999999999997
2026-03-10 16:00:00,30.56,53.45,76.33,68,16,-14.549999999999997
2026-03-10 17:00:00,6.78,27.25,47.72,29,17,-1.75
2026-03-10 18:00:00,3.8,17.45,31.09,20,18,-2.5500000000000007
2026-03-10 19:00:00,0.0,8.53,19.17,17,19,-8.47
2026-03-10 20:00:00,0.18,8.01,15.83,7,20,1.0099999999999998
2026-03-10 21:00:00,11.91,20.47,29.03,8,21,12.469999999999999
2026-03-10 22:00:00,0.0,2.16,12.89,10,22,-7.84
2026-03-10 23:00:00,0.0,5.15,11.12,3,23,2.1500000000000004
2026-03-11 00:00:00,0.0,0.0,0.0,1,0,-1.0
2026-03-11 05:00:00,0.0,0.0,0.0,1,5,-1.0
2026-03-11 06:00:00,0.0,0.0,3.83,11,6,-11.0
2026-03-11 07:00:00,20.19,38.14,56.09,32,7,6.140000000000001
2026-03-11 08:00:00,36.51,77.51,118.51,74,8,3.510000000000005
2026-03-11 09:00:00,54.36,97.24,140.12,112,9,-14.760000000000005
2026-03-11 10:00:00,60.58,101.03,141.48,154,10,-52.97
2026-03-11 11:00:00,62.03,100.83,139.63,106,11,-5.170000000000002
2026-03-11 12:00:00,55.59,94.89,134.19,105,12,-10.11
2026-03-11 13:00:00,60.31,100.91,141.52,100,13,0.9099999999999966
2026-03-11 14:00:00,57.9,94.36,130.83,109,14,-14.64
2026-03-11 15:00:00,49.53,83.47,117.41,88,15,-4.530000000000001
2026-03-11 16:00:00,22.48,51.21,79.95,76,16,-24.79
2026-03-11 17:00:00,0.0,23.76,51.14,41,17,-17.24
2026-03-11 18:00:00,0.0,11.48,27.26,11,18,0.4800000000000004
2026-03-11 19:00:00,0.0,10.82,24.84,11,19,-0.17999999999999972
2026-03-11 20:00:00,0.0,6.73,18.1,7,20,-0.2699999999999996
2026-03-11 21:00:00,2.5,12.72,22.94,10,21,2.7200000000000006
2026-03-11 22:00:00,0.0,7.21,20.99,9,22,-1.79
2026-03-11 23:00:00,0.0,4.54,14.58,7,23,-2.46
2026-03-12 01:00:00,0.0,0.0,0.0,1,1,-1.0
2026-03-12 03:00:00,0.0,0.0,0.0,1,3,-1.0
2026-03-12 05:00:00,0.0,0.0,0.02,1,5,-1.0
2026-03-12 06:00:00,0.0,0.0,4.94,10,6,-10.0
2026-03-12 07:00:00,17.63,35.88,54.14,36,7,-0.11999999999999744
2026-03-12 08:00:00,30.74,70.21,109.67,78,8,-7.790000000000006
2026-03-12 09:00:00,54.78,93.14,131.51,86,9,7.140000000000001
2026-03-12 10:00:00,60.76,101.38,142.0,104,10,-2.6200000000000045
2026-03-12 11:00:00,63.03,100.82,138.62,79,11,21.819999999999993
2026-03-12 12:00:00,58.43,97.09,135.75,105,12,-7.909999999999997
2026-03-12 13:00:00,63.71,104.23,144.76,134,13,-29.769999999999996
2026-03-12 14:00:00,60.26,95.88,131.5,117,14,-21.120000000000005
2026-03-12 15:00:00,53.75,86.0,118.26,125,15,-39.0
2026-03-12 16:00:00,13.06,54.44,95.81,90,16,-35.56
2026-03-12 17:00:00,0.0,25.14,55.72,61,17,-35.86
2026-03-12 18:00:00,0.0,13.31,32.76,36,18,-22.689999999999998
2026-03-12 19:00:00,0.0,9.73,24.83,25,19,-15.27
2026-03-12 20:00:00,0.0,6.16,18.42,8,20,-1.8399999999999999
2026-03-12 21:00:00,0.0,7.26,17.96,9,21,-1.7400000000000002
2026-03-12 22:00:00,0.0,6.48,18.41,2,22,4.48
2026-03-12 23:00:00,0.0,4.11,15.14,3,23,1.1100000000000003
2026-03-13 00:00:00,0.0,0.0,0.0,1,0,-1.0
2026-03-13 01:00:00,0.0,0.0,0.0,1,1,-1.0
2026-03-13 06:00:00,0.0,0.0,4.38,4,6,-4.0
2026-03-13 07:00:00,10.59,28.77,46.94,7,7,21.77
2026-03-13 08:00:00,17.98,62.04,106.1,43,8,19.04
2026-03-13 09:00:00,54.5,92.66,130.83,94,9,-1.3400000000000034
2026-03-13 10:00:00,62.09,100.96,139.82,70,10,30.959999999999994
2026-03-13 11:00:00,63.96,99.92,135.88,135,11,-35.08
2026-03-13 12:00:00,58.99,96.51,134.03,117,12,-20.489999999999995
2026-03-13 13:00:00,64.79,103.44,142.1,92,13,11.439999999999998
2026-03-13 14:00:00,59.23,95.72,132.2,108,14,-12.280000000000001
2026-03-13 15:00:00,49.69,83.98,118.27,78,15,5.980000000000004
2026-03-13 16:00:00,15.57,49.35,83.13,39,16,10.350000000000001
2026-03-13 17:00:00,0.0,19.79,48.64,31,17,-11.21
2026-03-13 18:00:00,0.0,5.97,18.67,19,18,-13.030000000000001
2026-03-13 19:00:00,0.0,7.8,20.22,17,19,-9.2
2026-03-13 20:00:00,0.0,4.8,14.73,9,20,-4.2
2026-03-13 21:00:00,0.0,6.04,16.49,10,21,-3.96
2026-03-13 22:00:00,0.0,4.0,15.16,8,22,-4.0
2026-03-14 05:00:00,0.0,0.0,0.0,1,5,-1.0
2026-03-14 07:00:00,0.0,9.89,23.95,2,7,7.890000000000001
2026-03-14 08:00:00,2.7,34.26,65.82,2,8,32.26
2026-03-14 10:00:00,0.0,55.18,112.16,7,10,48.18
2026-03-14 11:00:00,0.05,68.38,136.71,7,11,61.379999999999995
2026-03-14 12:00:00,10.96,66.43,121.9,2,12,64.43
2026-03-14 13:00:00,12.41,69.47,126.54,11,13,58.47
2026-03-14 14:00:00,23.65,67.92,112.19,8,14,59.92
2026-03-14 15:00:00,18.26,52.65,87.04,10,15,42.65
2026-03-14 16:00:00,0.0,21.69,59.7,3,16,18.69
2026-03-14 17:00:00,0.0,6.58,22.92,3,17,3.58
2026-03-14 18:00:00,0.0,4.43,13.99,5,18,-0.5700000000000003
2026-03-14 19:00:00,0.0,3.46,11.75,2,19,1.46
2026-03-14 20:00:00,0.0,1.43,9.49,3,20,-1.57
2026-03-14 21:00:00,0.0,3.4,12.84,7,21,-3.6
2026-03-14 22:00:00,0.0,2.84,12.02,4,22,-1.1600000000000001
2026-03-14 23:00:00,0.0,1.86,11.29,1,23,0.8600000000000001
2026-03-15 02:00:00,0.0,0.0,0.0,1,2,-1.0
2026-03-15 08:00:00,0.0,22.04,48.92,1,8,21.04
2026-03-15 09:00:00,0.0,33.22,75.73,1,9,32.22
2026-03-15 11:00:00,0.0,37.18,76.46,8,11,29.18
2026-03-15 12:00:00,0.0,32.94,73.66,2,12,30.939999999999998
2026-03-15 13:00:00,0.0,32.23,73.79,1,13,31.229999999999997
2026-03-15 14:00:00,0.0,30.55,72.79,4,14,26.55
2026-03-15 15:00:00,0.0,19.81,57.76,5,15,14.809999999999999
2026-03-15 16:00:00,0.0,8.88,37.56,11,16,-2.119999999999999
2026-03-15 17:00:00,0.0,10.96,25.27,8,17,2.960000000000001
2026-03-15 18:00:00,0.0,5.62,18.33,8,18,-2.38
2026-03-15 19:00:00,0.0,3.39,14.15,12,19,-8.61
2026-03-15 20:00:00,0.0,3.82,13.13,13,20,-9.18
2026-03-15 21:00:00,0.0,4.16,15.4,16,21,-11.84
2026-03-15 22:00:00,0.0,6.51,17.66,5,22,1.5099999999999998
2026-03-15 23:00:00,0.0,0.74,10.47,1,23,-0.26
2026-03-16 00:00:00,0.0,0.0,0.0,3,0,-3.0
2026-03-16 01:00:00,0.0,0.0,0.0,3,1,-3.0
