ds,y_p10,y_pred,y_p90
2026-03-10 00:00:00,0.92,3.16,5.4
2026-03-10 01:00:00,0.84,3.09,5.34
2026-03-10 02:00:00,0.3,2.48,4.67
2026-03-10 03:00:00,1.2,3.01,4.83
2026-03-10 04:00:00,0.41,2.66,4.91
2026-03-10 05:00:00,1.0,4.08,7.15
2026-03-10 06:00:00,3.15,7.31,11.47
2026-03-10 07:00:00,18.94,34.46,49.99
2026-03-10 08:00:00,38.55,80.67,122.79
2026-03-10 09:00:00,63.13,101.81,140.48
2026-03-10 10:00:00,64.64,108.85,153.06
2026-03-10 11:00:00,67.74,112.87,158.0
2026-03-10 12:00:00,62.8,102.76,142.72
2026-03-10 13:00:00,67.01,109.93,152.85
2026-03-10 14:00:00,62.53,98.31,134.1
2026-03-10 15:00:00,55.78,90.1,124.42
2026-03-10 16:00:00,44.73,68.66,92.59
2026-03-10 17:00:00,25.38,47.8,70.22
2026-03-10 18:00:00,17.47,32.75,48.03
2026-03-10 19:00:00,9.24,22.44,35.63
2026-03-10 20:00:00,8.7,20.32,31.95
2026-03-10 21:00:00,9.16,18.4,27.65
2026-03-10 22:00:00,6.7,14.81,22.92
2026-03-10 23:00:00,2.11,9.76,17.4
2026-03-11 00:00:00,0.0,3.58,8.03
2026-03-11 01:00:00,0.5,3.19,5.88
2026-03-11 02:00:00,0.23,2.62,5.01
2026-03-11 03:00:00,0.0,1.57,3.53
2026-03-11 04:00:00,0.03,2.53,5.02
2026-03-11 05:00:00,0.11,3.53,6.95
2026-03-11 06:00:00,0.92,5.67,10.42
2026-03-11 07:00:00,11.04,29.02,47.01
2026-03-11 08:00:00,38.65,81.22,123.78
2026-03-11 09:00:00,61.69,100.0,138.31
2026-03-11 10:00:00,66.1,103.03,139.95
2026-03-11 11:00:00,66.94,105.91,144.89
2026-03-11 12:00:00,62.28,98.29,134.3
2026-03-11 13:00:00,69.76,106.64,143.51
2026-03-11 14:00:00,61.98,97.28,132.57
2026-03-11 15:00:00,56.86,89.08,121.31
2026-03-11 16:00:00,35.42,66.43,97.45
2026-03-11 17:00:00,15.68,44.98,74.28
2026-03-11 18:00:00,8.46,29.57,50.68
2026-03-11 19:00:00,1.22,19.4,37.57
2026-03-11 20:00:00,6.03,18.09,30.14
2026-03-11 21:00:00,6.8,18.24,29.69
2026-03-11 22:00:00,4.25,15.12,25.98
2026-03-11 23:00:00,1.2,11.02,20.85
2026-03-12 00:00:00,0.0,4.63,11.8
2026-03-12 01:00:00,0.0,2.92,6.61
2026-03-12 02:00:00,0.0,2.66,5.91
2026-03-12 03:00:00,0.0,1.8,4.46
2026-03-12 04:00:00,0.0,2.41,5.79
2026-03-12 05:00:00,0.0,3.37,7.79
2026-03-12 06:00:00,0.0,5.29,11.32
2026-03-12 07:00:00,6.66,26.03,45.4
2026-03-12 08:00:00,40.76,79.15,117.54
2026-03-12 09:00:00,59.76,96.57,133.38
2026-03-12 10:00:00,65.75,102.25,138.75
2026-03-12 11:00:00,67.21,106.1,144.99
2026-03-12 12:00:00,62.88,99.23,135.58
2026-03-12 13:00:00,70.52,108.21,145.9
2026-03-12 14:00:00,63.29,98.06,132.83
2026-03-12 15:00:00,56.33,88.76,121.2
2026-03-12 16:00:00,25.99,58.94,91.9
2026-03-12 17:00:00,9.33,40.77,72.2
2026-03-12 18:00:00,5.13,26.73,48.33
2026-03-12 19:00:00,1.19,21.39,41.59
2026-03-12 20:00:00,3.5,17.29,31.07
2026-03-12 21:00:00,5.89,18.47,31.05
2026-03-12 22:00:00,4.77,16.33,27.89
2026-03-12 23:00:00,2.97,12.98,22.98
2026-03-13 00:00:00,0.0,6.03,13.51
2026-03-13 01:00:00,0.0,2.87,7.39
2026-03-13 02:00:00,0.0,2.75,6.13
2026-03-13 03:00:00,0.0,2.65,5.36
2026-03-13 04:00:00,0.0,2.02,5.43
2026-03-13 05:00:00,0.0,3.74,8.14
2026-03-13 06:00:00,0.0,4.86,10.89
2026-03-13 07:00:00,3.07,20.87,38.66
2026-03-13 08:00:00,29.44,61.59,93.74
2026-03-13 09:00:00,53.36,94.39,135.42
2026-03-13 10:00:00,62.68,100.4,138.11
2026-03-13 11:00:00,67.8,104.51,141.22
2026-03-13 12:00:00,63.49,99.22,134.95
2026-03-13 13:00:00,68.72,106.84,144.96
2026-03-13 14:00:00,62.64,96.8,130.95
2026-03-13 15:00:00,53.46,85.34,117.21
2026-03-13 16:00:00,25.11,55.45,85.79
2026-03-13 17:00:00,3.03,34.55,66.07
2026-03-13 18:00:00,1.52,22.33,43.14
2026-03-13 19:00:00,3.54,21.44,39.35
2026-03-13 20:00:00,2.24,16.55,30.85
2026-03-13 21:00:00,4.8,17.26,29.73
2026-03-13 22:00:00,1.83,13.31,24.79
2026-03-13 23:00:00,0.0,9.78,20.18
2026-03-14 00:00:00,0.0,3.06,9.75
2026-03-14 01:00:00,0.0,3.12,6.97
2026-03-14 02:00:00,0.0,2.16,5.51
2026-03-14 03:00:00,0.0,2.02,4.71
2026-03-14 04:00:00,0.0,2.51,5.89
2026-03-14 05:00:00,0.0,3.5,7.67
2026-03-14 06:00:00,0.0,2.85,8.04
2026-03-14 07:00:00,0.0,10.57,23.25
2026-03-14 08:00:00,0.0,30.88,63.2
2026-03-14 09:00:00,8.78,62.0,115.21
2026-03-14 10:00:00,11.03,74.64,138.26
2026-03-14 11:00:00,17.48,76.85,136.22
2026-03-14 12:00:00,8.51,70.32,132.13
2026-03-14 13:00:00,13.65,77.47,141.3
2026-03-14 14:00:00,16.52,69.8,123.08
2026-03-14 15:00:00,18.1,54.8,91.5
2026-03-14 16:00:00,0.0,34.37,72.23
2026-03-14 17:00:00,0.0,19.72,42.19
2026-03-14 18:00:00,2.44,16.88,31.33
2026-03-14 19:00:00,2.02,14.34,26.66
2026-03-14 20:00:00,1.1,10.33,19.57
2026-03-14 21:00:00,1.77,11.25,20.72
2026-03-14 22:00:00,0.51,10.31,20.12
2026-03-14 23:00:00,0.0,7.2,15.14
2026-03-15 00:00:00,0.0,2.13,6.46
2026-03-15 01:00:00,0.0,2.28,5.77
2026-03-15 02:00:00,0.0,2.33,5.69
2026-03-15 03:00:00,0.0,1.46,4.18
2026-03-15 04:00:00,0.0,2.02,5.42
2026-03-15 05:00:00,0.0,2.21,6.74
2026-03-15 06:00:00,0.0,3.27,9.31
