ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-03-10 11:00:00,67.74,112.87,158.0,154,11,-41.129999999999995
2026-03-10 12:00:00,62.8,102.76,142.72,167,12,-64.24
2026-03-10 13:00:00,67.01,109.93,152.85,95,13,14.930000000000007
2026-03-10 14:00:00,62.53,98.31,134.1,109,14,-10.689999999999998
2026-03-10 15:00:00,55.78,90.1,124.42,103,15,-12.900000000000006
2026-03-10 16:00:00,44.73,68.66,92.59,68,16,0.6599999999999966
2026-03-10 17:00:00,25.38,47.8,70.22,29,17,18.799999999999997
2026-03-10 18:00:00,17.47,32.75,48.03,20,18,12.75
2026-03-10 19:00:00,9.24,22.44,35.63,17,19,5.440000000000001
2026-03-10 20:00:00,8.7,20.32,31.95,7,20,13.32
2026-03-10 21:00:00,9.16,18.4,27.65,8,21,10.399999999999999
2026-03-10 22:00:00,6.7,14.81,22.92,10,22,4.8100000000000005
2026-03-10 23:00:00,2.11,9.76,17.4,3,23,6.76
2026-03-11 00:00:00,0.0,3.58,8.03,1,0,2.58
2026-03-11 05:00:00,0.11,3.53,6.95,1,5,2.53
2026-03-11 06:00:00,0.92,5.67,10.42,11,6,-5.33
2026-03-11 07:00:00,11.04,29.02,47.01,32,7,-2.9800000000000004
2026-03-11 08:00:00,38.65,81.22,123.78,74,8,7.219999999999999
2026-03-11 09:00:00,61.69,100.0,138.31,112,9,-12.0
2026-03-11 10:00:00,66.1,103.03,139.95,154,10,-50.97
2026-03-11 11:00:00,66.94,105.91,144.89,106,11,-0.09000000000000341
2026-03-11 12:00:00,62.28,98.29,134.3,105,12,-6.709999999999994
2026-03-11 13:00:00,69.76,106.64,143.51,100,13,6.640000000000001
2026-03-11 14:00:00,61.98,97.28,132.57,109,14,-11.719999999999999
2026-03-11 15:00:00,56.86,89.08,121.31,88,15,1.0799999999999983
2026-03-11 16:00:00,35.42,66.43,97.45,76,16,-9.569999999999993
2026-03-11 17:00:00,15.68,44.98,74.28,41,17,3.979999999999997
2026-03-11 18:00:00,8.46,29.57,50.68,11,18,18.57
2026-03-11 19:00:00,1.22,19.4,37.57,11,19,8.399999999999999
2026-03-11 20:00:00,6.03,18.09,30.14,7,20,11.09
2026-03-11 21:00:00,6.8,18.24,29.69,10,21,8.239999999999998
2026-03-11 22:00:00,4.25,15.12,25.98,9,22,6.119999999999999
2026-03-11 23:00:00,1.2,11.02,20.85,7,23,4.02
2026-03-12 01:00:00,0.0,2.92,6.61,1,1,1.92
2026-03-12 03:00:00,0.0,1.8,4.46,1,3,0.8
2026-03-12 05:00:00,0.0,3.37,7.79,1,5,2.37
2026-03-12 06:00:00,0.0,5.29,11.32,10,6,-4.71
2026-03-12 07:00:00,6.66,26.03,45.4,36,7,-9.969999999999999
2026-03-12 08:00:00,40.76,79.15,117.54,78,8,1.1500000000000057
2026-03-12 09:00:00,59.76,96.57,133.38,86,9,10.569999999999993
2026-03-12 10:00:00,65.75,102.25,138.75,104,10,-1.75
2026-03-12 11:00:00,67.21,106.1,144.99,79,11,27.099999999999994
2026-03-12 12:00:00,62.88,99.23,135.58,105,12,-5.769999999999996
2026-03-12 13:00:00,70.52,108.21,145.9,134,13,-25.790000000000006
2026-03-12 14:00:00,63.29,98.06,132.83,117,14,-18.939999999999998
2026-03-12 15:00:00,56.33,88.76,121.2,125,15,-36.239999999999995
2026-03-12 16:00:00,25.99,58.94,91.9,90,16,-31.060000000000002
2026-03-12 17:00:00,9.33,40.77,72.2,61,17,-20.229999999999997
2026-03-12 18:00:00,5.13,26.73,48.33,36,18,-9.27
2026-03-12 19:00:00,1.19,21.39,41.59,25,19,-3.6099999999999994
2026-03-12 20:00:00,3.5,17.29,31.07,8,20,9.29
2026-03-12 21:00:00,5.89,18.47,31.05,9,21,9.469999999999999
2026-03-12 22:00:00,4.77,16.33,27.89,2,22,14.329999999999998
2026-03-12 23:00:00,2.97,12.98,22.98,3,23,9.98
2026-03-13 00:00:00,0.0,6.03,13.51,1,0,5.03
2026-03-13 01:00:00,0.0,2.87,7.39,1,1,1.87
2026-03-13 06:00:00,0.0,4.86,10.89,4,6,0.8600000000000003
2026-03-13 07:00:00,3.07,20.87,38.66,7,7,13.870000000000001
2026-03-13 08:00:00,29.44,61.59,93.74,43,8,18.590000000000003
2026-03-13 09:00:00,53.36,94.39,135.42,94,9,0.39000000000000057
2026-03-13 10:00:00,62.68,100.4,138.11,70,10,30.400000000000006
2026-03-13 11:00:00,67.8,104.51,141.22,135,11,-30.489999999999995
2026-03-13 12:00:00,63.49,99.22,134.95,117,12,-17.78
2026-03-13 13:00:00,68.72,106.84,144.96,92,13,14.840000000000003
2026-03-13 14:00:00,62.64,96.8,130.95,108,14,-11.200000000000003
2026-03-13 15:00:00,53.46,85.34,117.21,78,15,7.340000000000003
2026-03-13 16:00:00,25.11,55.45,85.79,39,16,16.450000000000003
2026-03-13 17:00:00,3.03,34.55,66.07,31,17,3.549999999999997
2026-03-13 18:00:00,1.52,22.33,43.14,19,18,3.3299999999999983
2026-03-13 19:00:00,3.54,21.44,39.35,17,19,4.440000000000001
2026-03-13 20:00:00,2.24,16.55,30.85,9,20,7.550000000000001
2026-03-13 21:00:00,4.8,17.26,29.73,10,21,7.260000000000002
2026-03-13 22:00:00,1.83,13.31,24.79,8,22,5.3100000000000005
2026-03-14 05:00:00,0.0,3.5,7.67,1,5,2.5
2026-03-14 07:00:00,0.0,10.57,23.25,2,7,8.57
2026-03-14 08:00:00,0.0,30.88,63.2,2,8,28.88
2026-03-14 10:00:00,11.03,74.64,138.26,7,10,67.64
2026-03-14 11:00:00,17.48,76.85,136.22,7,11,69.85
2026-03-14 12:00:00,8.51,70.32,132.13,2,12,68.32
2026-03-14 13:00:00,13.65,77.47,141.3,11,13,66.47
2026-03-14 14:00:00,16.52,69.8,123.08,8,14,61.8
2026-03-14 15:00:00,18.1,54.8,91.5,10,15,44.8
2026-03-14 16:00:00,0.0,34.37,72.23,3,16,31.369999999999997
2026-03-14 17:00:00,0.0,19.72,42.19,3,17,16.72
2026-03-14 18:00:00,2.44,16.88,31.33,5,18,11.879999999999999
2026-03-14 19:00:00,2.02,14.34,26.66,2,19,12.34
2026-03-14 20:00:00,1.1,10.33,19.57,3,20,7.33
2026-03-14 21:00:00,1.77,11.25,20.72,7,21,4.25
2026-03-14 22:00:00,0.51,10.31,20.12,4,22,6.3100000000000005
2026-03-14 23:00:00,0.0,7.2,15.14,1,23,6.2
2026-03-15 02:00:00,0.0,2.33,5.69,1,2,1.33
2026-03-15 08:00:00,0.0,35.88,74.96,1,8,34.88
2026-03-15 09:00:00,10.76,56.07,101.39,1,9,55.07
2026-03-15 11:00:00,7.6,73.32,139.03,8,11,65.32
2026-03-15 12:00:00,1.11,64.0,126.89,2,12,62.0
2026-03-15 13:00:00,2.76,71.67,140.59,1,13,70.67
2026-03-15 14:00:00,7.48,67.75,128.02,4,14,63.75
2026-03-15 15:00:00,9.35,49.11,88.86,5,15,44.11
2026-03-15 16:00:00,0.0,31.47,73.04,11,16,20.47
2026-03-15 17:00:00,0.0,22.68,47.43,8,17,14.68
2026-03-15 18:00:00,0.12,19.18,38.24,8,18,11.18
2026-03-15 19:00:00,1.4,15.33,29.25,12,19,3.33
2026-03-15 20:00:00,0.22,13.46,26.69,13,20,0.46000000000000085
2026-03-15 21:00:00,2.93,14.0,25.07,16,21,-2.0
2026-03-15 22:00:00,4.58,15.1,25.62,5,22,10.1
2026-03-15 23:00:00,0.0,9.19,19.16,1,23,8.19
2026-03-16 00:00:00,0.0,2.81,9.44,3,0,-0.18999999999999995
2026-03-16 01:00:00,0.0,2.59,6.47,3,1,-0.41000000000000014
