ds,y_p10,y_pred,y_p90
2026-01-10 00:00:00,0.0,1.39,13.09
2026-01-10 01:00:00,0.0,1.88,13.89
2026-01-10 02:00:00,0.0,1.38,12.95
2026-01-10 03:00:00,0.0,3.03,15.18
2026-01-10 04:00:00,0.0,1.99,13.69
2026-01-10 05:00:00,0.0,1.95,13.4
2026-01-10 06:00:00,0.0,3.1,14.66
2026-01-10 07:00:00,0.0,5.7,24.13
2026-01-10 08:00:00,13.13,28.5,43.87
2026-01-10 09:00:00,29.25,57.94,86.64
2026-01-10 10:00:00,51.72,93.77,135.83
2026-01-10 11:00:00,31.1,96.64,162.19
2026-01-10 12:00:00,34.98,92.68,150.37
2026-01-10 13:00:00,38.61,97.25,155.9
2026-01-10 14:00:00,34.33,91.1,147.86
2026-01-10 15:00:00,23.96,66.23,108.49
2026-01-10 16:00:00,4.22,43.13,82.03
2026-01-10 17:00:00,0.0,22.18,49.43
2026-01-10 18:00:00,5.85,17.66,29.46
2026-01-10 19:00:00,0.0,13.55,27.28
2026-01-10 20:00:00,0.0,7.11,19.55
2026-01-10 21:00:00,0.0,4.88,15.82
2026-01-10 22:00:00,0.0,3.4,14.37
2026-01-10 23:00:00,0.0,1.31,12.03
2026-01-11 00:00:00,0.0,2.43,13.65
2026-01-11 01:00:00,0.0,2.88,14.65
2026-01-11 02:00:00,0.0,1.85,13.36
2026-01-11 03:00:00,0.0,2.62,14.87
2026-01-11 04:00:00,0.0,2.16,14.13
2026-01-11 05:00:00,0.0,1.35,13.25
2026-01-11 06:00:00,0.0,1.62,13.84
2026-01-11 07:00:00,0.0,2.47,20.94
2026-01-11 08:00:00,0.0,1.84,31.27
2026-01-11 09:00:00,0.0,2.38,32.24
2026-01-11 10:00:00,0.0,1.87,31.72
2026-01-11 11:00:00,0.0,4.47,35.72
2026-01-11 12:00:00,0.0,4.3,35.98
2026-01-11 13:00:00,0.0,0.83,30.94
2026-01-11 14:00:00,0.0,1.43,32.25
2026-01-11 15:00:00,0.0,0.0,29.06
2026-01-11 16:00:00,0.0,0.13,30.86
2026-01-11 17:00:00,0.0,3.39,23.96
2026-01-11 18:00:00,0.0,2.89,16.84
