ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.0,0.36,7.12
2026-02-10 01:00:00,0.0,0.0,2.65
2026-02-10 02:00:00,0.0,0.0,0.0
2026-02-10 03:00:00,0.0,0.0,0.28
2026-02-10 04:00:00,0.0,0.0,0.0
2026-02-10 05:00:00,0.0,0.0,0.0
2026-02-10 06:00:00,0.0,0.54,4.61
2026-02-10 07:00:00,32.16,48.73,65.3
2026-02-10 08:00:00,25.91,78.07,130.23
2026-02-10 09:00:00,46.84,90.76,134.68
2026-02-10 10:00:00,48.64,97.14,145.64
2026-02-10 11:00:00,48.24,97.68,147.13
2026-02-10 12:00:00,44.17,93.32,142.47
2026-02-10 13:00:00,48.33,98.91,149.5
2026-02-10 14:00:00,48.77,91.45,134.12
2026-02-10 15:00:00,42.81,78.68,114.55
2026-02-10 16:00:00,25.7,47.63,69.56
2026-02-10 17:00:00,5.21,23.81,42.41
2026-02-10 18:00:00,2.61,14.03,25.45
2026-02-10 19:00:00,5.17,15.31,25.44
2026-02-10 20:00:00,0.0,6.66,15.15
2026-02-10 21:00:00,1.04,7.54,14.03
2026-02-10 22:00:00,4.32,10.38,16.45
2026-02-10 23:00:00,0.0,3.93,11.59
2026-02-11 00:00:00,0.0,0.0,0.0
2026-02-11 01:00:00,0.0,0.0,0.0
2026-02-11 02:00:00,0.0,0.0,0.0
2026-02-11 03:00:00,0.0,0.0,0.0
2026-02-11 04:00:00,0.0,0.0,0.0
2026-02-11 05:00:00,0.0,0.0,0.0
2026-02-11 06:00:00,0.0,0.0,2.96
2026-02-11 07:00:00,22.62,38.77,54.91
2026-02-11 08:00:00,18.5,67.91,84.95
2026-02-11 09:00:00,48.12,90.17,132.22
2026-02-11 10:00:00,52.78,98.69,144.6
2026-02-11 11:00:00,52.59,96.65,140.7
2026-02-11 12:00:00,49.76,93.25,136.74
2026-02-11 13:00:00,55.55,97.08,138.61
2026-02-11 14:00:00,49.64,89.21,128.79
2026-02-11 15:00:00,41.63,78.63,99.65
2026-02-11 16:00:00,15.79,45.74,75.7
2026-02-11 17:00:00,2.04,24.22,46.4
