ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,44.17,93.32,142.47,130,12,-36.68000000000001
2026-02-10 13:00:00,48.33,98.91,149.5,164,13,-65.09
2026-02-10 14:00:00,48.77,91.45,134.12,161,14,-69.55
2026-02-10 15:00:00,42.81,78.68,114.55,136,15,-57.31999999999999
2026-02-10 16:00:00,25.7,47.63,69.56,54,16,-6.369999999999997
2026-02-10 17:00:00,5.21,23.81,42.41,31,17,-7.190000000000001
2026-02-10 18:00:00,2.61,14.03,25.45,33,18,-18.97
2026-02-10 19:00:00,5.17,15.31,25.44,25,19,-9.69
2026-02-10 20:00:00,0.0,6.66,15.15,6,20,0.6600000000000001
2026-02-10 21:00:00,1.04,7.54,14.03,7,21,0.54
2026-02-10 22:00:00,4.32,10.38,16.45,5,22,5.380000000000001
2026-02-10 23:00:00,0.0,3.93,11.59,8,23,-4.07
2026-02-11 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-11 05:00:00,0.0,0.0,0.0,1,5,-1.0
2026-02-11 06:00:00,0.0,0.0,2.96,6,6,-6.0
2026-02-11 07:00:00,22.62,38.77,54.91,71,7,-32.23
2026-02-11 08:00:00,18.5,67.91,84.95,103,8,-35.09
2026-02-11 09:00:00,48.12,90.17,132.22,97,9,-6.829999999999998
2026-02-11 10:00:00,52.78,98.69,144.6,112,10,-13.310000000000002
2026-02-11 11:00:00,52.59,96.65,140.7,105,11,-8.349999999999994
2026-02-11 12:00:00,49.76,93.25,136.74,115,12,-21.75
2026-02-11 13:00:00,55.55,97.08,138.61,148,13,-50.92
2026-02-11 14:00:00,49.64,89.21,128.79,147,14,-57.790000000000006
2026-02-11 15:00:00,41.63,78.63,99.65,99,15,-20.370000000000005
2026-02-11 16:00:00,15.79,45.74,75.7,62,16,-16.259999999999998
2026-02-11 17:00:00,2.04,24.22,46.4,47,17,-22.78
2026-02-11 18:00:00,0.0,11.81,27.13,32,18,-20.189999999999998
2026-02-11 19:00:00,0.1,14.4,28.7,11,19,3.4000000000000004
2026-02-11 20:00:00,0.0,5.92,17.57,11,20,-5.08
2026-02-11 21:00:00,0.0,5.75,14.11,7,21,-1.25
2026-02-11 22:00:00,0.0,5.19,13.07,5,22,0.1900000000000004
2026-02-11 23:00:00,0.0,3.35,12.25,5,23,-1.65
2026-02-12 02:00:00,0.0,0.0,0.0,6,2,-6.0
2026-02-12 03:00:00,0.0,0.0,0.0,1,3,-1.0
2026-02-12 04:00:00,0.0,0.0,0.0,5,4,-5.0
2026-02-12 06:00:00,0.0,0.0,2.99,5,6,-5.0
2026-02-12 07:00:00,18.8,38.31,57.81,30,7,8.310000000000002
2026-02-12 08:00:00,20.66,63.93,107.2,58,8,5.93
2026-02-12 09:00:00,39.5,83.48,102.35,92,9,-8.519999999999996
2026-02-12 10:00:00,54.01,92.83,131.64,89,10,3.8299999999999983
2026-02-12 11:00:00,52.17,93.88,135.6,91,11,2.8799999999999955
2026-02-12 12:00:00,50.4,91.87,133.34,119,12,-27.129999999999995
2026-02-12 13:00:00,54.41,96.85,139.28,109,13,-12.150000000000006
2026-02-12 14:00:00,52.13,91.45,130.77,111,14,-19.549999999999997
2026-02-12 15:00:00,42.43,78.96,101.0,91,15,-12.040000000000006
2026-02-12 16:00:00,19.97,49.34,78.72,55,16,-5.659999999999997
2026-02-12 17:00:00,0.0,24.49,51.07,24,17,0.48999999999999844
2026-02-12 18:00:00,0.0,9.54,25.32,19,18,-9.46
2026-02-12 19:00:00,0.0,12.69,26.55,10,19,2.6899999999999995
2026-02-12 20:00:00,0.0,5.1,16.64,16,20,-10.9
2026-02-12 21:00:00,0.0,5.17,14.06,6,21,-0.8300000000000001
2026-02-12 22:00:00,0.0,3.85,12.16,12,22,-8.15
2026-02-12 23:00:00,0.0,2.46,11.61,5,23,-2.54
2026-02-13 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-13 05:00:00,0.0,0.0,0.0,2,5,-2.0
2026-02-13 06:00:00,0.0,0.0,3.01,3,6,-3.0
2026-02-13 07:00:00,10.37,27.04,43.71,14,7,13.04
2026-02-13 08:00:00,23.36,63.43,103.5,72,8,-8.57
2026-02-13 09:00:00,39.36,87.99,103.08,58,9,29.989999999999995
2026-02-13 10:00:00,54.07,95.54,137.01,71,10,24.540000000000006
2026-02-13 11:00:00,55.96,96.12,136.29,98,11,-1.8799999999999955
2026-02-13 12:00:00,52.78,93.66,134.54,128,12,-34.34
2026-02-13 13:00:00,55.0,97.43,139.86,129,13,-31.569999999999993
2026-02-13 14:00:00,52.18,91.09,129.99,55,14,36.09
2026-02-13 15:00:00,42.8,78.11,113.41,47,15,31.11
2026-02-13 16:00:00,19.35,48.61,77.87,28,16,20.61
2026-02-13 17:00:00,0.0,23.66,48.73,13,17,10.66
2026-02-13 18:00:00,0.0,8.77,22.97,6,18,2.7699999999999996
2026-02-13 19:00:00,0.0,10.19,22.86,6,19,4.1899999999999995
2026-02-13 20:00:00,0.0,4.48,15.43,8,20,-3.5199999999999996
2026-02-13 21:00:00,0.0,4.08,11.52,1,21,3.08
2026-02-13 22:00:00,0.0,3.39,11.41,3,22,0.3900000000000001
2026-02-13 23:00:00,0.0,2.84,11.18,6,23,-3.16
2026-02-14 00:00:00,0.0,0.0,0.0,3,0,-3.0
2026-02-14 08:00:00,2.13,31.89,61.65,2,8,29.89
2026-02-14 11:00:00,4.54,48.91,93.27,6,11,42.91
2026-02-14 12:00:00,1.81,47.61,93.42,4,12,43.61
2026-02-14 13:00:00,0.21,44.94,89.67,10,13,34.94
2026-02-14 14:00:00,1.02,39.31,77.59,3,14,36.31
2026-02-14 15:00:00,0.0,19.65,50.73,1,15,18.65
2026-02-14 16:00:00,0.0,22.68,49.5,12,16,10.68
2026-02-14 17:00:00,0.0,4.27,21.27,2,17,2.2699999999999996
2026-02-14 18:00:00,0.0,3.64,11.46,3,18,0.6400000000000001
2026-02-14 19:00:00,0.0,2.4,10.23,7,19,-4.6
2026-02-14 20:00:00,0.0,1.84,8.34,1,20,0.8400000000000001
2026-02-14 21:00:00,0.0,1.14,7.89,3,21,-1.86
2026-02-14 23:00:00,0.0,0.91,9.06,1,23,-0.08999999999999997
2026-02-15 00:00:00,0.0,0.0,0.0,1,0,-1.0
2026-02-15 05:00:00,0.0,0.0,0.0,2,5,-2.0
2026-02-15 06:00:00,0.0,0.0,0.0,2,6,-2.0
2026-02-15 07:00:00,0.0,6.63,21.24,3,7,3.63
2026-02-15 08:00:00,0.0,21.34,46.37,1,8,20.34
2026-02-15 10:00:00,0.0,24.96,58.57,3,10,21.96
2026-02-15 12:00:00,0.0,23.56,55.52,3,12,20.56
2026-02-15 13:00:00,0.0,22.37,54.54,4,13,18.37
2026-02-15 14:00:00,0.0,21.69,55.25,4,14,17.69
2026-02-15 15:00:00,0.0,12.79,42.1,10,15,2.789999999999999
2026-02-15 16:00:00,0.0,14.03,38.45,4,16,10.03
2026-02-15 18:00:00,0.0,1.84,14.83,2,18,-0.15999999999999992
2026-02-15 19:00:00,0.0,4.71,13.76,2,19,2.71
2026-02-15 20:00:00,0.0,2.55,10.43,7,20,-4.45
2026-02-15 21:00:00,0.0,2.97,10.58,3,21,-0.029999999999999805
2026-02-15 22:00:00,0.0,1.41,9.94,2,22,-0.5900000000000001
2026-02-15 23:00:00,0.0,0.34,8.97,2,23,-1.66
2026-02-16 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-16 06:00:00,0.0,0.0,1.42,4,6,-4.0
2026-02-16 07:00:00,3.68,20.99,38.29,14,7,6.989999999999998
2026-02-16 08:00:00,21.95,58.06,94.17,21,8,37.06
2026-02-16 09:00:00,33.28,79.93,102.23,86,9,-6.069999999999993
2026-02-16 10:00:00,56.15,93.54,130.93,59,10,34.540000000000006
2026-02-16 11:00:00,53.33,94.85,136.37,47,11,47.849999999999994
2026-02-16 12:00:00,49.35,91.64,133.92,47,12,44.64
2026-02-16 13:00:00,54.63,98.08,141.53,61,13,37.08
2026-02-16 14:00:00,50.8,89.62,128.43,43,14,46.620000000000005
2026-02-16 15:00:00,42.17,76.01,100.8,40,15,36.010000000000005
2026-02-16 16:00:00,24.57,54.27,83.97,17,16,37.27
2026-02-16 17:00:00,0.0,22.76,49.18,7,17,15.760000000000002
2026-02-16 18:00:00,0.0,9.35,23.43,16,18,-6.65
2026-02-16 19:00:00,0.0,12.18,24.66,10,19,2.1799999999999997
2026-02-16 20:00:00,0.0,4.37,15.7,9,20,-4.63
2026-02-16 21:00:00,0.0,1.82,9.92,12,21,-10.18
2026-02-16 22:00:00,0.0,6.47,13.55,17,22,-10.530000000000001
