ds,y_p10,y_pred,y_p90
2026-02-10 00:00:00,0.0,2.86,9.62
2026-02-10 01:00:00,0.0,1.09,5.2
2026-02-10 02:00:00,0.0,0.0,0.0
2026-02-10 03:00:00,0.0,0.0,2.79
2026-02-10 04:00:00,0.0,0.0,0.76
2026-02-10 05:00:00,0.0,0.0,1.98
2026-02-10 06:00:00,0.0,3.04,7.11
2026-02-10 07:00:00,35.29,51.95,68.6
2026-02-10 08:00:00,34.53,90.48,146.43
2026-02-10 09:00:00,53.4,102.12,150.83
2026-02-10 10:00:00,58.39,107.43,156.46
2026-02-10 11:00:00,59.8,108.64,157.48
2026-02-10 12:00:00,56.44,104.47,152.51
2026-02-10 13:00:00,59.76,109.31,158.87
2026-02-10 14:00:00,60.63,101.58,142.53
2026-02-10 15:00:00,55.13,89.67,124.21
2026-02-10 16:00:00,24.7,54.91,85.12
2026-02-10 17:00:00,12.35,32.34,52.33
2026-02-10 18:00:00,4.23,17.87,31.51
2026-02-10 19:00:00,3.87,15.53,27.19
2026-02-10 20:00:00,1.63,10.78,19.93
2026-02-10 21:00:00,2.18,10.8,19.41
2026-02-10 22:00:00,4.51,12.78,21.04
2026-02-10 23:00:00,0.0,6.57,15.37
2026-02-11 00:00:00,0.0,0.0,0.89
2026-02-11 01:00:00,0.0,0.0,0.18
2026-02-11 02:00:00,0.0,0.0,0.0
2026-02-11 03:00:00,0.0,0.0,1.62
2026-02-11 04:00:00,0.0,0.0,0.01
2026-02-11 05:00:00,0.0,0.0,1.51
2026-02-11 06:00:00,0.0,1.42,5.64
2026-02-11 07:00:00,24.86,41.4,57.95
2026-02-11 08:00:00,28.51,72.07,115.64
2026-02-11 09:00:00,57.62,100.49,143.37
2026-02-11 10:00:00,64.8,108.94,153.08
2026-02-11 11:00:00,63.89,105.66,147.42
2026-02-11 12:00:00,60.82,103.78,146.73
2026-02-11 13:00:00,67.0,106.66,146.31
2026-02-11 14:00:00,62.45,99.74,137.02
2026-02-11 15:00:00,57.74,90.92,124.11
2026-02-11 16:00:00,15.66,54.27,92.88
2026-02-11 17:00:00,7.46,34.01,60.55
2026-02-11 18:00:00,0.0,17.64,35.65
2026-02-11 19:00:00,0.0,14.03,29.65
2026-02-11 20:00:00,0.0,9.66,22.07
2026-02-11 21:00:00,0.0,9.19,20.46
2026-02-11 22:00:00,0.0,8.0,18.86
2026-02-11 23:00:00,0.0,6.43,16.83
2026-02-12 00:00:00,0.0,0.0,1.45
2026-02-12 01:00:00,0.0,0.0,0.77
2026-02-12 02:00:00,0.0,0.0,0.0
2026-02-12 03:00:00,0.0,0.0,1.68
2026-02-12 04:00:00,0.0,0.0,0.33
2026-02-12 05:00:00,0.0,0.0,2.06
2026-02-12 06:00:00,0.0,1.31,6.77
2026-02-12 07:00:00,19.93,41.69,63.45
2026-02-12 08:00:00,16.98,69.15,121.32
2026-02-12 09:00:00,59.17,95.31,131.45
2026-02-12 10:00:00,63.44,103.44,143.43
2026-02-12 11:00:00,66.62,103.49,140.35
2026-02-12 12:00:00,61.42,100.99,140.56
2026-02-12 13:00:00,67.05,106.39,145.72
