ds,y_p10,y_pred,y_p90,y_actual,hour,residual
2026-02-10 12:00:00,56.44,104.47,152.51,130,12,-25.53
2026-02-10 13:00:00,59.76,109.31,158.87,164,13,-54.69
2026-02-10 14:00:00,60.63,101.58,142.53,161,14,-59.42
2026-02-10 15:00:00,55.13,89.67,124.21,136,15,-46.33
2026-02-10 16:00:00,24.7,54.91,85.12,54,16,0.9099999999999966
2026-02-10 17:00:00,12.35,32.34,52.33,31,17,1.3400000000000034
2026-02-10 18:00:00,4.23,17.87,31.51,33,18,-15.129999999999999
2026-02-10 19:00:00,3.87,15.53,27.19,25,19,-9.47
2026-02-10 20:00:00,1.63,10.78,19.93,6,20,4.779999999999999
2026-02-10 21:00:00,2.18,10.8,19.41,7,21,3.8000000000000007
2026-02-10 22:00:00,4.51,12.78,21.04,5,22,7.779999999999999
2026-02-10 23:00:00,0.0,6.57,15.37,8,23,-1.4299999999999997
2026-02-11 00:00:00,0.0,0.0,0.89,2,0,-2.0
2026-02-11 05:00:00,0.0,0.0,1.51,1,5,-1.0
2026-02-11 06:00:00,0.0,1.42,5.64,6,6,-4.58
2026-02-11 07:00:00,24.86,41.4,57.95,71,7,-29.6
2026-02-11 08:00:00,28.51,72.07,115.64,103,8,-30.930000000000007
2026-02-11 09:00:00,57.62,100.49,143.37,97,9,3.489999999999995
2026-02-11 10:00:00,64.8,108.94,153.08,112,10,-3.0600000000000023
2026-02-11 11:00:00,63.89,105.66,147.42,105,11,0.6599999999999966
2026-02-11 12:00:00,60.82,103.78,146.73,115,12,-11.219999999999999
2026-02-11 13:00:00,67.0,106.66,146.31,148,13,-41.34
2026-02-11 14:00:00,62.45,99.74,137.02,147,14,-47.260000000000005
2026-02-11 15:00:00,57.74,90.92,124.11,99,15,-8.079999999999998
2026-02-11 16:00:00,15.66,54.27,92.88,62,16,-7.729999999999997
2026-02-11 17:00:00,7.46,34.01,60.55,47,17,-12.990000000000002
2026-02-11 18:00:00,0.0,17.64,35.65,32,18,-14.36
2026-02-11 19:00:00,0.0,14.03,29.65,11,19,3.0299999999999994
2026-02-11 20:00:00,0.0,9.66,22.07,11,20,-1.3399999999999999
2026-02-11 21:00:00,0.0,9.19,20.46,7,21,2.1899999999999995
2026-02-11 22:00:00,0.0,8.0,18.86,5,22,3.0
2026-02-11 23:00:00,0.0,6.43,16.83,5,23,1.4299999999999997
2026-02-12 02:00:00,0.0,0.0,0.0,6,2,-6.0
2026-02-12 03:00:00,0.0,0.0,1.68,1,3,-1.0
2026-02-12 04:00:00,0.0,0.0,0.33,5,4,-5.0
2026-02-12 06:00:00,0.0,1.31,6.77,5,6,-3.69
2026-02-12 07:00:00,19.93,41.69,63.45,30,7,11.689999999999998
2026-02-12 08:00:00,16.98,69.15,121.32,58,8,11.150000000000006
2026-02-12 09:00:00,59.17,95.31,131.45,92,9,3.3100000000000023
2026-02-12 10:00:00,63.44,103.44,143.43,89,10,14.439999999999998
2026-02-12 11:00:00,66.62,103.49,140.35,91,11,12.489999999999995
2026-02-12 12:00:00,61.42,100.99,140.56,119,12,-18.010000000000005
2026-02-12 13:00:00,67.05,106.39,145.72,109,13,-2.6099999999999994
2026-02-12 14:00:00,64.7,101.27,137.84,111,14,-9.730000000000004
2026-02-12 15:00:00,57.84,90.91,123.98,91,15,-0.09000000000000341
2026-02-12 16:00:00,13.95,57.37,100.78,55,16,2.3699999999999974
2026-02-12 17:00:00,1.75,33.32,64.89,24,17,9.32
2026-02-12 18:00:00,0.0,14.97,35.72,19,18,-4.029999999999999
2026-02-12 19:00:00,0.82,16.58,32.34,10,19,6.579999999999998
2026-02-12 20:00:00,0.0,5.75,20.58,16,20,-10.25
2026-02-12 21:00:00,0.0,8.42,18.48,6,21,2.42
2026-02-12 22:00:00,0.0,7.59,18.4,12,22,-4.41
2026-02-12 23:00:00,0.0,5.45,16.04,5,23,0.4500000000000002
2026-02-13 00:00:00,0.0,0.0,1.21,2,0,-2.0
2026-02-13 05:00:00,0.0,0.0,1.59,2,5,-2.0
2026-02-13 06:00:00,0.0,1.53,6.96,3,6,-1.47
2026-02-13 07:00:00,12.5,30.76,49.02,14,7,16.76
2026-02-13 08:00:00,32.93,70.77,108.61,72,8,-1.230000000000004
2026-02-13 09:00:00,60.5,98.24,135.99,58,9,40.239999999999995
2026-02-13 10:00:00,63.97,105.47,146.97,71,10,34.47
2026-02-13 11:00:00,66.61,106.23,145.86,98,11,8.230000000000004
2026-02-13 12:00:00,63.11,104.91,146.72,128,12,-23.090000000000003
2026-02-13 13:00:00,66.12,108.41,150.69,129,13,-20.590000000000003
2026-02-13 14:00:00,61.36,100.68,140.0,55,14,45.68000000000001
2026-02-13 15:00:00,55.73,89.46,123.19,47,15,42.459999999999994
2026-02-13 16:00:00,9.77,53.87,97.98,28,16,25.869999999999997
2026-02-13 17:00:00,0.0,29.68,60.35,13,17,16.68
2026-02-13 18:00:00,0.0,13.25,34.18,6,18,7.25
2026-02-13 19:00:00,0.0,15.82,32.0,6,19,9.82
2026-02-13 20:00:00,0.0,6.51,20.48,8,20,-1.4900000000000002
2026-02-13 21:00:00,0.0,7.55,17.74,1,21,6.55
2026-02-13 22:00:00,0.0,6.76,16.84,3,22,3.76
2026-02-13 23:00:00,0.0,5.59,15.77,6,23,-0.41000000000000014
2026-02-14 00:00:00,0.0,0.0,0.83,3,0,-3.0
2026-02-14 08:00:00,3.14,37.44,71.74,2,8,35.44
2026-02-14 11:00:00,9.84,64.11,118.39,6,11,58.11
2026-02-14 12:00:00,7.85,66.69,125.53,4,12,62.69
2026-02-14 13:00:00,12.36,69.58,126.8,10,13,59.58
2026-02-14 14:00:00,12.96,66.65,120.34,3,14,63.650000000000006
2026-02-14 15:00:00,10.79,45.39,79.98,1,15,44.39
2026-02-14 16:00:00,0.0,26.04,60.85,12,16,14.04
2026-02-14 17:00:00,0.0,10.8,31.42,2,17,8.8
2026-02-14 18:00:00,0.0,7.29,20.23,3,18,4.29
2026-02-14 19:00:00,0.0,9.68,19.48,7,19,2.6799999999999997
2026-02-14 20:00:00,0.0,4.99,15.47,1,20,3.99
2026-02-14 21:00:00,0.0,3.97,11.3,3,21,0.9700000000000002
2026-02-14 23:00:00,0.0,3.26,11.35,1,23,2.26
2026-02-15 00:00:00,0.0,0.0,0.0,1,0,-1.0
2026-02-15 05:00:00,0.0,0.0,0.0,2,5,-2.0
2026-02-15 06:00:00,0.0,0.0,2.52,2,6,-2.0
2026-02-15 07:00:00,0.0,10.18,26.33,3,7,7.18
2026-02-15 08:00:00,0.0,31.65,66.74,1,8,30.65
2026-02-15 10:00:00,4.47,48.88,93.29,3,10,45.88
2026-02-15 12:00:00,0.0,64.08,135.64,3,12,61.08
2026-02-15 13:00:00,5.84,70.33,134.82,4,13,66.33
2026-02-15 14:00:00,8.79,65.3,121.81,4,14,61.3
2026-02-15 15:00:00,11.64,49.0,86.36,10,15,39.0
2026-02-15 16:00:00,0.0,24.9,62.61,4,16,20.9
2026-02-15 18:00:00,0.0,6.71,20.37,2,18,4.71
2026-02-15 19:00:00,0.0,8.49,19.7,2,19,6.49
2026-02-15 20:00:00,0.0,5.5,15.65,7,20,-1.5
2026-02-15 21:00:00,0.0,5.74,15.02,3,21,2.74
2026-02-15 22:00:00,0.0,4.04,14.29,2,22,2.04
2026-02-15 23:00:00,0.0,2.48,11.83,2,23,0.48
2026-02-16 00:00:00,0.0,0.0,0.0,2,0,-2.0
2026-02-16 06:00:00,0.0,0.0,4.63,4,6,-4.0
2026-02-16 07:00:00,4.5,23.78,43.06,14,7,9.780000000000001
